SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,15-00521216,03/04/2015,Front,,Boarded,,Vacant,False,False,2460,W,CORTLAND,ST,60647.0,1159661.46971298,1912547.48510837,1.0,14.0,22.0,41.91574790093855,-87.68884489052458,"(41.91574790093855, -87.68884489052458)",2015-03-04
Vacant/Abandoned Building,15-00535523,03/05/2015,Front,,Open,BOARDS REMOVED,Vacant,True,True,333,S,ALBANY,AVE,60612.0,1155762.37459478,1898348.75942202,28.0,11.0,27.0,41.876864803218155,-87.70355282866215,"(41.876864803218155, -87.70355282866214)",2015-03-05
Vacant/Abandoned Building,15-00538435,03/05/2015,,,,,,,,7334,S,PAULINA,ST,60636.0,1166282.30120637,1856066.67101043,17.0,7.0,67.0,41.760619848121856,-87.6661323758614,"(41.76061984812186, -87.6661323758614)",2015-03-05
Vacant/Abandoned Building,15-00537636,03/05/2015,Front,,Open,,Vacant,False,False,4827,N,MONTICELLO,AVE,60625.0,1151182.23782983,1931830.06370856,39.0,17.0,14.0,41.96883143013144,-87.71948979839244,"(41.96883143013144, -87.71948979839246)",2015-03-05
Vacant/Abandoned Building,15-00537796,03/05/2015,Front,,Open,,Vacant,False,False,1107,W,FULTON MARKET,,60607.0,1169019.9140113997,1902032.33159618,27.0,12.0,28.0,41.886695532778475,-87.6547683811729,"(41.88669553277848, -87.6547683811729)",2015-03-05
Vacant/Abandoned Building,15-00505754,03/03/2015,Front,,Boarded,,Vacant,False,False,3985,N,MILWAUKEE,AVE,60641.0,1143756.82500333,1926078.42672917,38.0,17.0,15.0,41.95319120215471,-87.7469378543053,"(41.953191202154706, -87.74693785430529)",2015-03-03
Vacant/Abandoned Building,15-00643368,03/10/2015,,,,,,,,4636,S,DR MARTIN LUTHER KING JR,DR,60653.0,1179642.17992543,1874245.47773337,3.0,2.0,38.0,41.81020946477637,-87.61661274910442,"(41.810209464776364, -87.61661274910442)",2015-03-10
Vacant/Abandoned Building,15-00658203,03/11/2015,Front,,Open,,Vacant,False,False,5029,S,PRINCETON,AVE,60609.0,1175137.34896969,1871617.86777637,3.0,9.0,37.0,41.803100957507475,-87.63321428338156,"(41.803100957507475, -87.63321428338156)",2015-03-11
Vacant/Abandoned Building,15-00563589,03/06/2015,Front,,Open,FRONT & REAR DOORS ARE OPEN BUILDING IS BEING REHAB,Vacant,False,True,1638,N,MCVICKER,AVE,60639.0,1135828.66847506,1910265.2485790001,29.0,25.0,25.0,41.909943241980926,-87.77646036320753,"(41.90994324198093, -87.77646036320753)",2015-03-06
Vacant/Abandoned Building,15-00577491,03/07/2015,Front,,Open,NOT BOARDED,Vacant,False,True,4045,N,MARMORA,AVE,60634.0,1136295.96738398,1926292.17731271,38.0,16.0,15.0,41.95391456264656,-87.77435981344198,"(41.95391456264656, -87.77435981344198)",2015-03-07
Vacant/Abandoned Building,15-00505802,03/03/2015,Front,,Boarded,,Vacant,True,False,3973,N,MILWAUKEE,AVE,60641.0,1143842.92500333,1926008.12672917,38.0,17.0,15.0,41.95299667583333,-87.7466231098103,"(41.952996675833326, -87.7466231098103)",2015-03-03
Vacant/Abandoned Building,15-00524485,03/04/2015,Front,,Boarded,,Vacant,False,False,4917,W,SCHOOL,ST,60641.0,1143005.66523175,1921490.1141912,30.0,16.0,15.0,41.94061452468324,-87.74981403640635,"(41.94061452468324, -87.74981403640635)",2015-03-04
