SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,14-00299320,03/03/2014,Front,,Open,FRONT,Vacant,True,False,1263,W,71ST,PL,60636.0,1168995.99627596,1857361.2166749001,17.0,7.0,67.0,41.764114062156594,-87.65614921323989,"(41.76411406215659, -87.65614921323987)",2014-03-03
Vacant/Abandoned Building,14-00306141,03/04/2014,Front,,Open,REAR DOOR,Vacant,True,False,6644,S,UNION,AVE,60621.0,1172656.17032422,1860717.05000151,6.0,7.0,68.0,41.77324301373291,-87.64263504743644,"(41.77324301373291, -87.64263504743646)",2014-03-04
Vacant/Abandoned Building,14-00300475,03/03/2014,Front,,Boarded,,Vacant,False,True,4730,W,MAYPOLE,AVE,60644.0,1144806.84858028,1901043.40906881,28.0,11.0,25.0,41.884472792737,-87.74371059378728,"(41.884472792737, -87.74371059378728)",2014-03-03
Vacant/Abandoned Building,14-00302208,03/03/2014,Front,,Open,,Vacant,False,True,1322,S,HEATH,AVE,60608.0,1161024.28987642,1893904.12430431,25.0,12.0,28.0,41.86456073219011,-87.68435603214546,"(41.8645607321901, -87.68435603214547)",2014-03-03
Vacant/Abandoned Building,14-00313535,03/05/2014,Front,,Open,,Vacant,True,True,5216,S,PAULINA,ST,60609.0,1165894.55688157,1870115.17989799,16.0,9.0,61.0,41.79917900001971,-87.66715459212709,"(41.79917900001971, -87.66715459212709)",2014-03-05
Vacant/Abandoned Building,14-00316547,03/06/2014,Front,,Open,,Vacant,False,False,3641,E,99TH,ST,60617.0,1202179.26307621,1840047.38383271,10.0,4.0,52.0,41.715822515421145,-87.53511548494383,"(41.71582251542114, -87.53511548494383)",2014-03-06
Vacant/Abandoned Building,14-00297899,03/02/2014,Front,,Open,FRONT,Vacant,False,False,5922,S,WASHTENAW,AVE,60629.0,1159388.89367483,1865278.27811112,16.0,8.0,66.0,41.78604176701537,-87.69114504734829,"(41.78604176701537, -87.69114504734829)",2014-03-02
Vacant/Abandoned Building,14-00302762,03/04/2014,Rear,,Open,REAR,Vacant,False,False,5348,S,HONORE,ST,60609.0,1164924.88926743,1869224.30880218,16.0,9.0,61.0,41.79675490849007,-87.67073578684503,"(41.796754908490065, -87.67073578684503)",2014-03-04
Vacant/Abandoned Building,14-00306128,03/04/2014,Front,,Open,SIDE DOOR,Vacant,False,True,1340,W,CULLERTON,ST,60608.0,1167743.41683169,1890536.16988266,25.0,12.0,31.0,41.855176747009956,-87.65978724697298,"(41.85517674700995, -87.65978724697298)",2014-03-04
Vacant/Abandoned Building,14-00325570,03/07/2014,Front,,Open,OPEN IN THE BACK AND WINDOWS ARE OUT,Vacant,False,True,2121,W,71ST,PL,60636.0,1163482.4299667,1857228.28997934,17.0,7.0,67.0,41.76386662836161,-87.67636154197716,"(41.763866628361605, -87.67636154197716)",2014-03-07
Vacant/Abandoned Building,14-00325764,03/07/2014,Front,,Open,FRONT AND BACK,Vacant,False,True,2127,W,71ST,PL,60636.0,1163449.0299667,1857227.68997934,17.0,7.0,67.0,41.7638656818326,-87.67648397784329,"(41.7638656818326, -87.67648397784328)",2014-03-07
Vacant/Abandoned Building,14-00325800,03/07/2014,Front,,Open,FRONT AND BACK,Vacant,False,True,2129,W,71ST,PL,60636.0,1163437.9299667,1857227.48997934,17.0,7.0,67.0,41.76386536559546,-87.6765246676235,"(41.763865365595464, -87.6765246676235)",2014-03-07
Vacant/Abandoned Building,14-00345797,03/11/2014,Front,,Open,FRONT AND SIDE WINDOWS,Vacant,False,True,5023,S,CARPENTER,ST,60609.0,1170165.51990856,1871504.00191887,16.0,9.0,61.0,41.802898181103785,-87.65145155147046,"(41.80289818110378, -87.65145155147046)",2014-03-11
Vacant/Abandoned Building,14-00321495,03/07/2014,Front,,Open,FRONT,Vacant,False,True,636,E,67TH,ST,60637.0,1181739.21969828,1860732.02941308,20.0,3.0,42.0,41.773079116762,-87.60933856872656,"(41.773079116762, -87.60933856872657)",2014-03-07
Vacant/Abandoned Building,14-00329974,03/08/2014,Front,,Boarded,FRONT DOOR,Vacant,False,True,5258,S,PEORIA,ST,60609.0,1171198.41227064,1869949.71002933,20.0,9.0,61.0,41.798610489581755,-87.64770894439903,"(41.79861048958175, -87.64770894439903)",2014-03-08
Vacant/Abandoned Building,14-00310206,03/05/2014,Front,,Open,,Vacant,False,False,4726,S,EVANS,AVE,60615.0,1182051.66646878,1873838.54512287,4.0,2.0,38.0,41.80903732790807,-87.60778776038981,"(41.809037327908065, -87.60778776038981)",2014-03-05
Vacant/Abandoned Building,14-00310218,03/05/2014,Front,,Open,,Vacant,False,False,4942,S,RACINE,AVE,60609.0,1169160.34192207,1871909.40001641,16.0,9.0,61.0,41.80403246141341,-87.65512625838294,"(41.804032461413414, -87.65512625838294)",2014-03-05
Vacant/Abandoned Building,14-00312674,03/05/2014,Garage,,Open,,Occupied,False,True,6647,S,WABASH,AVE,60637.0,1177751.32457146,1860937.8064104,20.0,3.0,69.0,41.77373498466597,-87.62395086456806,"(41.773734984665964, -87.62395086456806)",2014-03-05
Vacant/Abandoned Building,14-00353389,03/12/2014,Front,,Open,,Vacant,False,False,4830,W,VAN BUREN,ST,60644.0,1144223.53395,1897574.47625,24.0,15.0,25.0,41.87496459757051,-87.74593981103399,"(41.87496459757051, -87.74593981103399)",2014-03-12
Vacant/Abandoned Building,14-00295309,03/01/2014,Front,,Open,AT THE FRONT OF THE PROPERTY -,Vacant,False,True,2044,W,68TH,PL,60636.0,1163912.56597242,1859226.79990573,17.0,7.0,67.0,41.76934179065939,-87.6747289021929,"(41.76934179065939, -87.6747289021929)",2014-03-01
