,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
156370,05/01/2013,Completed - Dup,05/01/2013,13-00517494,Street Lights - All/Out,1434 W DIVISION ST,60642.0,1166499.99697617,1908095.61191175,1.0,14.0,24.0,41.90338791120903,-87.66384838641403,"(41.90338791120903, -87.66384838641403)",2013-05-01
156371,05/01/2013,Completed,05/01/2013,13-00514296,Street Lights - All/Out,11607 S AVENUE H,60617.0,1202905.31576983,1828618.2964169998,10.0,4.0,52.0,41.68444164213799,-87.53284544803209,"(41.68444164213799, -87.5328454480321)",2013-05-01
156372,05/01/2013,Completed,05/01/2013,13-00514827,Street Lights - All/Out,2603 S ARCHER AVE,60608.0,1170265.93850463,1886921.57409091,11.0,9.0,60.0,41.845203317630585,-87.6506339758958,"(41.845203317630585, -87.65063397589579)",2013-05-01
156373,05/01/2013,Completed,05/01/2013,13-00515340,Street Lights - All/Out,1334 N RIDGEWAY AVE,60651.0,1151129.34999249,1908622.15026574,26.0,25.0,23.0,41.90514807560646,-87.72029449390101,"(41.90514807560646, -87.720294493901)",2013-05-01
156374,05/01/2013,Completed,05/01/2013,13-00516526,Street Lights - All/Out,4500 S KOLIN AVE,60632.0,1148044.72022746,1874443.80567196,14.0,8.0,57.0,41.811418363115976,-87.73250397599391,"(41.811418363115976, -87.7325039759939)",2013-05-01
156375,05/01/2013,Completed,05/01/2013,13-00517154,Street Lights - All/Out,1614 W MONTROSE AVE,60613.0,1164802.2440739,1929292.10439684,47.0,19.0,3.0,41.961588468781535,-87.66948171533406,"(41.961588468781535, -87.66948171533407)",2013-05-01
156376,05/01/2013,Completed,05/01/2013,13-00518936,Street Lights - All/Out,5200 S OAK PARK AVE,60638.0,1131930.15789287,1869342.73362095,23.0,8.0,56.0,41.79771406549853,-87.7917303910968,"(41.79771406549853, -87.79173039109679)",2013-05-01
156377,05/01/2013,Completed,05/01/2013,13-00519533,Street Lights - All/Out,9729 S YATES AVE,60617.0,1194106.46472176,1840920.16011726,7.0,4.0,51.0,41.71841907289669,-87.56465288081135,"(41.718419072896694, -87.56465288081135)",2013-05-01
156378,05/01/2013,Completed - Dup,05/01/2013,13-00514207,Street Lights - All/Out,11500 S INDIANA AVE,60628.0,1179628.52080678,1828753.73318696,9.0,5.0,53.0,41.68537521911159,-87.61804992085749,"(41.68537521911159, -87.61804992085749)",2013-05-01
156379,05/01/2013,Completed - Dup,05/01/2013,13-00514209,Street Lights - All/Out,1300 N RIDGEWAY AVE,60651.0,1151136.64999249,1908396.25026574,26.0,25.0,23.0,41.904528041033295,-87.72027360888808,"(41.904528041033295, -87.72027360888808)",2013-05-01
156380,05/01/2013,Completed - Dup,05/01/2013,13-00514212,Street Lights - All/Out,9648 S GENOA AVE,60643.0,1170696.43052313,1840721.70912075,21.0,22.0,73.0,41.718416070734406,-87.65040071327644,"(41.718416070734406, -87.65040071327643)",2013-05-01
156381,05/01/2013,Completed - Dup,05/01/2013,13-00514221,Street Lights - All/Out,8800 S CREGIER AVE,60617.0,1189718.10480418,1846983.45013068,8.0,4.0,48.0,41.735163752871216,-87.58053138209455,"(41.735163752871216, -87.58053138209455)",2013-05-01
156382,05/01/2013,Completed - Dup,05/01/2013,13-00514230,Street Lights - All/Out,8800 S CREGIER AVE,60617.0,1189718.10480418,1846983.45013068,8.0,4.0,48.0,41.735163752871216,-87.58053138209455,"(41.735163752871216, -87.58053138209455)",2013-05-01
156383,05/01/2013,Completed - Dup,05/01/2013,13-00515946,Street Lights - All/Out,3600 W 67TH PL,60629.0,1153481.40997676,1859611.97997901,13.0,8.0,65.0,41.77061161346043,-87.71295487147184,"(41.77061161346043, -87.71295487147185)",2013-05-01
156384,05/01/2013,Completed - Dup,05/01/2013,13-00516463,Street Lights - All/Out,4152 N WHIPPLE ST,60618.0,1155307.75440092,1927444.85237064,33.0,17.0,16.0,41.95671603297783,-87.70443865935776,"(41.95671603297783, -87.70443865935776)",2013-05-01
156548,05/02/2013,Completed - Dup,05/02/2013,13-00520283,Street Lights - All/Out,8000 S EBERHART AVE,60619.0,1180962.31989345,1852072.06430604,6.0,6.0,44.0,41.74933317421496,-87.61245249317251,"(41.749333174214954, -87.61245249317251)",2013-05-02
156549,05/02/2013,Completed - Dup,05/02/2013,13-00520359,Street Lights - All/Out,5200 S JUSTINE ST,60609.0,1166885.66541693,1870244.34957846,16.0,9.0,61.0,41.799512321347365,-87.66351626377909,"(41.799512321347365, -87.66351626377909)",2013-05-02
156550,05/02/2013,Completed - Dup,05/02/2013,13-00520367,Street Lights - All/Out,2200 W CORTLAND ST,60647.0,1161391.04938742,1912702.50192797,32.0,14.0,22.0,41.91613743685576,-87.68248622343138,"(41.916137436855756, -87.68248622343137)",2013-05-02
