,CREATION DATE,STATUS,COMPLETION DATE,SERVICE REQUEST NUMBER,TYPE OF SERVICE REQUEST,CURRENT ACTIVITY,MOST RECENT ACTION,NUMBER OF POTHOLES FILLED ON BLOCK,STREET ADDRESS,ZIP,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,SSA,LATITUDE,LONGITUDE,LOCATION,date
184409,11/01/2013,Completed - Dup,11/01/2013,13-01639956,Pot Hole in Street,,,0.0,5146 W BELMONT AVE,60641.0,1141496.09457983,1920788.50002958,30.0,16.0,15.0,,41.938815883921954,-87.75611373913664,"(41.938815883921954, -87.75611373913664)",2013-11-01
184410,11/01/2013,Completed,11/01/2013,13-01639988,Pot Hole in Street,Final Outcome,No Potholes Found,0.0,300 S CANAL ST,60606.0,1173186.44938965,1898913.11747383,2.0,1.0,28.0,,41.87797965480096,-87.63970649125532,"(41.87797965480096, -87.63970649125532)",2013-11-01
184411,11/01/2013,Completed,11/01/2013,13-01640011,Pot Hole in Street,Final Outcome,Pothole Patched,2.0,299 N NB OUTER LAKE SHORE DR,60601.0,1180158.76530377,1902258.01863411,42.0,1.0,32.0,,41.88704595988156,-87.61369098641987,"(41.88704595988156, -87.61369098641988)",2013-11-01
184412,11/01/2013,Completed,11/01/2013,13-01640019,Pot Hole in Street,Final Outcome,Pothole Patched,30.0,3100 N WESTERN AVE,60618.0,1159793.37438398,1920525.48069217,1.0,19.0,5.0,,41.93767947221404,-87.68828773786012,"(41.93767947221405, -87.68828773786012)",2013-11-01
184413,11/01/2013,Completed,11/01/2013,13-01640044,Pot Hole in Street,Final Outcome,Pothole Patched,20.0,400 S FINANCIAL PL,60605.0,1174946.59997362,1898496.57996782,2.0,1.0,32.0,,41.876797440785374,-87.63325591022408,"(41.876797440785374, -87.63325591022408)",2013-11-01
184414,11/01/2013,Completed,11/01/2013,13-01640058,Pot Hole in Street,Final Outcome,Pothole Patched,6.0,1200 W PERSHING RD,60609.0,1168874.58129865,1878974.79267157,11.0,9.0,60.0,13.0,41.82353601360818,-87.65600772977241,"(41.82353601360818, -87.65600772977241)",2013-11-01
184415,11/01/2013,Completed,11/01/2013,13-01643051,Pot Hole in Street,Final Outcome,Pothole Patched,2.0,4459 S DRAKE AVE,60632.0,1153479.96051096,1874846.46003152,14.0,8.0,58.0,,41.811770793521816,-87.71238426525919,"(41.81177079352181, -87.71238426525919)",2013-11-01
184416,11/01/2013,Completed,11/01/2013,13-01643079,Pot Hole in Street,Final Outcome,Pothole Patched,1.0,3500 W 45TH ST,60632.0,1153830.2315283997,1874586.04189748,14.0,8.0,58.0,,41.811804722778284,-87.71134384842344,"(41.811804722778284, -87.71134384842343)",2013-11-01
184417,11/01/2013,Completed,11/01/2013,13-01643118,Pot Hole in Street,Final Outcome,Pothole Patched,29.0,3032 W 46TH ST,60632.0,1156808.60356679,1873989.47990792,14.0,9.0,58.0,,41.81010812014744,-87.70043343933523,"(41.81010812014744, -87.70043343933524)",2013-11-01
184418,11/01/2013,Completed,11/01/2013,13-01643140,Pot Hole in Street,Final Outcome,Pothole Patched,4.0,2900 W 45TH ST,60632.0,1157786.57329274,1874680.24780966,14.0,9.0,58.0,,41.81198398374831,-87.69682759293259,"(41.811983983748306, -87.69682759293258)",2013-11-01
184500,11/04/2013,Completed,11/04/2013,13-01649477,Pot Hole in Street,Final Outcome,Pothole Patched,4.0,2900 S THROOP ST,60608.0,1169803.21998629,1885549.18003024,11.0,9.0,60.0,,41.841338498834894,-87.65245294295998,"(41.84133849883489, -87.65245294295997)",2013-11-04
184501,11/04/2013,Completed,11/04/2013,13-01649487,Pot Hole in Street,Final Outcome,Pothole Patched,0.0,2117 N CALIFORNIA AVE,60647.0,1157355.60999482,1914098.19999806,1.0,14.0,22.0,,41.92004533574503,-87.69712703768974,"(41.92004533574503, -87.69712703768975)",2013-11-04
184502,11/04/2013,Completed,11/04/2013,13-01649526,Pot Hole in Street,Final Outcome,Pothole Patched,4.0,1600 W PIERCE AVE,60622.0,1165441.11003262,1910448.20997654,1.0,14.0,24.0,33.0,41.90997444218282,-87.66779520104795,"(41.90997444218282, -87.66779520104795)",2013-11-04
184503,11/04/2013,Completed,11/04/2013,13-01652313,Pot Hole in Street,Final Outcome,Pothole Patched,1.0,5700 W ADAMS BLVD,60644.0,1138200.79001084,1898534.07111607,29.0,15.0,25.0,,41.877817297014104,-87.76811483262185,"(41.8778172970141, -87.76811483262185)",2013-11-04
184504,11/04/2013,Completed,11/04/2013,13-01652326,Pot Hole in Street,Final Outcome,Pothole Patched,1.0,1100 N MASON AVE,60651.0,1136496.33969145,1906716.70371133,29.0,15.0,25.0,,41.90028212796493,-87.7742424183869,"(41.90028212796493, -87.7742424183869)",2013-11-04
184505,11/04/2013,Completed,11/04/2013,13-01652361,Pot Hole in Street,Final Outcome,Pothole Patched,13.0,4859 W JACKSON BLVD,60644.0,1144043.17527705,1898229.38867928,24.0,15.0,25.0,,41.87664800913185,-87.74727911744304,"(41.87664800913185, -87.74727911744304)",2013-11-04
184506,11/04/2013,Completed,11/04/2013,13-01653367,Pot Hole in Street,Final Outcome,Pothole Patched,32.0,6832 W 54TH ST,60638.0,1131632.87507122,1868015.01533054,23.0,8.0,56.0,,41.794184562486464,-87.79291500342156,"(41.79418456248646, -87.79291500342154)",2013-11-04
184507,11/04/2013,Completed,11/04/2013,13-01649471,Pot Hole in Street,Final Outcome,Pothole Patched,58.0,2800 S THROOP ST,60608.0,1169319.26577119,1886291.01802346,11.0,9.0,60.0,,41.84333196619554,-87.65416154161943,"(41.84333196619554, -87.65416154161943)",2013-11-04
184740,11/01/2013,Completed,11/05/2013,13-01641930,Pot Hole in Street,Final Outcome,Pothole Patched,2.0,1317 N HAMLIN AVE,60651.0,1150802.72067988,1908497.77002361,26.0,25.0,23.0,,41.905059472381524,-87.7213580920573,"(41.905059472381524, -87.72135809205729)",2013-11-01
184741,11/03/2013,Completed - Dup,11/05/2013,13-01647658,Pot Hole in Street,,,0.0,1018 N RICHMOND ST,60622.0,1156536.8756818997,1906697.99531441,26.0,12.0,24.0,,41.899856721511895,-87.70063156541225,"(41.8998567215119, -87.70063156541225)",2013-11-03
184742,11/05/2013,Completed,11/05/2013,13-01656290,Pot Hole in Street,Final Outcome,Pothole Patched,4.0,5400 S HARLEM AVE,0.0,1129250.35596814,1867952.4898764,0.0,0.0,0.0,,41.79391840341404,-87.80173541737751,"(41.79391840341404, -87.80173541737751)",2013-11-05
184743,11/05/2013,Completed,11/05/2013,13-01656297,Pot Hole in Street,Final Outcome,Pothole Patched,5.0,5300 S HARLEM AVE,,1129241.85131271,1868613.93001896,0.0,0.0,0.0,,41.795689749000495,-87.8017530383746,"(41.79568974900049, -87.8017530383746)",2013-11-05
184744,11/05/2013,Completed,11/05/2013,13-01656305,Pot Hole in Street,Final Outcome,Pothole Patched,0.0,1839 N DAYTON ST,60614.0,1170344.05380436,1912240.13201448,43.0,18.0,7.0,,41.914914119731726,-87.64946811507181,"(41.914914119731726, -87.64946811507181)",2013-11-05
