SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,12-01952300,12/01/2012,Rear,,Open,REAR,Vacant,False,True,1314,W,52ND,ST,60609.0,1168400.96991429,1870284.13311692,16.0,9.0,61.0,41.79958895539833,-87.65795810259857,"(41.79958895539833, -87.65795810259857)",2012-12-01
Vacant/Abandoned Building,12-01952433,12/01/2012,Front,,Open,FRONT & REAR,Vacant,False,True,4256,W,GRENSHAW,ST,60624.0,1148187.24921095,1894696.55998453,24.0,11.0,29.0,41.86699189615445,-87.73146062953177,"(41.86699189615445, -87.73146062953177)",2012-12-01
Vacant/Abandoned Building,12-01952436,12/01/2012,Front,,Open,SIDE,Vacant,False,True,7957,S,HARVARD,AVE,60620.0,1175336.76068921,1852178.59390242,17.0,6.0,44.0,41.74975299249978,-87.63306348846503,"(41.74975299249978, -87.63306348846503)",2012-12-01
Vacant/Abandoned Building,12-01952524,12/01/2012,Front,,Open,REAR BASEMENT,Vacant,False,True,4337,W,VAN BUREN,ST,60624.0,1147542.78940614,1897669.79288715,24.0,11.0,26.0,41.875163177463754,-87.73375030561064,"(41.87516317746376, -87.73375030561064)",2012-12-01
Vacant/Abandoned Building,12-01952541,12/01/2012,Front,,Open,REAR SECOND FLOOR,Vacant,False,True,4257,W,VAN BUREN,ST,60624.0,1148074.88940614,1897682.49288715,24.0,11.0,26.0,41.875187811219824,-87.731796302914,"(41.87518781121983, -87.731796302914)",2012-12-01
Vacant/Abandoned Building,12-01952557,12/01/2012,Front,,Open,REAR,Vacant,False,True,4025,W,VAN BUREN,ST,60624.0,1149624.95708053,1897719.88108957,24.0,11.0,26.0,41.875260457354564,-87.7261040548579,"(41.87526045735456, -87.7261040548579)",2012-12-01
Vacant/Abandoned Building,12-01952687,12/01/2012,Front,,Open,REAR NORTH DOOR IS MISSING,Vacant,False,True,3849,W,MAYPOLE,AVE,60624.0,1150711.29067235,1900938.98057872,28.0,11.0,26.0,41.884072860074525,-87.72203125150558,"(41.88407286007452, -87.7220312515056)",2012-12-01
Vacant/Abandoned Building,12-01952701,12/01/2012,Front,,Open,REAR,Vacant,False,True,1372,S,CALIFORNIA,BLVD,60608.0,1157908.37238035,1893360.34008092,24.0,10.0,29.0,41.86313259917159,-87.69580938516819,"(41.86313259917159, -87.69580938516818)",2012-12-01
Vacant/Abandoned Building,12-01952862,12/01/2012,Front,,Boarded,REAR,Vacant,False,True,7137,S,DREXEL,AVE,60619.0,1183416.9300138,1857910.28189425,5.0,3.0,69.0,41.7652970501981,-87.60327636792921,"(41.7652970501981, -87.6032763679292)",2012-12-01
Vacant/Abandoned Building,12-01952894,12/01/2012,Front,,Boarded,GETTING FRONT DOOR SOME KIND OF WAY,Occupied,False,True,6800,S,LAFLIN,ST,60636.0,1167506.72398019,1859642.71117372,17.0,7.0,67.0,41.77040682572646,-87.66154244627802,"(41.77040682572646, -87.66154244627802)",2012-12-01
Vacant/Abandoned Building,12-01953056,12/01/2012,Front,,Open,DOORS AND WINDOWS,Vacant,False,True,7848,S,ASHLAND,AVE,60620.0,1167037.95911243,1852673.87811275,17.0,6.0,71.0,41.751293441753546,-87.66345967562407,"(41.75129344175355, -87.66345967562407)",2012-12-01
Vacant/Abandoned Building,12-01953094,12/01/2012,Rear,,Open,REAR ENTRANCE,Vacant,False,True,4518,S,MICHIGAN,AVE,60653.0,1177912.87676622,1875154.7468798,3.0,2.0,38.0,41.81274397915743,-87.62292798669941,"(41.812743979157425, -87.62292798669941)",2012-12-01
Vacant/Abandoned Building,12-01953129,12/01/2012,Rear,,Open,,Vacant,False,True,1731,N,MILWAUKEE,AVE,60647.0,1161737.41737687,1911497.45758226,32.0,14.0,24.0,41.91282348932725,-87.68124734750496,"(41.91282348932725, -87.68124734750496)",2012-12-01
Vacant/Abandoned Building,12-01953331,12/02/2012,Rear,,Open,,Vacant,False,False,1535,S,SPAULDING,AVE,60623.0,1154614.71008859,1892282.8676753999,24.0,10.0,29.0,41.860242375326116,-87.70792898654507,"(41.860242375326116, -87.70792898654507)",2012-12-02
Vacant/Abandoned Building,12-01953440,12/02/2012,Rear,,Open,REAR,Vacant,False,True,1838,S,KILDARE,AVE,60623.0,1147917.81006608,1890747.78603025,24.0,10.0,29.0,41.85616115225145,-87.73255122754766,"(41.856161152251445, -87.73255122754766)",2012-12-02
Vacant/Abandoned Building,12-01953445,12/02/2012,Front,,Open,,Vacant,False,False,12818,S,WALLACE,ST,60628.0,1174648.00670266,1819822.23063195,9.0,5.0,53.0,41.66097776387864,-87.63654672032112,"(41.66097776387864, -87.63654672032112)",2012-12-02
Vacant/Abandoned Building,12-01953471,12/02/2012,Front,,Open,,Vacant,True,False,5251,W,NELSON,ST,60641.0,1140832.52571855,1919775.03137547,31.0,25.0,19.0,41.93594848191378,-87.75784351127581,"(41.93594848191378, -87.75784351127581)",2012-12-02
Vacant/Abandoned Building,12-01953504,12/02/2012,Front,,Open,,Vacant,False,False,8404,S,BURLEY,AVE,60617.0,1199271.28892865,1849867.35682269,10.0,4.0,46.0,41.74284277673728,-87.54543644710795,"(41.74284277673727, -87.54543644710796)",2012-12-02
