,route,date,daytype,rides
440588,3,2010-08-01,U,12350
440589,4,2010-08-01,U,12696
440590,5,2010-08-01,U,775
440591,6,2010-08-01,U,7007
440592,8,2010-08-01,U,10300
440593,9,2010-08-01,U,19039
440594,10,2010-08-01,U,1149
440595,11,2010-08-01,U,1663
440596,12,2010-08-01,U,8519
440597,14,2010-08-01,U,3611
440598,15,2010-08-01,U,4816
440599,18,2010-08-01,U,1772
440600,20,2010-08-01,U,10829
440601,21,2010-08-01,U,6413
440602,22,2010-08-01,U,15566
440603,28,2010-08-01,U,3255
440604,29,2010-08-01,U,8754
440605,30,2010-08-01,U,845
440606,34,2010-08-01,U,3501
440607,35,2010-08-01,U,2672
440608,36,2010-08-01,U,13757
440609,43,2010-08-01,U,649
440610,44,2010-08-01,U,1617
440611,47,2010-08-01,U,6727
440612,49,2010-08-01,U,14764
440613,50,2010-08-01,U,4689
440614,51,2010-08-01,U,1105
440615,52,2010-08-01,U,6641
440616,53,2010-08-01,U,11766
440617,54,2010-08-01,U,7941
440618,55,2010-08-01,U,8008
440619,56,2010-08-01,U,4849
440620,57,2010-08-01,U,871
440621,60,2010-08-01,U,6381
440622,62,2010-08-01,U,6230
440623,63,2010-08-01,U,13223
440624,65,2010-08-01,U,4141
440625,66,2010-08-01,U,14124
440626,67,2010-08-01,U,8275
440627,68,2010-08-01,U,415
440628,70,2010-08-01,U,5730
440629,71,2010-08-01,U,6863
440630,72,2010-08-01,U,9990
440631,73,2010-08-01,U,2268
440632,74,2010-08-01,U,7639
440633,75,2010-08-01,U,4610
440634,76,2010-08-01,U,5412
440635,77,2010-08-01,U,12371
440636,78,2010-08-01,U,4568
440637,79,2010-08-01,U,18151
440638,80,2010-08-01,U,8105
440639,81,2010-08-01,U,9037
440640,82,2010-08-01,U,9642
440641,84,2010-08-01,U,1699
440642,85,2010-08-01,U,6448
440643,87,2010-08-01,U,8370
440644,88,2010-08-01,U,488
440645,90,2010-08-01,U,2785
440646,91,2010-08-01,U,3484
440647,92,2010-08-01,U,3077
440648,94,2010-08-01,U,4066
440649,97,2010-08-01,U,2096
440650,103,2010-08-01,U,1411
440651,106,2010-08-01,U,373
440652,111,2010-08-01,U,2773
