,School Name,School ID,Network,Category,Category Breakdown,Grade,Year,Read,Math,Science,English,Composite,Read.1,Math.1,Science.1,English.1,Composite.1,Community
7,ACE TECH HS,400010.0,Charter,Overall,Overall,11th Grade,2014.0,15.3,16.0,15.8,13.8,15.2,90,90,90,90,90,40
12,AIR FORCE HS,610513.0,Service Leadership Academies,Overall,Overall,11th Grade,2014.0,18.4,17.7,18.8,18.9,18.5,101,101,101,101,101,34
17,ALCOTT HS,610524.0,Network 4,Overall,Overall,11th Grade,2014.0,17.2,17.7,18.4,17.6,17.7,50,50,50,50,50,5
35,AMUNDSEN HS,609695.0,Network 2,Overall,Overall,11th Grade,2014.0,17.0,17.2,17.3,16.3,17.0,263,263,263,263,263,4
43,ASPIRA - EARLY COLLEGE HS,400013.0,Charter,Overall,Overall,11th Grade,2014.0,15.5,16.0,16.6,13.3,15.3,99,99,99,99,99,21
54,ASPIRA CHTR - RAMIREZ HS,400015.0,,Overall,Overall,11th Grade,2014.0,15.3,16.2,16.4,13.9,15.5,70,70,70,70,70,24
60,AUSTIN BUS & ENTRP HS,400018.0,Network 3,Overall,Overall,11th Grade,2014.0,14.4,15.5,14.6,13.3,14.5,50,50,50,50,50,25
67,AUSTIN POLY HS,610501.0,Network 3,Overall,Overall,11th Grade,2014.0,14.1,15.3,14.0,12.3,14.0,43,43,43,43,43,25
74,BANNER WEST HS,610555.0,Options,Overall,Overall,11th Grade,2014.0,13.7,14.8,13.9,11.7,13.5,66,67,66,67,66,25
92,BOGAN HS,609698.0,Network 10,Overall,Overall,11th Grade,2014.0,15.7,15.8,16.1,14.8,15.6,306,307,306,307,306,70
102,BOWEN HS,610323.0,Network 12,Overall,Overall,11th Grade,2014.0,14.4,15.8,15.0,14.0,14.8,81,82,81,82,81,46
111,BRONZEVILLE HS,610381.0,Network 9,Overall,Overall,11th Grade,2014.0,16.4,16.1,16.7,16.5,16.4,118,118,118,118,118,38
127,BROOKS HS,609726.0,ISP,Overall,Overall,11th Grade,2014.0,23.8,21.8,22.5,24.2,23.1,176,176,176,176,176,49
131,CAMELOT - CHICAGO EXCEL HS,400147.0,Options,Overall,Overall,11th Grade,2014.0,14.2,14.7,14.3,11.8,13.8,78,78,78,78,78,75
134,CAMELOT - EXCEL ENGLEWOOD HS,610565.0,Options,Overall,Overall,11th Grade,2014.0,13.9,14.7,13.8,11.4,13.5,47,47,47,47,47,68
142,CAMELOT SAFE HS,610573.0,Options,Overall,Overall,11th Grade,2014.0,,,,,,3,3,3,3,3,32
157,CARVER MILITARY HS,609760.0,Service Leadership Academies,Overall,Overall,11th Grade,2014.0,17.1,17.1,17.9,16.7,17.2,112,112,112,112,112,54
160,CATALYST - MARIA,400115.0,Charter,Overall,Overall,11th Grade,2014.0,17.3,17.3,18.8,18.8,18.1,35,35,35,35,35,0
165,CHGO TALENT CHTR HS,400093.0,,Overall,Overall,11th Grade,2014.0,15.0,15.9,15.1,13.0,14.8,37,37,37,37,37,28
173,CHICAGO ACADEMY HS,610340.0,AUSL,Overall,Overall,11th Grade,2014.0,17.6,17.9,18.0,17.6,17.8,120,120,120,120,120,17
189,CHICAGO AGRICULTURE HS,609753.0,Network 10,Overall,Overall,11th Grade,2014.0,20.3,19.7,20.7,20.4,20.3,111,111,111,111,111,74
194,CHICAGO ARTS HS,400022.0,Contract,Overall,Overall,11th Grade,2014.0,20.4,18.7,20.2,20.9,20.0,127,127,127,127,127,35
203,CHICAGO MATH & SCIENCE HS,400035.0,Charter,Overall,Overall,11th Grade,2014.0,19.2,20.1,19.8,19.2,19.6,75,75,75,75,75,1
218,CHICAGO MILITARY HS,609754.0,Service Leadership Academies,Overall,Overall,11th Grade,2014.0,17.0,16.9,18.4,18.2,17.6,59,59,59,59,59,35
223,CHICAGO TECH HS,400091.0,Contract,Overall,Overall,11th Grade,2014.0,16.4,16.5,16.6,14.9,16.1,79,79,79,79,79,28
230,CHICAGO VIRTUAL,400036.0,Charter,Overall,Overall,11th Grade,2014.0,20.1,17.2,17.3,20.0,18.6,37,37,37,37,37,28
246,CHICAGO VOCATIONAL HS,609674.0,Network 12,Overall,Overall,11th Grade,2014.0,14.2,15.1,15.0,13.6,14.5,144,144,144,144,144,45
249,CICS - CHICAGOQUEST HS,400113.0,Charter,Overall,Overall,11th Grade,2014.0,,,,,,4,4,4,4,4,8
257,CICS - ELLISON HS,400032.0,Charter,Overall,Overall,11th Grade,2014.0,16.6,16.3,16.9,16.7,16.6,122,122,122,122,122,71
263,CICS - HAWKINS HS,400108.0,Charter,Overall,Overall,11th Grade,2014.0,13.9,15.4,15.3,13.6,14.5,57,57,57,57,57,54
279,CICS - LONGWOOD,400033.0,Charter,Overall,Overall,11th Grade,2014.0,16.2,16.1,16.6,15.3,16.1,75,75,75,75,75,73
292,CICS - NORTHTOWN HS,400034.0,Charter,Overall,Overall,11th Grade,2014.0,19.6,19.0,19.9,20.8,19.8,180,180,180,180,180,13
305,CLARK HS,610244.0,Network 3,Overall,Overall,11th Grade,2014.0,16.7,15.9,18.0,15.4,16.5,115,115,115,115,115,25
321,CLEMENTE HS,609759.0,Network 5,Overall,Overall,11th Grade,2014.0,15.1,15.5,15.3,14.1,15.0,181,181,181,181,181,24
328,COLLINS HS,610499.0,AUSL,Overall,Overall,11th Grade,2014.0,14.8,15.3,14.5,12.6,14.3,67,67,67,67,67,29
336,COMMUNITY SERVICES WEST HS,400038.0,Options,Overall,Overall,11th Grade,2014.0,14.2,14.7,13.4,12.4,13.7,29,29,29,29,29,29
