SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,15-03550487,07/21/2015,Front,,Open,WINDOWS AND DOORS,Vacant,False,True,6447,S,HONORE,ST,60636.0,1165120.48670437,1861920.86381228,15.0,7.0,67.0,41.77670919303482,-87.67022506736454,"(41.77670919303482, -87.67022506736453)",2015-07-21
Vacant/Abandoned Building,15-03565253,07/22/2015,Front,,Open,SIDE DOOR,Vacant,False,False,7729,S,PEORIA,ST,60620.0,1171645.62981083,1853591.47356991,17.0,6.0,71.0,41.75371175873829,-87.6465479903027,"(41.753711758738284, -87.6465479903027)",2015-07-22
Vacant/Abandoned Building,15-03574654,07/22/2015,Front,,Boarded,BASEMENT AND REAR DOOR ARE OPEN BOARDS REMOVED,Vacant,False,True,5937,S,WOOD,ST,60636.0,1165366.24452579,1865311.42781641,15.0,7.0,67.0,41.786008132577926,-87.66922813014506,"(41.78600813257793, -87.66922813014506)",2015-07-22
Vacant/Abandoned Building,15-03600087,07/23/2015,Front,,Open,FRONT/REAR,Vacant,False,False,7915,S,UNION,AVE,60620.0,1173006.84701552,1852396.43957817,17.0,6.0,71.0,41.75040250757017,-87.64159483106467,"(41.750402507570165, -87.64159483106465)",2015-07-23
Vacant/Abandoned Building,15-03600222,07/23/2015,Front,,Open,ALL AROUND,Vacant,False,True,5641,S,FAIRFIELD,AVE,60629.0,1159003.08656635,1867133.18300313,15.0,8.0,63.0,41.79113978025304,-87.69250892378989,"(41.79113978025304, -87.69250892378989)",2015-07-23
Vacant/Abandoned Building,15-03490801,07/18/2015,Front,,Open,?,Vacant,False,False,5611,S,SEELEY,AVE,60636.0,1163651.16622253,1867437.19218694,15.0,7.0,67.0,41.79187768228557,-87.67545682587017,"(41.79187768228558, -87.67545682587017)",2015-07-18
Vacant/Abandoned Building,15-03520961,07/20/2015,Rear,,Open,REAR DOOR WIDE OPEN,Vacant,False,False,6617,S,WOLCOTT,AVE,60636.0,1164824.49276576,1860789.22540628,15.0,7.0,67.0,41.773610085235475,-87.6713421061228,"(41.77361008523548, -87.6713421061228)",2015-07-20
Vacant/Abandoned Building,15-03527157,07/20/2015,Front,,Open,REAR AND WINDOWS,Vacant,False,False,5614,S,THROOP,ST,60636.0,1168615.81227391,1867539.97388743,16.0,7.0,67.0,41.79205403266585,-87.65724936648212,"(41.792054032665845, -87.65724936648213)",2015-07-20
Vacant/Abandoned Building,15-03547911,07/21/2015,Front,,Boarded,,Vacant,False,False,6411,S,PAULINA,ST,60636.0,1166099.02708835,1862149.66293263,15.0,7.0,67.0,41.777316285713724,-87.66663126853453,"(41.77731628571373, -87.66663126853453)",2015-07-21
Vacant/Abandoned Building,15-03548404,07/21/2015,Front,,Open,FRONT,Vacant,False,False,6400,S,WOOD,ST,60636.0,1165439.19139095,1862243.87751589,15.0,7.0,67.0,41.77758883510632,-87.66904755909573,"(41.77758883510632, -87.66904755909572)",2015-07-21
Vacant/Abandoned Building,15-03423230,07/15/2015,Front,,Open,"FRONT, AND REAR",Vacant,False,False,7940,S,GREEN,ST,60620.0,1172015.19051052,1852201.03792141,17.0,6.0,71.0,41.74988812054862,-87.64523443463135,"(41.74988812054862, -87.64523443463135)",2015-07-15
Vacant/Abandoned Building,15-03447778,07/16/2015,Front,,Boarded,,Vacant,False,False,5746,S,GREEN,ST,60621.0,1171620.20127902,1866743.70403162,16.0,7.0,68.0,41.789803616514135,-87.64625612731622,"(41.789803616514135, -87.64625612731622)",2015-07-16
Vacant/Abandoned Building,15-03451012,07/16/2015,Front,,Boarded,,Vacant,False,False,2217,W,50TH,PL,60609.0,1162321.9599777001,1871144.79002394,15.0,9.0,63.0,41.80207961036752,-87.68022752041603,"(41.802079610367514, -87.68022752041603)",2015-07-16
Vacant/Abandoned Building,15-03377623,07/13/2015,Front,,Boarded,,Vacant,False,False,6528,S,HERMITAGE,AVE,60636.0,1165791.42858572,1861401.71907119,15.0,7.0,67.0,41.77527036899239,-87.66778014566631,"(41.77527036899239, -87.66778014566631)",2015-07-13
Vacant/Abandoned Building,15-03390546,07/14/2015,Rear,,Open,,Vacant,False,False,1540,W,GARFIELD,BLVD,60609.0,1166909.90007405,1868253.70588427,16.0,9.0,61.0,41.79404924223601,-87.66348427471743,"(41.79404924223601, -87.66348427471742)",2015-07-14
Vacant/Abandoned Building,15-03392252,07/14/2015,Rear,,Open,,Vacant,True,False,2130,W,52ND,PL,60609.0,1163101.96139555,1869663.47970228,16.0,9.0,61.0,41.79799841188175,-87.67740838294722,"(41.79799841188175, -87.67740838294722)",2015-07-14
Vacant/Abandoned Building,15-03282214,07/08/2015,Front,,Open,PARKWAY,Vacant,False,False,6649,S,WOOD,ST,60636.0,1165487.7459183,1860590.63250064,15.0,7.0,67.0,41.77305108456665,-87.66891638274357,"(41.77305108456665, -87.66891638274356)",2015-07-08
Vacant/Abandoned Building,15-03298563,07/09/2015,Front,,Boarded,WINDOWS,Vacant,False,True,8014,S,HARVARD,AVE,60620.0,1175347.06068921,1851803.59390242,17.0,6.0,44.0,41.74872371627041,-87.63303692932419,"(41.74872371627041, -87.63303692932419)",2015-07-09
Vacant/Abandoned Building,15-03303183,07/09/2015,Front,,Boarded,,Vacant,False,False,2125,W,52ND,PL,60609.0,1163127.16139555,1869664.07970228,16.0,9.0,61.0,41.79799953065322,-87.67731595305555,"(41.797999530653215, -87.67731595305554)",2015-07-09
Vacant/Abandoned Building,15-03324068,07/10/2015,Front,,Open,FRONT,Vacant,False,False,3121,W,41ST,PL,60632.0,1156227.45226863,1876946.4386848998,15.0,9.0,58.0,41.81812500523699,-87.70242251729549,"(41.81812500523699, -87.7024225172955)",2015-07-10
Vacant/Abandoned Building,15-03203624,07/05/2015,Front,,Open,FRONT DOOR KICKED IN,Vacant,False,False,2111,W,GARFIELD,BLVD,60636.0,1163191.36990478,1868031.64360658,15.0,7.0,67.0,41.79351857557479,-87.67712618593056,"(41.79351857557479, -87.67712618593056)",2015-07-05
Vacant/Abandoned Building,15-03230333,07/06/2015,Front,,Open,SIDE WINDOWS OPEN,Vacant,True,False,6714,S,CARPENTER,ST,60621.0,1170470.07368199,1860293.32051327,16.0,7.0,68.0,41.77212814731988,-87.65066107053367,"(41.772128147319876, -87.65066107053367)",2015-07-06
Vacant/Abandoned Building,15-03256702,07/07/2015,Front,,Open,ALL OPEN,Vacant,False,True,7630,S,PEORIA,ST,60620.0,1171627.85477262,1854248.4446221,17.0,6.0,71.0,41.75551496105732,-87.6465939116201,"(41.755514961057315, -87.6465939116201)",2015-07-07
Vacant/Abandoned Building,15-03570954,07/22/2015,Rear,,Open,BACK DOOR,Vacant,False,False,6327,S,ELIZABETH,ST,60636.0,1169069.82267556,1862821.76681711,16.0,7.0,67.0,41.77909690224799,-87.65572093382124,"(41.779096902247986, -87.65572093382124)",2015-07-22
Vacant/Abandoned Building,15-03447028,07/16/2015,Front,,Boarded,,Vacant,False,False,5759,S,BISHOP,ST,60636.0,1167648.3041295,1866548.41187151,16.0,7.0,67.0,41.78935389245903,-87.6608255000995,"(41.789353892459026, -87.66082550009952)",2015-07-16
Vacant/Abandoned Building,15-03280775,07/08/2015,Front,,Boarded,,Vacant,False,False,1454,W,61ST,ST,60636.0,1167602.35150979,1864289.0913085,16.0,7.0,67.0,41.78315502854206,-87.6610587676078,"(41.78315502854206, -87.66105876760781)",2015-07-08
