,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
189547,07/01/2015,Completed - Dup,07/01/2015,15-03108505,Street Light Out,8753 S ESCANABA AVE,60617.0,1196907.17929358,1847487.25830187,10.0,4.0,46.0,41.736370670467814,-87.55417737144924,"(41.73637067046781,-87.55417737144923)",2015-07-01
189548,07/01/2015,Completed - Dup,07/01/2015,15-03108524,Street Light Out,1400 N KILDARE AVE,60651.0,1147456.54681869,1908970.92312471,26.0,25.0,23.0,41.906176377914385,-87.73377702672691,"(41.90617637791438,-87.7337770267269)",2015-07-01
189549,07/01/2015,Completed - Dup,07/01/2015,15-03108713,Street Light Out,10600 S LANGLEY AVE,60628.0,1182789.3225195,1834818.77952967,9.0,5.0,50.0,41.70194591966722,-87.60629166828241,"(41.70194591966722,-87.6062916682824)",2015-07-01
189550,07/01/2015,Completed - Dup,07/01/2015,15-03108822,Street Light Out,5950 S NARRAGANSETT AVE,60638.0,1134755.18627633,1864272.22713265,13.0,8.0,64.0,41.78375036646127,-87.78148968201069,"(41.78375036646127,-87.78148968201069)",2015-07-01
189551,07/01/2015,Completed - Dup,07/01/2015,15-03108825,Street Light Out,6010 S NARRAGANSETT AVE,60638.0,1134764.6529301,1863995.71501279,13.0,8.0,64.0,41.782991399417455,-87.78146147986564,"(41.78299139941745,-87.78146147986564)",2015-07-01
189552,07/01/2015,Completed - Dup,07/01/2015,15-03108828,Street Light Out,6018 S NARRAGANSETT AVE,60638.0,1134766.5529301001,1863941.71501279,13.0,8.0,64.0,41.78284317997104,-87.78145578440491,"(41.78284317997104,-87.7814557844049)",2015-07-01
189553,07/01/2015,Completed - Dup,07/01/2015,15-03108840,Street Light Out,6026 S NARRAGANSETT AVE,60638.0,1134768.4529301,1863887.71501279,13.0,8.0,64.0,41.7826949605207,-87.7814500889667,"(41.7826949605207,-87.78145008896671)",2015-07-01
189554,07/01/2015,Completed - Dup,07/01/2015,15-03108852,Street Light Out,6034 S NARRAGANSETT AVE,60638.0,1134770.3529301002,1863833.61501279,13.0,8.0,64.0,41.78254646664791,-87.78144439590427,"(41.78254646664791,-87.78144439590426)",2015-07-01
189555,07/01/2015,Completed - Dup,07/01/2015,15-03108854,Street Light Out,6042 S NARRAGANSETT AVE,60638.0,1134772.2529301,1863779.61501279,13.0,8.0,64.0,41.78239824718968,-87.78143870051123,"(41.782398247189676,-87.78143870051122)",2015-07-01
189556,07/01/2015,Completed - Dup,07/01/2015,15-03108874,Street Light Out,6050 S NARRAGANSETT AVE,60638.0,1134762.2529301,1864063.21501279,13.0,8.0,64.0,41.78317667416021,-87.7814686908836,"(41.78317667416021,-87.78146869088359)",2015-07-01
189557,07/01/2015,Completed - Dup,07/01/2015,15-03109054,Street Light Out,6022 S NARRAGANSETT AVE,60638.0,1134767.4529301,1863914.71501279,13.0,8.0,64.0,41.78276907112699,-87.78145312000244,"(41.78276907112699,-87.78145312000244)",2015-07-01
189558,07/01/2015,Completed - Dup,07/01/2015,15-03110467,Street Light Out,4800 W CORTEZ ST,60651.0,1144169.67997389,1906549.96002794,37.0,15.0,25.0,41.89959539465387,-87.74591195318321,"(41.899595394653865,-87.7459119531832)",2015-07-01
189559,07/01/2015,Completed - Dup,07/01/2015,15-03110615,Street Light Out,5715 S HAMILTON AVE,60636.0,1163011.251975,1866735.86786817,15.0,7.0,67.0,41.78996657172451,-87.67782289531695,"(41.78996657172451,-87.67782289531694)",2015-07-01
189560,07/01/2015,Completed - Dup,07/01/2015,15-03111412,Street Light Out,7621 S CLYDE AVE,60649.0,1191526.77290612,1854848.50199202,8.0,4.0,43.0,41.75670254809256,-87.57365088374421,"(41.756702548092555,-87.5736508837442)",2015-07-01
189561,07/01/2015,Completed - Dup,07/01/2015,15-03112451,Street Light Out,7222 S EMERALD AVE,60621.0,1172593.60053355,1856984.16137877,6.0,7.0,68.0,41.76300089861683,-87.64297424553575,"(41.76300089861683,-87.64297424553575)",2015-07-01
189562,07/01/2015,Completed - Dup,07/01/2015,15-03122906,Street Light Out,4800 W CORTEZ ST,60651.0,1144169.67997389,1906549.96002794,37.0,15.0,25.0,41.89959539465387,-87.74591195318321,"(41.899595394653865,-87.7459119531832)",2015-07-01
189563,07/01/2015,Completed - Dup,07/01/2015,15-03123487,Street Light Out,75 W CHESTNUT ST,60610.0,1175550.07477987,1906196.57308344,2.0,18.0,8.0,41.89797823177651,-87.63066293417955,"(41.89797823177651,-87.63066293417955)",2015-07-01
189564,07/01/2015,Completed - Dup,07/01/2015,15-03123973,Street Light Out,6600 S KILPATRICK AVE,60629.0,1146183.12198186,1860430.08818071,13.0,8.0,64.0,41.77299798883159,-87.73968724988119,"(41.77299798883159,-87.73968724988119)",2015-07-01
189565,07/01/2015,Completed - Dup,07/01/2015,15-03124166,Street Light Out,6000 S NARRAGANSETT AVE,60638.0,1134762.2529301,1864063.21501279,13.0,8.0,64.0,41.78317667416021,-87.7814686908836,"(41.78317667416021,-87.78146869088359)",2015-07-01
189566,07/01/2015,Completed - Dup,07/01/2015,15-03124176,Street Light Out,6100 S NARRAGANSETT AVE,60638.0,1134785.84543037,1863394.77801419,13.0,8.0,64.0,41.781341943726524,-87.78139792188799,"(41.78134194372652,-87.78139792188799)",2015-07-01
189567,07/01/2015,Completed - Dup,07/01/2015,15-03132976,Street Light Out,5500 S HALSTED ST,60621.0,1171909.65397914,1868255.02340555,20.0,7.0,68.0,41.79394449017377,-87.64515043301397,"(41.79394449017377,-87.64515043301397)",2015-07-01
189568,07/01/2015,Completed - Dup,07/01/2015,15-03133011,Street Light Out,4800 W CORTEZ ST,60651.0,1144169.67997389,1906549.96002794,37.0,15.0,25.0,41.89959539465387,-87.74591195318321,"(41.899595394653865,-87.7459119531832)",2015-07-01
189569,07/01/2015,Completed,07/01/2015,15-03109610,Street Light Out,8859 S WABASH AVE,60619.0,1178261.17992344,1846263.68399118,9.0,6.0,44.0,41.73345595339277,-87.62252627790893,"(41.73345595339277,-87.62252627790893)",2015-07-01
189570,07/01/2015,Completed,07/01/2015,15-03118902,Street Light Out,656 W SHERIDAN RD,60613.0,1171029.65968097,1926184.18300353,46.0,19.0,6.0,41.9529255627096,-87.64667797277409,"(41.9529255627096,-87.64667797277409)",2015-07-01
189869,07/01/2015,Completed - Dup,07/02/2015,15-03108493,Street Light Out,3117 S BENSON ST,60608.0,1167511.48850481,1884037.81991042,11.0,9.0,60.0,41.83734966226522,-87.66082530509462,"(41.83734966226522,-87.66082530509463)",2015-07-01
189870,07/01/2015,Completed - Dup,07/02/2015,15-03108494,Street Light Out,3119 S BENSON ST,60608.0,1167512.48850481,1884016.41991042,11.0,9.0,60.0,41.83729091710625,-87.66082225049135,"(41.837290917106245,-87.66082225049135)",2015-07-01
189871,07/01/2015,Completed - Dup,07/02/2015,15-03108585,Street Light Out,700 E 73RD ST,60619.0,1182157.6926209,1856766.49840002,6.0,3.0,69.0,41.762187628480866,-87.6079271663681,"(41.76218762848087,-87.60792716636811)",2015-07-01
