,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
237054,07/01/2015,Completed - Dup,07/01/2015,15-03109064,Street Lights - All/Out,7200 S WABASH AVE,60619.0,1177969.15870441,1857292.43719571,6.0,3.0,69.0,41.76372676434518,-87.62326265856991,"(41.76372676434518, -87.6232626585699)",2015-07-01
237055,07/01/2015,Completed,07/01/2015,15-03109856,Street Lights - All/Out,666 W DIVISION ST,60610.0,1171553.22939222,1908243.04271311,27.0,18.0,8.0,41.903682751961696,-87.64528255713115,"(41.903682751961696, -87.64528255713115)",2015-07-01
237056,07/01/2015,Completed,07/01/2015,15-03110013,Street Lights - All/Out,1333 S LAKE SHORE DR,60605.0,1178828.51708202,1894199.95389085,4.0,1.0,33.0,41.86498457943741,-87.61898843930685,"(41.864984579437404, -87.61898843930685)",2015-07-01
237057,07/01/2015,Completed,07/01/2015,15-03110175,Street Lights - All/Out,6434 S HOYNE AVE,60636.0,1163468.79489796,1861965.70930833,16.0,7.0,67.0,41.776867044902346,-87.67627886625992,"(41.77686704490234, -87.67627886625992)",2015-07-01
237058,07/01/2015,Completed,07/01/2015,15-03111447,Street Lights - All/Out,1300 W LEXINGTON ST,60607.0,1167582.80991585,1896736.83388851,28.0,12.0,28.0,41.8721953453726,-87.66019829477641,"(41.872195345372596, -87.66019829477641)",2015-07-01
237059,07/01/2015,Completed,07/01/2015,15-03115600,Street Lights - All/Out,304 E ROOSEVELT DR,60605.0,1178473.55846669,1895117.94691403,4.0,1.0,32.0,41.867511704498895,-87.62026348891634,"(41.8675117044989, -87.62026348891634)",2015-07-01
237060,07/01/2015,Completed,07/01/2015,15-03118507,Street Lights - All/Out,1900 S LAKE SHORE DR,60616.0,1179765.29802166,1891044.68192885,4.0,1.0,33.0,41.85630488422653,-87.61564637410255,"(41.856304884226525, -87.61564637410257)",2015-07-01
237108,07/02/2015,Completed,07/02/2015,15-03137113,Street Lights - All/Out,3500 N NORA AVE,60634.0,1128798.85009485,1922461.85746641,38.0,16.0,17.0,41.943534601673775,-87.80200792249431,"(41.94353460167377, -87.80200792249431)",2015-07-02
237109,07/02/2015,Completed,07/02/2015,15-03137981,Street Lights - All/Out,3117 S BENSON ST,60608.0,1167511.48850481,1884037.81991042,11.0,9.0,60.0,41.83734966226522,-87.66082530509462,"(41.83734966226522, -87.66082530509463)",2015-07-02
237110,07/02/2015,Completed,07/02/2015,15-03138450,Street Lights - All/Out,9500 S HOUSTON AVE,60617.0,1198175.22012837,1842545.64090427,10.0,4.0,51.0,41.72277887730637,-87.54969662900942,"(41.72277887730637, -87.54969662900942)",2015-07-02
237111,07/02/2015,Completed,07/02/2015,15-03138606,Street Lights - All/Out,2700 W 84TH ST,60652.0,1159880.45310586,1848845.41940185,18.0,8.0,70.0,41.74093747894228,-87.68979350163703,"(41.74093747894228, -87.68979350163701)",2015-07-02
237112,07/02/2015,Completed,07/02/2015,15-03149664,Street Lights - All/Out,9800 S MANISTEE AVE,60617.0,1196330.46800026,1840526.33950296,10.0,4.0,51.0,41.717283615181366,-87.5565203407621,"(41.71728361518137, -87.5565203407621)",2015-07-02
237122,07/01/2015,Completed - Dup,07/02/2015,15-03111286,Street Lights - All/Out,4900 W FLOURNOY ST,60644.0,1143892.85219255,1896509.38867299,29.0,15.0,25.0,41.87204806761397,-87.74718065743699,"(41.872048067613974, -87.74718065743699)",2015-07-01
237123,07/01/2015,Completed,07/02/2015,15-03108532,Street Lights - All/Out,10700 S WABASH AVE,60628.0,1178471.02988595,1834033.36380543,9.0,5.0,49.0,41.699889579500415,-87.62212761605007,"(41.699889579500415, -87.62212761605008)",2015-07-01
237124,07/01/2015,Completed,07/02/2015,15-03108733,Street Lights - All/Out,6155 W 64TH PL,60638.0,1136494.80559084,1861117.7815331002,23.0,8.0,64.0,41.775063173647496,-87.77518653637819,"(41.775063173647496, -87.77518653637819)",2015-07-01
237125,07/01/2015,Completed,07/02/2015,15-03109161,Street Lights - All/Out,133 S HAMLIN BLVD,60624.0,1151092.7126921,1899063.57562205,28.0,11.0,27.0,41.87891908216385,-87.72067978072072,"(41.87891908216384, -87.7206797807207)",2015-07-01
237126,07/01/2015,Completed,07/02/2015,15-03109212,Street Lights - All/Out,2500 W 16TH ST,60608.0,1159967.09108849,1891992.53398617,28.0,10.0,29.0,41.859337001710905,-87.68828972750553,"(41.859337001710905, -87.68828972750553)",2015-07-01
237127,07/01/2015,Completed,07/02/2015,15-03109425,Street Lights - All/Out,29 W 103RD PL,60628.0,1177893.10123344,1836344.57858723,34.0,5.0,49.0,41.70624495336203,-87.62417405358649,"(41.70624495336203, -87.62417405358649)",2015-07-01
237128,07/01/2015,Completed,07/02/2015,15-03109566,Street Lights - All/Out,9800 S MARQUETTE AVE,60617.0,1195949.2784291,1840520.64247637,10.0,4.0,51.0,41.71727741152,-87.5579166349332,"(41.71727741152, -87.5579166349332)",2015-07-01
237129,07/01/2015,Completed,07/02/2015,15-03109582,Street Lights - All/Out,8745 S COMMERCIAL AVE,60617.0,1197661.33186934,1847559.76031366,10.0,4.0,46.0,41.736550852942415,-87.55141206134918,"(41.736550852942415, -87.55141206134918)",2015-07-01
237130,07/01/2015,Completed,07/02/2015,15-03109593,Street Lights - All/Out,9099 S ESCANABA AVE,60617.0,1196970.78992704,1845181.4649332,10.0,4.0,46.0,41.730041804204504,-87.5540208173666,"(41.7300418042045, -87.5540208173666)",2015-07-01
237131,07/01/2015,Completed,07/02/2015,15-03109668,Street Lights - All/Out,6800 N CENTRAL AVE,60646.0,1139584.83592005,1944803.95997931,41.0,16.0,12.0,42.004652903813735,-87.76181532271633,"(42.004652903813735, -87.76181532271633)",2015-07-01
237132,07/01/2015,Completed,07/02/2015,15-03109675,Street Lights - All/Out,6200 N CICERO AVE,60646.0,1143278.00372651,1940593.87778528,39.0,16.0,12.0,41.99303170853006,-87.74833367946287,"(41.99303170853006, -87.74833367946287)",2015-07-01
237133,07/01/2015,Completed,07/02/2015,15-03109731,Street Lights - All/Out,6200 N ST LOUIS AVE,60659.0,1151922.60048678,1940925.94676801,50.0,17.0,13.0,41.99377647281968,-87.71652664408475,"(41.993776472819675, -87.71652664408475)",2015-07-01
237134,07/01/2015,Completed,07/02/2015,15-03109752,Street Lights - All/Out,2426 W LUNT AVE,60645.0,1158877.36157611,1946387.94052837,50.0,24.0,2.0,42.008624064051226,-87.69079334917973,"(42.00862406405123, -87.69079334917973)",2015-07-01
237135,07/01/2015,Completed,07/02/2015,15-03109839,Street Lights - All/Out,1600 N SEDGWICK ST,60614.0,1173352.50372048,1910965.86538195,2.0,18.0,7.0,41.91111452386736,-87.63859245740608,"(41.911114523867354, -87.63859245740608)",2015-07-01
237136,07/01/2015,Completed,07/02/2015,15-03109892,Street Lights - All/Out,1000 N NB OUTER LAKE SHORE DR,60611.0,1178572.62717021,1907306.20009558,2.0,18.0,8.0,41.90095462875872,-87.61952761623405,"(41.90095462875872, -87.61952761623407)",2015-07-01
237137,07/01/2015,Completed,07/02/2015,15-03110086,Street Lights - All/Out,5851 W 55TH ST,60638.0,1138200.05998276,1867522.18996942,23.0,8.0,56.0,41.79260747325829,-87.76878102006819,"(41.7926074732583, -87.76878102006819)",2015-07-01
237138,07/01/2015,Completed,07/02/2015,15-03110092,Street Lights - All/Out,6004 S AUSTIN AVE,60638.0,1137425.28620218,1864123.1293702,13.0,8.0,64.0,41.78329377301022,-87.77170348999498,"(41.783293773010215, -87.77170348999499)",2015-07-01
