,CREATION DATE,STATUS,COMPLETION DATE,SERVICE REQUEST NUMBER,TYPE OF SERVICE REQUEST,CURRENT ACTIVITY,MOST RECENT ACTION,NUMBER OF POTHOLES FILLED ON BLOCK,STREET ADDRESS,ZIP,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,SSA,LATITUDE,LONGITUDE,LOCATION,date
180929,10/01/2013,Completed,10/01/2013,13-01455835,Pot Hole in Street,Final Outcome,Pothole Patched,5.0,2045 W FLETCHER ST,60618.0,1162225.2933071998,1920913.28122085,32.0,19.0,5.0,,41.938531801264375,-87.68005582943199,"(41.938531801264375, -87.68005582943199)",2013-10-01
180930,10/01/2013,Completed,10/01/2013,13-01455844,Pot Hole in Street,Final Outcome,Pothole Patched,2.0,1400 W 43RD ST,60609.0,1167713.86260696,1876227.6879768998,11.0,9.0,61.0,13.0,41.81601658917601,-87.66044332084569,"(41.81601658917601, -87.66044332084567)",2013-10-01
180931,10/01/2013,Completed,10/01/2013,13-01456097,Pot Hole in Street,Final Outcome,Pothole Patched,23.0,1449 N ASTOR ST,60610.0,1176357.05997321,1910092.39922506,43.0,18.0,8.0,,41.90915733221447,-87.62744721286732,"(41.90915733221447, -87.62744721286732)",2013-10-01
180932,10/01/2013,Completed,10/01/2013,13-01459340,Pot Hole in Street,Final Outcome,Pothole Patched,28.0,130 E 70TH ST,60637.0,1178503.55902181,1858638.95071068,6.0,3.0,69.0,,41.767535726692174,-87.6204155121299,"(41.767535726692174, -87.62041551212991)",2013-10-01
180933,10/01/2013,Completed,10/01/2013,13-01459436,Pot Hole in Street,Final Outcome,Pothole Patched,8.0,6938 S MICHIGAN AVE,60637.0,1178361.43550201,1859041.82939114,6.0,3.0,69.0,,41.768051273545574,-87.62190562738267,"(41.76805127354557, -87.62190562738267)",2013-10-01
180934,10/01/2013,Completed,10/01/2013,13-01459467,Pot Hole in Street,Final Outcome,Pothole Patched,3.0,7711 S CHAMPLAIN AVE,60619.0,1181900.39206712,1854023.26066733,6.0,6.0,69.0,,41.754496159402976,-87.60880271557726,"(41.75449615940298, -87.60880271557727)",2013-10-01
180935,10/01/2013,Completed,10/01/2013,13-01459479,Pot Hole in Street,Final Outcome,Pothole Patched,11.0,7820 S CHAMPLAIN AVE,60619.0,1181919.42797143,1853298.32122822,6.0,6.0,69.0,51.0,41.752385243074926,-87.60904841124474,"(41.75238524307493, -87.60904841124474)",2013-10-01
180936,10/01/2013,Completed,10/01/2013,13-01460306,Pot Hole in Street,Final Outcome,Pothole Patched,8.0,8700 S WABASH AVE,60619.0,1178231.12038827,1847327.30017397,6.0,6.0,44.0,,41.73628175367235,-87.62274790791862,"(41.73628175367235, -87.62274790791862)",2013-10-01
180937,10/01/2013,Completed,10/01/2013,13-01460328,Pot Hole in Street,Final Outcome,Pothole Patched,10.0,500 E 89TH ST,60619.0,1181134.73800848,1846080.42357338,6.0,6.0,44.0,,41.73299924308928,-87.61188681825737,"(41.732999243089274, -87.61188681825737)",2013-10-01
180938,10/01/2013,Completed,10/01/2013,13-01460337,Pot Hole in Street,Final Outcome,Pothole Patched,58.0,605 E 89TH ST,60619.0,1181829.67376625,1846101.06168235,6.0,6.0,44.0,,41.732820553777096,-87.60930626730871,"(41.732820553777096, -87.60930626730872)",2013-10-01
180939,10/01/2013,Completed,10/01/2013,13-01460345,Pot Hole in Street,Final Outcome,Pothole Patched,32.0,700 E 89TH ST,60619.0,1182457.02317852,1846119.42679202,6.0,6.0,44.0,51.0,41.73307558708288,-87.60704117916794,"(41.73307558708288, -87.60704117916794)",2013-10-01
180940,10/01/2013,Completed,10/01/2013,13-01460499,Pot Hole in Street,Final Outcome,Pothole Patched,5.0,4100 W 58TH PL,60629.0,1150035.66779448,1865494.43207626,13.0,8.0,62.0,,41.7869296066565,-87.72555826256712,"(41.7869296066565, -87.72555826256713)",2013-10-01
181135,10/02/2013,Completed - Dup,10/02/2013,13-01467800,Pot Hole in Street,Final Outcome,,0.0,2400 W 70TH ST,60629.0,1161583.96917929,1858179.51860904,17.0,8.0,66.0,14.0,41.76662530351608,-87.68335770222505,"(41.76662530351608, -87.68335770222505)",2013-10-02
181136,10/02/2013,Completed,10/02/2013,13-01465357,Pot Hole in Street,Final Outcome,Pothole Patched,1.0,7012 S SANGAMON ST,60621.0,1171185.47708467,1858337.98040382,17.0,7.0,68.0,,41.766535711302296,-87.64823761922257,"(41.766535711302296, -87.64823761922256)",2013-10-02
181137,10/02/2013,Completed,10/02/2013,13-01465362,Pot Hole in Street,Final Outcome,Pothole Patched,5.0,6941 S SANGAMON ST,60621.0,1171174.00273259,1858806.10727819,17.0,7.0,68.0,,41.76756782678458,-87.64796949189586,"(41.76756782678458, -87.64796949189588)",2013-10-02
181138,10/02/2013,Completed,10/02/2013,13-01465379,Pot Hole in Street,Final Outcome,Pothole Patched,4.0,7004 S PEORIA ST,60621.0,1171514.07591918,1858400.27518747,17.0,7.0,68.0,,41.76677826472944,-87.64703314253731,"(41.76677826472944, -87.64703314253731)",2013-10-02
