SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,12-01010943,06/01/2012,Front,,Open,,Vacant,False,False,8617,S,ASHLAND,AVE,60620.0,1167174.95683011,1847575.49609833,21.0,6.0,71.0,41.737299825648506,-87.66310316396509,"(41.737299825648506, -87.66310316396509)",2012-06-01
Vacant/Abandoned Building,12-01011633,06/01/2012,,,,,,,,8111,S,CALUMET,AVE,60619.0,1179882.45749837,1851297.89382731,6.0,6.0,44.0,41.747233521292955,-87.61643314244417,"(41.74723352129295, -87.61643314244417)",2012-06-01
Vacant/Abandoned Building,12-01011826,06/01/2012,Rear,,Open,REAR,Vacant,False,True,1610,S,CANAL,ST,60616.0,1173389.90491107,1892302.19982668,25.0,12.0,31.0,41.85989945256904,-87.6390098096791,"(41.85989945256904, -87.6390098096791)",2012-06-01
Vacant/Abandoned Building,12-01012080,06/01/2012,Front,,Open,IN THE REAR OF THE BUILDING.,Vacant,False,False,316,N,MAYFIELD,AVE,60644.0,1137105.46642775,1901498.32632996,29.0,15.0,25.0,41.88586286626617,-87.77198057989283,"(41.88586286626617, -87.77198057989283)",2012-06-01
Vacant/Abandoned Building,12-01012190,06/01/2012,Front,,Open,IN THE REAR OF THE BUILDING,Vacant,False,False,4908,W,WEST END,AVE,60644.0,1143607.48727852,1900533.61787277,28.0,15.0,25.0,41.88309639265317,-87.74812762488851,"(41.883096392653165, -87.74812762488851)",2012-06-01
Vacant/Abandoned Building,12-01012292,06/01/2012,Rear,,Open,SIDE DOOR -WINDOWS,Vacant,False,True,2323,N,MELVINA,AVE,60639.0,1134692.10790872,1914750.12591321,29.0,25.0,19.0,41.92227045893353,-87.78052949791264,"(41.92227045893353, -87.78052949791264)",2012-06-01
Vacant/Abandoned Building,12-01012584,06/01/2012,Front,,Open,,Vacant,False,False,3722,N,SAYRE,AVE,60634.0,1129083.61849124,1923946.04319838,36.0,16.0,17.0,41.947602530581676,-87.80092734420546,"(41.947602530581676, -87.80092734420545)",2012-06-01
Vacant/Abandoned Building,12-01012695,06/01/2012,,,,,,,,10306,S,AVENUE N,,60617.0,1201167.59997367,1837223.666084,10.0,4.0,52.0,41.70809967995458,-87.5389160127802,"(41.70809967995458, -87.5389160127802)",2012-06-01
Vacant/Abandoned Building,12-01012819,06/01/2012,Front,,Open,FRONT DOOR,Vacant,False,False,12231,S,UNION,AVE,60628.0,1173862.41142125,1823763.17318622,34.0,5.0,53.0,41.671809758678506,-87.63930536995933,"(41.671809758678506, -87.63930536995935)",2012-06-01
Vacant/Abandoned Building,12-01013120,06/01/2012,Front,,Open,FRONT & REAR OF STRUCTURE,Vacant,False,False,4031,W,21ST,PL,60623.0,1149835.63998896,1889454.35999712,24.0,10.0,29.0,41.85257479263032,-87.72554535565115,"(41.852574792630314, -87.72554535565114)",2012-06-01
