SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date,Community
Vacant/Abandoned Building,11-00091227,01/20/2011,Front,,Open,,Vacant,False,False,6135,S,ROCKWELL,ST,60629.0,1160091.76047857,1863880.25113113,15.0,8.0,66.0,41.78219095362173,-87.68860641154293,"(41.78219095362173, -87.68860641154292)",2011-01-20,66
Vacant/Abandoned Building,11-00091245,01/20/2011,Front,,Open,2FLT.. FRONT..,Vacant,False,False,5237,S,PAULINA,ST,60609.0,1165898.55688157,1869974.07989799,16.0,9.0,61.0,41.79879171978272,-87.66714393342095,"(41.79879171978272, -87.66714393342095)",2011-01-20,61
Vacant/Abandoned Building,11-00091568,01/20/2011,Front,,Open,FRONT,Vacant,True,False,1750,E,84TH,ST,60617.0,1189056.73788853,1849621.57202441,8.0,4.0,45.0,41.742418865935676,-87.58287004221997,"(41.74241886593567, -87.58287004221997)",2011-01-20,45
Vacant/Abandoned Building,11-00091587,01/20/2011,Front,,Open,FRONT & REAR,Vacant,False,False,11332,S,EDBROOKE,AVE,60628.0,1179221.55842981,1829843.68958258,9.0,5.0,49.0,41.6883754801852,-87.61950664202647,"(41.688375480185194, -87.61950664202647)",2011-01-20,49
Vacant/Abandoned Building,11-00092059,01/20/2011,,,,,,,,5339,W,LAKE,ST,60644.0,1140599.18302755,1902051.33178118,28.0,15.0,25.0,41.88731695105657,-87.75913713666245,"(41.88731695105657, -87.75913713666245)",2011-01-20,25
Vacant/Abandoned Building,11-00092384,01/20/2011,Front,,Open,FRONT AND REAR,Vacant,False,False,8000,S,PAULINA,ST,60620.0,1166402.20870398,1851651.84072373,21.0,6.0,71.0,41.748502385660025,-87.66581845059963,"(41.74850238566002, -87.66581845059962)",2011-01-20,71
Vacant/Abandoned Building,11-00092685,01/20/2011,Front,,Open,,Vacant,False,True,3751,W,64TH,PL,60629.0,1152473.48980791,1861573.33691278,13.0,8.0,65.0,41.776013777553885,-87.71659799959473,"(41.77601377755388, -87.71659799959473)",2011-01-20,65
Vacant/Abandoned Building,11-00092696,01/20/2011,Front,,Open,THE ROOF IS OPEN DUE TO FIRE 2YRS AGO,Vacant,True,False,9721,S,OGLESBY,AVE,60617.0,1193673.83161237,1840770.88478873,7.0,4.0,51.0,41.718020035784214,-87.5662423012928,"(41.718020035784214, -87.5662423012928)",2011-01-20,51
Vacant/Abandoned Building,11-00092698,01/20/2011,Front,,Open,,Vacant,False,True,549,N,LECLAIRE,AVE,60644.0,1142267.04150663,1903155.13560976,28.0,15.0,25.0,41.89031513359106,-87.75298477223757,"(41.89031513359106, -87.75298477223757)",2011-01-20,25
Vacant/Abandoned Building,11-00092774,01/20/2011,Front,,Open,UNSECURED WINDOWS AND DOORS,Vacant,False,True,5340,S,ALBANY,AVE,60632.0,1156621.52678498,1868955.17228568,14.0,9.0,63.0,41.79618795522815,-87.70119252753857,"(41.79618795522815, -87.70119252753857)",2011-01-20,63
