,route,date,daytype,rides
459418,3,2011-01-01,U,8039
459419,4,2011-01-01,U,10006
459420,5,2011-01-01,U,455
459421,6,2011-01-01,U,5658
459422,8,2011-01-01,U,7317
459423,9,2011-01-01,U,12079
459424,10,2011-01-01,U,436
459425,11,2011-01-01,U,907
459426,12,2011-01-01,U,6120
459427,14,2011-01-01,U,2781
459428,15,2011-01-01,U,3458
459429,18,2011-01-01,U,1110
459430,20,2011-01-01,U,7307
459431,21,2011-01-01,U,3444
459432,22,2011-01-01,U,10719
459433,28,2011-01-01,U,2485
459434,29,2011-01-01,U,8061
459435,30,2011-01-01,U,559
459436,34,2011-01-01,U,2592
459437,35,2011-01-01,U,1672
459438,36,2011-01-01,U,10433
459439,43,2011-01-01,U,497
459440,44,2011-01-01,U,1295
459441,47,2011-01-01,U,4656
459442,49,2011-01-01,U,11742
459443,50,2011-01-01,U,2728
459444,51,2011-01-01,U,787
459445,52,2011-01-01,U,4328
459446,53,2011-01-01,U,8114
459447,54,2011-01-01,U,4857
459448,55,2011-01-01,U,6364
459449,56,2011-01-01,U,3098
459450,57,2011-01-01,U,676
459451,60,2011-01-01,U,3467
459452,62,2011-01-01,U,4267
459453,63,2011-01-01,U,8978
459454,65,2011-01-01,U,2086
459455,66,2011-01-01,U,10623
459456,67,2011-01-01,U,6240
459457,68,2011-01-01,U,236
459458,70,2011-01-01,U,3465
459459,71,2011-01-01,U,5182
459460,72,2011-01-01,U,7045
459461,73,2011-01-01,U,1254
459462,74,2011-01-01,U,4616
459463,75,2011-01-01,U,3774
459464,76,2011-01-01,U,3249
459465,77,2011-01-01,U,8375
459466,78,2011-01-01,U,2449
459467,79,2011-01-01,U,15075
459468,80,2011-01-01,U,5212
459469,81,2011-01-01,U,5996
459470,82,2011-01-01,U,6022
459471,84,2011-01-01,U,1006
459472,85,2011-01-01,U,4138
459473,87,2011-01-01,U,6101
459474,88,2011-01-01,U,289
459475,90,2011-01-01,U,1830
459476,91,2011-01-01,U,2152
459477,92,2011-01-01,U,2290
459478,94,2011-01-01,U,2612
459479,97,2011-01-01,U,1803
459480,103,2011-01-01,U,1174
459481,106,2011-01-01,U,307
459482,111,2011-01-01,U,1982
459483,112,2011-01-01,U,847
459484,119,2011-01-01,U,2996
459485,124,2011-01-01,U,609
459486,126,2011-01-01,U,1924
459487,145,2011-01-01,U,2310
459488,146,2011-01-01,U,5251
459489,147,2011-01-01,U,5853
459490,151,2011-01-01,U,12084
459491,152,2011-01-01,U,2164
459492,155,2011-01-01,U,4267
459493,171,2011-01-01,U,102
459494,172,2011-01-01,U,67
459495,49B,2011-01-01,U,2125
459496,52A,2011-01-01,U,1123
459497,53A,2011-01-01,U,1510
459498,54B,2011-01-01,U,1474
459499,63W,2011-01-01,U,401
459500,81W,2011-01-01,U,399
459501,8A,2011-01-01,U,1510
459502,95E,2011-01-01,U,2024
459503,95W,2011-01-01,U,2025
459504,N201,2011-01-01,U,51
459505,3,2011-01-02,U,7607
459506,4,2011-01-02,U,9700
459507,5,2011-01-02,U,419
459508,6,2011-01-02,U,6097
459509,8,2011-01-02,U,8203
459510,9,2011-01-02,U,13619
459511,10,2011-01-02,U,389
459512,11,2011-01-02,U,1539
459513,12,2011-01-02,U,6235
459514,14,2011-01-02,U,2980
459515,15,2011-01-02,U,3720
459516,18,2011-01-02,U,1410
459517,20,2011-01-02,U,7203
459518,21,2011-01-02,U,4189
459519,22,2011-01-02,U,12086
459520,28,2011-01-02,U,2403
459521,29,2011-01-02,U,5974
459522,30,2011-01-02,U,622
459523,34,2011-01-02,U,3041
459524,35,2011-01-02,U,1809
459525,36,2011-01-02,U,12180
459526,43,2011-01-02,U,445
459527,44,2011-01-02,U,1131
459528,47,2011-01-02,U,4837
459529,49,2011-01-02,U,11293
459530,50,2011-01-02,U,2813
459531,51,2011-01-02,U,807
459532,52,2011-01-02,U,5087
459533,53,2011-01-02,U,8946
459534,54,2011-01-02,U,5699
459535,55,2011-01-02,U,6698
459536,56,2011-01-02,U,4166
459537,57,2011-01-02,U,668
459538,60,2011-01-02,U,4229
459539,62,2011-01-02,U,4552
459540,63,2011-01-02,U,9708
459541,65,2011-01-02,U,2338
459542,66,2011-01-02,U,10162
459543,67,2011-01-02,U,6457
459544,68,2011-01-02,U,325
459545,70,2011-01-02,U,3955
459546,71,2011-01-02,U,5471
459547,72,2011-01-02,U,7417
459548,73,2011-01-02,U,1650
459549,74,2011-01-02,U,5657
459550,75,2011-01-02,U,3618
459551,76,2011-01-02,U,4210
459552,77,2011-01-02,U,8992
459553,78,2011-01-02,U,3222
459554,79,2011-01-02,U,14496
459555,80,2011-01-02,U,6061
459556,81,2011-01-02,U,7095
459557,82,2011-01-02,U,7186
459558,84,2011-01-02,U,1231
459559,85,2011-01-02,U,4495
459560,87,2011-01-02,U,6486
459561,88,2011-01-02,U,345
459562,90,2011-01-02,U,2080
459563,91,2011-01-02,U,2461
459564,92,2011-01-02,U,2489
459565,94,2011-01-02,U,2673
459566,97,2011-01-02,U,1529
459567,103,2011-01-02,U,1394
459568,106,2011-01-02,U,307
459569,111,2011-01-02,U,2512
459570,112,2011-01-02,U,831
459571,119,2011-01-02,U,2722
459572,124,2011-01-02,U,571
459573,126,2011-01-02,U,1997
459574,145,2011-01-02,U,2363
