,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
6,01/10/2011,Completed - Dup,01/10/2011,11-00040726,Street Light - 1/Out,504 S LARAMIE AVE,60644.0,1141805.69327098,1897171.84208577,29.0,15.0,25.0,41.87390478023467,-87.75482720289442,"(41.87390478023467,-87.75482720289442)",2011-01-10
7,01/10/2011,Completed - Dup,01/10/2011,11-00045711,Street Light - 1/Out,6024 W FLETCHER ST,60634.0,1135678.45182563,1920316.30008648,36.0,25.0,19.0,41.937527160367154,-87.77677255497987,"(41.93752716036715,-87.77677255497987)",2011-01-10
8,01/10/2011,Completed - Dup,01/10/2011,11-00046826,Street Light - 1/Out,4900 S HALSTED ST,60609.0,1171799.94262892,1872291.50600304,3.0,9.0,61.0,41.80502343693148,-87.64543428405335,"(41.80502343693148,-87.64543428405335)",2011-01-10
9,01/10/2011,Completed - Dup,01/11/2011,11-00043524,Street Light - 1/Out,5226 W SCHUBERT AVE,60639.0,1141078.47442537,1917455.97897947,31.0,25.0,19.0,41.9295802328296,-87.7569969091612,"(41.9295802328296,-87.7569969091612)",2011-01-10
10,01/10/2011,Completed - Dup,01/11/2011,11-00045645,Street Light - 1/Out,6024 W FLETCHER ST,60634.0,1135678.45182563,1920316.30008648,36.0,25.0,19.0,41.937527160367154,-87.77677255497987,"(41.93752716036715,-87.77677255497987)",2011-01-10
11,01/10/2011,Completed - Dup,01/11/2011,11-00045909,Street Light - 1/Out,6024 W FLETCHER ST,60634.0,1135678.45182563,1920316.30008648,36.0,25.0,19.0,41.937527160367154,-87.77677255497987,"(41.93752716036715,-87.77677255497987)",2011-01-10
12,01/10/2011,Completed - Dup,01/11/2011,11-00047375,Street Light - 1/Out,4627 S CHRISTIANA AVE,60632.0,1154838.1000713,1873756.62730464,14.0,8.0,58.0,41.80939961686805,-87.70760435775443,"(41.80939961686805,-87.70760435775443)",2011-01-10
13,01/10/2011,Completed - Dup,01/11/2011,11-00047436,Street Light - 1/Out,5629 S PARKSIDE AVE,60638.0,1139662.8274978,1866705.79617759,23.0,8.0,56.0,41.790340663066395,-87.7634369849774,"(41.7903406630664,-87.76343698497739)",2011-01-10
14,01/10/2011,Completed - Dup,01/12/2011,11-00040829,Street Light - 1/Out,5800 S WASHTENAW AVE,60629.0,1159366.07141897,1866089.25976585,16.0,8.0,63.0,41.78826768008285,-87.69120651831669,"(41.788267680082846,-87.69120651831669)",2011-01-10
15,01/10/2011,Completed - Dup,01/12/2011,11-00042317,Street Light - 1/Out,5444 W GALE ST,60630.0,1138954.77261442,1932165.29618267,45.0,16.0,11.0,41.96998293237723,-87.76444224525486,"(41.96998293237723,-87.76444224525486)",2011-01-10
16,01/10/2011,Completed - Dup,01/12/2011,11-00047426,Street Light - 1/Out,3530 W FLOURNOY ST,60624.0,1152949.50679631,1896804.29467102,24.0,11.0,27.0,41.87268279899418,-87.71392180343905,"(41.87268279899418,-87.71392180343904)",2011-01-10
17,01/10/2011,Completed - Dup,01/13/2011,11-00046688,Street Light - 1/Out,4556 N MELVINA AVE,,1134196.99592728,1929796.07979708,38.0,16.0,15.0,41.96356693247279,-87.78199313552179,"(41.96356693247279,-87.7819931355218)",2011-01-10
18,01/10/2011,Completed - Dup,01/13/2011,11-00046910,Street Light - 1/Out,3401 W 61ST PL,60629.0,1154778.66630479,1863636.77752353,15.0,8.0,66.0,41.781630493414504,-87.70809232030192,"(41.7816304934145,-87.70809232030192)",2011-01-10
19,01/10/2011,Completed - Dup,01/13/2011,11-00047632,Street Light - 1/Out,2600 W ARMITAGE AVE,60647.0,1158637.06232696,1913188.76103435,1.0,14.0,22.0,41.91752867357093,-87.69259088925327,"(41.91752867357093,-87.69259088925327)",2011-01-10
20,01/10/2011,Completed - Dup,01/14/2011,11-00046634,Street Light - 1/Out,4930 N MILWAUKEE AVE,60630.0,1139351.48241772,1932315.50080984,45.0,16.0,11.0,41.97038786905687,-87.7629798293623,"(41.970387869056864,-87.7629798293623)",2011-01-10
21,01/10/2011,Completed - Dup,01/14/2011,11-00047441,Street Light - 1/Out,2851 W 59TH ST,60629.0,1158289.30852467,1865393.38380404,16.0,8.0,66.0,41.78638009943368,-87.69517356277441,"(41.78638009943368,-87.69517356277441)",2011-01-10
22,01/10/2011,Completed - Dup,01/15/2011,11-00041109,Street Light - 1/Out,4431 S UNION AVE,60609.0,1172373.43000789,1875385.78000409,11.0,9.0,61.0,41.81350182071107,-87.64323985760927,"(41.81350182071107,-87.64323985760927)",2011-01-10
23,01/10/2011,Completed - Dup,01/15/2011,11-00041114,Street Light - 1/Out,4425 S UNION AVE,60609.0,1172372.23000789,1875429.68000409,11.0,9.0,61.0,41.813622313069075,-87.64324296614006,"(41.813622313069075,-87.64324296614006)",2011-01-10
