SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,12-00715633,04/04/2012,,,,,,,,1420,N,HOYNE,AVE,60622.0,1162140.9196091,1909495.73267487,32.0,14.0,24.0,41.90732218315362,-87.67982100919635,"(41.90732218315362, -87.67982100919635)",2012-04-04
Vacant/Abandoned Building,12-00700260,04/01/2012,Front,,Open,IN THE REAR OF THE BUILDING,Vacant,False,False,4910,W,WEST END,AVE,60644.0,1143586.68727852,1900533.11787277,28.0,15.0,25.0,41.88309540978484,-87.74820401703786,"(41.88309540978484, -87.74820401703786)",2012-04-01
Vacant/Abandoned Building,12-00700373,04/01/2012,Rear,,Open,,Vacant,True,False,8356,S,BALTIMORE,AVE,60617.0,1196918.61102326,1850134.84126866,10.0,4.0,46.0,41.743635562395546,-87.55404765524021,"(41.743635562395546, -87.5540476552402)",2012-04-01
Vacant/Abandoned Building,12-00700384,04/01/2012,Front,,Open,FRONT,Vacant,False,False,398,E,116TH,ST,60628.0,1180976.90002713,1827757.67997367,9.0,5.0,53.0,41.68261107940306,-87.61314434178949,"(41.68261107940306, -87.6131443417895)",2012-04-01
Vacant/Abandoned Building,12-00700695,04/01/2012,Front,,Boarded,,Vacant,False,False,4200,S,ELLIS,AVE,60653.0,1183632.50821927,1877118.92782492,4.0,2.0,36.0,41.81800217100333,-87.60188720376281,"(41.81800217100333, -87.60188720376281)",2012-04-01
Vacant/Abandoned Building,12-00700946,04/01/2012,Garage,,Boarded,,Vacant,False,True,7710,S,RACINE,AVE,60620.0,1169658.18580283,1853663.61978616,17.0,6.0,71.0,41.75395304260866,-87.65382917984816,"(41.753953042608664, -87.65382917984816)",2012-04-01
Vacant/Abandoned Building,12-00700965,04/01/2012,Front,,Open,FRONT,Vacant,False,False,126,E,119TH,PL,60628.0,1179181.10971621,1825755.19811072,9.0,5.0,53.0,41.67715697773663,-87.61977868776279,"(41.67715697773663, -87.6197786877628)",2012-04-01
Vacant/Abandoned Building,12-00701350,04/02/2012,Front,,Open,FRONT & REAR,Vacant,False,False,2018,N,KILDARE,AVE,60639.0,1147391.49667815,1913148.86993178,30.0,25.0,20.0,41.91764232963872,-87.73390872490586,"(41.91764232963872, -87.73390872490586)",2012-04-02
Vacant/Abandoned Building,12-00701386,04/02/2012,Garage,,Open,READ DOOR OF HOUSE,Vacant,False,True,8408,S,BAKER,AVE,60617.0,1198643.01890789,1849515.09856798,10.0,4.0,46.0,41.74189191646803,-87.54775017423843,"(41.74189191646802, -87.54775017423844)",2012-04-02
Vacant/Abandoned Building,12-00701774,04/02/2012,Front,,Open,,Vacant,False,False,2125,W,79TH,ST,60620.0,1163460.35000642,1852243.11642397,18.0,6.0,71.0,41.75018705628956,-87.67658195846272,"(41.750187056289555, -87.67658195846272)",2012-04-02
