SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,10-00009746,01/04/2010,,,,,,,,2107,W,50TH,PL,60609.0,1163171.83869069,1871162.89779532,16.0,9.0,61.0,41.802111537390815,-87.67711015151397,"(41.80211153739081, -87.67711015151397)",2010-01-04
Vacant/Abandoned Building,10-00012008,01/04/2010,Front,,Open,FRONT AND REAR,Vacant,False,True,1435,S,HAMLIN,AVE,60623.0,1151279.49010212,1892765.86700673,24.0,10.0,29.0,41.86163379716747,-87.72015914517057,"(41.86163379716747, -87.72015914517058)",2010-01-04
Vacant/Abandoned Building,10-00017340,01/05/2010,Front,,Open,FRONT/SIDE DOORS,Vacant,False,True,7821,S,HOYNE,AVE,60620.0,1163721.46168467,1852774.14410549,18.0,6.0,71.0,41.75163880082618,-87.67561024885305,"(41.75163880082618, -87.67561024885305)",2010-01-05
Vacant/Abandoned Building,10-00018164,01/05/2010,Front,,Open,FRONT DOOR,Vacant,False,True,8121,S,NORMAL,AVE,60620.0,1174378.52661569,1850975.21990026,21.0,6.0,44.0,41.74647213026224,-87.63661055519484,"(41.746472130262234, -87.63661055519484)",2010-01-05
Vacant/Abandoned Building,10-00018856,01/05/2010,Front,,Open,FRONT/BACK,Vacant,False,False,7653,S,BISHOP,ST,60620.0,1167886.51123404,1853989.72291884,17.0,6.0,71.0,41.754886128747,-87.66031242371527,"(41.754886128746996, -87.66031242371527)",2010-01-05
Vacant/Abandoned Building,10-00023854,01/06/2010,Front,,Open,REAR BASEMENT DOOR,Vacant,False,True,11210,S,STEWART,AVE,60628.0,1175620.19001827,1830522.5999938,34.0,22.0,49.0,41.690319648931606,-87.6326707391968,"(41.69031964893161, -87.6326707391968)",2010-01-06
Vacant/Abandoned Building,10-00025569,01/06/2010,Front,,Open,"FRONT, REAR",Vacant,False,False,10532,S,MARYLAND,AVE,60628.0,1183769.66487305,1835298.58011116,9.0,5.0,50.0,41.70323978676675,-87.60268707576769,"(41.70323978676675, -87.60268707576769)",2010-01-06
Vacant/Abandoned Building,10-00027763,01/07/2010,,,,,,,,321,E,134TH,ST,60827.0,1180689.34157617,1816538.91217825,9.0,5.0,54.0,41.651831674009664,-87.61453949753088,"(41.651831674009664, -87.61453949753088)",2010-01-07
Vacant/Abandoned Building,10-00029517,01/07/2010,Front,,Open,FRONT,Vacant,False,False,10742,S,INDIANA,AVE,60628.0,1179484.24262183,1833778.89517345,9.0,5.0,49.0,41.699168262432494,-87.61842540805011,"(41.69916826243249, -87.61842540805013)",2010-01-07
Vacant/Abandoned Building,10-00033969,01/08/2010,,,,,,,,8033,S,ASHLAND,AVE,60620.0,1167070.38318232,1851446.01087947,21.0,6.0,71.0,41.74792330888341,-87.66337589241905,"(41.74792330888341, -87.66337589241904)",2010-01-08
