SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,10-00423163,04/01/2010,Front,,Open,FRONT,Vacant,False,False,6818,S,MORGAN,ST,60621.0,1170820.15099024,1859612.47706803,17.0,7.0,68.0,41.7702521971923,-87.64939764190315,"(41.7702521971923, -87.64939764190316)",2010-04-01
Vacant/Abandoned Building,10-00423441,04/01/2010,Front,,Boarded,FRONT,Vacant,False,False,1321,W,71ST,ST,60636.0,1168509.69989069,1857679.13319518,17.0,7.0,67.0,41.7649969583929,-87.65792245738542,"(41.7649969583929, -87.65792245738542)",2010-04-01
Vacant/Abandoned Building,10-00424304,04/01/2010,,,,,,,,5700,S,LA SALLE,ST,60621.0,1176265.52173423,1867192.41989633,3.0,2.0,68.0,41.79093180340015,-87.62920971832749,"(41.79093180340015, -87.62920971832749)",2010-04-01
Vacant/Abandoned Building,10-00424593,04/01/2010,Front,,Open,REAR DOOR 1ST FLOOR AND WINDOWS,Vacant,False,True,7342,S,LANGLEY,AVE,60619.0,1182164.8926209,1856484.39840002,6.0,3.0,69.0,41.76141335065019,-87.60790949692263,"(41.761413350650194, -87.60790949692263)",2010-04-01
Vacant/Abandoned Building,10-00425061,04/01/2010,Front,,Open,FRONT,Vacant,False,False,306,W,118TH,ST,60628.0,1176335.24966876,1826680.38110818,34.0,5.0,53.0,41.679760025121425,-87.63016769677387,"(41.67976002512142, -87.63016769677387)",2010-04-01
Vacant/Abandoned Building,10-00425323,04/01/2010,Front,,Open,FRONT,Vacant,False,True,7826,S,MARSHFIELD,AVE,60620.0,1166702.81851722,1852812.6575264998,17.0,6.0,71.0,41.75168142566702,-87.66468385189474,"(41.75168142566702, -87.66468385189474)",2010-04-01
Vacant/Abandoned Building,10-00425441,04/01/2010,,,,,,,,12251,S,WALLACE,ST,60628.0,1174523.65651387,1823644.53773275,34.0,5.0,53.0,41.671469563848326,-87.63688873168579,"(41.67146956384833, -87.63688873168579)",2010-04-01
Vacant/Abandoned Building,10-00425644,04/01/2010,Rear,,Open,REAR DOOR,Vacant,False,True,9021,S,MORGAN,ST,60620.0,1171229.58606917,1844999.19301296,21.0,22.0,73.0,41.7301424804782,-87.64832328955522,"(41.7301424804782, -87.64832328955524)",2010-04-01
Vacant/Abandoned Building,10-00425660,04/01/2010,Garage,,Boarded,GARAGE,Vacant,False,True,3752,W,69TH,PL,60629.0,1152550.87440281,1858257.51147745,13.0,8.0,65.0,41.76691310379828,-87.71640150537014,"(41.76691310379828, -87.71640150537014)",2010-04-01
Vacant/Abandoned Building,10-00425731,04/01/2010,Front,,Open,WINDOWS AND UPSTAIR DOOR AND CHILDREN ARE RUNNING IN AND OUT DANGEROUS.  SOME HOW THEY ARE GETTING INTO THE FRONT DOOR AS WELL,Vacant,False,True,7948,S,CARPENTER,ST,60620.0,1170694.15842841,1852110.10130772,17.0,6.0,71.0,41.74966746745565,-87.65007790469198,"(41.749667467455644, -87.65007790469198)",2010-04-01
