,route,date,daytype,rides
272915,1,2007-02-01,W,2952
272916,2,2007-02-01,W,2311
272917,3,2007-02-01,W,22434
272918,4,2007-02-01,W,22004
272919,5,2007-02-01,W,200
272920,6,2007-02-01,W,10716
272921,7,2007-02-01,W,7195
272922,8,2007-02-01,W,21219
272923,9,2007-02-01,W,22230
272924,11,2007-02-01,W,4431
272925,12,2007-02-01,W,10985
272926,14,2007-02-01,W,13871
272927,15,2007-02-01,W,8583
272928,17,2007-02-01,W,492
272929,18,2007-02-01,W,1683
272930,20,2007-02-01,W,23808
272931,21,2007-02-01,W,6311
272932,22,2007-02-01,W,20605
272933,24,2007-02-01,W,3922
272934,26,2007-02-01,W,2355
272935,28,2007-02-01,W,6028
272936,29,2007-02-01,W,15812
272937,30,2007-02-01,W,3945
272938,33,2007-02-01,W,151
272939,34,2007-02-01,W,5933
272940,35,2007-02-01,W,6661
272941,36,2007-02-01,W,16228
272942,38,2007-02-01,W,1608
272943,39,2007-02-01,W,1873
272944,43,2007-02-01,W,1380
272945,44,2007-02-01,W,7384
272946,47,2007-02-01,W,11579
272947,48,2007-02-01,W,1203
272948,49,2007-02-01,W,19388
272949,50,2007-02-01,W,7920
272950,51,2007-02-01,W,2160
272951,52,2007-02-01,W,11471
272952,53,2007-02-01,W,21522
272953,54,2007-02-01,W,9054
272954,55,2007-02-01,W,11931
272955,56,2007-02-01,W,13431
272956,57,2007-02-01,W,3681
272957,59,2007-02-01,W,3701
272958,60,2007-02-01,W,13601
272959,62,2007-02-01,W,13483
272960,63,2007-02-01,W,21707
272961,64,2007-02-01,W,186
272962,65,2007-02-01,W,6335
272963,66,2007-02-01,W,21547
272964,67,2007-02-01,W,15538
272965,68,2007-02-01,W,1938
272966,69,2007-02-01,W,680
272967,70,2007-02-01,W,11405
272968,71,2007-02-01,W,11433
272969,72,2007-02-01,W,15463
272970,73,2007-02-01,W,5319
272971,74,2007-02-01,W,11536
272972,75,2007-02-01,W,8981
272973,76,2007-02-01,W,11181
272974,77,2007-02-01,W,21182
272975,78,2007-02-01,W,8775
272976,79,2007-02-01,W,35872
272977,80,2007-02-01,W,11839
272978,81,2007-02-01,W,13012
272979,82,2007-02-01,W,18572
272980,84,2007-02-01,W,4363
272981,85,2007-02-01,W,12544
272982,86,2007-02-01,W,2930
272983,87,2007-02-01,W,18351
272984,88,2007-02-01,W,1950
272985,90,2007-02-01,W,4630
272986,91,2007-02-01,W,9102
272987,92,2007-02-01,W,8450
272988,93,2007-02-01,W,2947
272989,94,2007-02-01,W,9975
272990,96,2007-02-01,W,976
272991,97,2007-02-01,W,3275
272992,100,2007-02-01,W,1100
272993,103,2007-02-01,W,4347
272994,106,2007-02-01,W,2584
