,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
5026,02/01/2013,Completed - Dup,02/05/2013,13-00126625,Alley Light Out,3938 W 65TH PL,60629.0,1151241.30248799,1860877.45510915,13.0,8.0,65.0,41.774128327456495,-87.72113331426912,"(41.774128327456495, -87.72113331426912)",2013-02-01
5027,02/01/2013,Completed - Dup,02/06/2013,13-00129070,Alley Light Out,12450 S UNION AVE,60628.0,1173900.01648858,1822646.07690717,34.0,5.0,53.0,41.66874343142413,-87.63920066884072,"(41.668743431424126, -87.63920066884072)",2013-02-01
5028,02/01/2013,Completed - Dup,02/11/2013,13-00126611,Alley Light Out,3829 W 70TH ST,60629.0,1152046.66328311,1857912.29550191,13.0,8.0,65.0,41.76597568458633,-87.71825871173388,"(41.76597568458633, -87.71825871173387)",2013-02-01
5029,02/01/2013,Completed - Dup,02/12/2013,13-00126647,Alley Light Out,5545 S KILDARE AVE,60629.0,1148642.91100789,1867485.84789425,13.0,8.0,62.0,41.792313178254425,-87.73048881541331,"(41.79231317825442, -87.73048881541331)",2013-02-01
5030,02/01/2013,Completed - Dup,02/12/2013,13-00129093,Alley Light Out,5950 S STATE ST,60621.0,1177284.26121793,1865899.99312228,20.0,2.0,40.0,41.787362299087036,-87.6255132760561,"(41.78736229908703, -87.6255132760561)",2013-02-01
5031,02/01/2013,Completed - Dup,02/18/2013,13-00129241,Alley Light Out,7308 S SACRAMENTO AVE,60629.0,1157638.18103115,1856019.02297111,18.0,8.0,66.0,41.76066870576624,-87.6978149377776,"(41.76066870576624, -87.6978149377776)",2013-02-01
5032,02/01/2013,Completed - Dup,02/19/2013,13-00127820,Alley Light Out,9835 S AVENUE J,60617.0,1202458.92177543,1840510.88363204,10.0,4.0,52.0,41.71708727513744,-87.53407550560492,"(41.71708727513744, -87.5340755056049)",2013-02-01
5033,02/01/2013,Completed - Dup,02/20/2013,13-00129201,Alley Light Out,7425 S STEWART AVE,60621.0,1174910.91830449,1855705.19772446,17.0,7.0,69.0,41.759439921934266,-87.6345189800442,"(41.759439921934266, -87.6345189800442)",2013-02-01
5034,02/01/2013,Completed - Dup,02/26/2013,13-00129021,Alley Light Out,2949 W ARTHINGTON ST,60612.0,1156840.32357157,1895896.11898787,28.0,11.0,27.0,41.870112737669636,-87.699661396391,"(41.87011273766963, -87.699661396391)",2013-02-01
5035,02/01/2013,Completed - Dup,02/28/2013,13-00126458,Alley Light Out,7014 S OGLESBY AVE,60649.0,1192982.68272448,1858849.55030758,5.0,3.0,43.0,41.76764633034221,-87.5681849123625,"(41.76764633034221, -87.5681849123625)",2013-02-01
