SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,13-00360435,04/01/2013,Rear,,Boarded,REAR SIDE,Vacant,False,True,1642,N,KIMBALL,AVE,60647.0,1153420.91158771,1910708.08957124,26.0,14.0,23.0,41.91082683469905,-87.71182129465481,"(41.91082683469905, -87.71182129465481)",2013-04-01
Vacant/Abandoned Building,13-00361411,04/01/2013,Front,,Open,,Vacant,False,True,8822,S,ESCANABA,AVE,60617.0,1196920.07929358,1847030.45830187,10.0,4.0,46.0,41.73511685390058,-87.5541452627239,"(41.73511685390058, -87.5541452627239)",2013-04-01
Vacant/Abandoned Building,13-00362690,04/01/2013,,,,,,,,732,S,KARLOV,AVE,60624.0,1149170.45548294,1896294.77991826,24.0,11.0,26.0,41.871358626534274,-87.7278097312722,"(41.871358626534274, -87.7278097312722)",2013-04-01
Vacant/Abandoned Building,13-00363384,04/01/2013,Front,,Open,THE ENTRY POINT IS IN THE FRONT AND THE REAR OF THE BUILDING.,Vacant,False,False,2011,W,68TH,PL,60636.0,1164134.26597242,1859232.59990573,17.0,7.0,67.0,41.76935304519381,-87.67391608639393,"(41.76935304519381, -87.67391608639393)",2013-04-01
Vacant/Abandoned Building,13-00363742,04/01/2013,Front,,Open,,Vacant,False,False,4038,N,ALBANY,AVE,60618.0,1154998.59838903,1926683.66320125,33.0,17.0,16.0,41.95463350088152,-87.7055957050667,"(41.95463350088152, -87.70559570506671)",2013-04-01
Vacant/Abandoned Building,13-00363781,04/01/2013,Front,,Open,,Vacant,False,False,3732,W,SHAKESPEARE,AVE,60647.0,1151145.47602406,1914030.35028072,26.0,25.0,22.0,41.9199883620441,-87.72009321687992,"(41.9199883620441, -87.72009321687992)",2013-04-01
Vacant/Abandoned Building,13-00365183,04/02/2013,Front,,Open,,Vacant,False,False,423,N,AVERS,AVE,60624.0,1150647.84001774,1902588.64000427,27.0,11.0,23.0,41.888600941170786,-87.72222111094834,"(41.88860094117078, -87.72222111094833)",2013-04-02
Vacant/Abandoned Building,13-00366778,04/02/2013,Front,,Open,,Vacant,False,False,8726,S,MANISTEE,AVE,60617.0,1196146.39993404,1847648.95341123,7.0,4.0,46.0,41.736833241497,-87.55695920473994,"(41.736833241496996, -87.55695920473993)",2013-04-02
Vacant/Abandoned Building,13-00369708,04/02/2013,Rear,,Open,REAR WINDOWS,Vacant,False,False,1903,N,DRAKE,AVE,60647.0,1152515.71967323,1912432.35652324,26.0,14.0,22.0,41.91557632879504,-87.71510100592398,"(41.91557632879504, -87.71510100592397)",2013-04-02
Vacant/Abandoned Building,13-00370928,04/03/2013,Front,,Open,,Vacant,False,False,6226,S,ARTESIAN,AVE,60629.0,1161107.51946913,1863303.62740174,15.0,8.0,66.0,41.78058765909602,-87.68489828462347,"(41.78058765909602, -87.68489828462347)",2013-04-03
Vacant/Abandoned Building,13-00371635,04/03/2013,Front,,Open,,Vacant,False,False,4934,W,HARRISON,ST,60644.0,1143701.17061398,1896879.5819668,24.0,15.0,25.0,41.87306751431852,-87.74787513936043,"(41.87306751431852, -87.74787513936042)",2013-04-03
Vacant/Abandoned Building,13-00371655,04/03/2013,Front,,Open,,Vacant,False,False,3926,W,WILCOX,ST,60624.0,1150241.10688329,1899047.93477001,28.0,11.0,26.0,41.87889280099324,-87.72380715019749,"(41.878892800993235, -87.72380715019749)",2013-04-03
Vacant/Abandoned Building,13-00374424,04/03/2013,Front,,Open,ALL AROUND,Vacant,False,True,6638,S,BISHOP,ST,60636.0,1167808.56797324,1860722.87641895,17.0,7.0,67.0,41.77336446238728,-87.66040502602148,"(41.77336446238727, -87.66040502602148)",2013-04-03
Vacant/Abandoned Building,13-00374675,04/03/2013,Front,,Open,FRONT,Vacant,False,True,5950,S,ADA,ST,60636.0,1168336.71202644,1865634.80786966,16.0,7.0,67.0,41.786832049927156,-87.65832762856262,"(41.78683204992716, -87.65832762856263)",2013-04-03
Vacant/Abandoned Building,13-00376706,04/04/2013,Front,,Boarded,,Vacant,False,False,2964,N,ELSTON,AVE,60618.0,1158727.608895,1919595.46431431,1.0,14.0,21.0,41.93510726857364,-87.69208218641994,"(41.93510726857364, -87.69208218641995)",2013-04-04
Vacant/Abandoned Building,13-00376711,04/04/2013,Front,,Open,,Vacant,False,False,533,N,SPRINGFIELD,AVE,60624.0,1150294.13600197,1903277.37849295,27.0,11.0,23.0,41.8904978173012,-87.7235020764509,"(41.8904978173012, -87.72350207645091)",2013-04-04
Vacant/Abandoned Building,13-00377343,04/04/2013,Front,,Open,,Vacant,False,False,6411,S,VERNON,AVE,60637.0,1180352.61798349,1862602.25301953,20.0,3.0,42.0,41.77824311555392,-87.61436414218113,"(41.77824311555392, -87.61436414218112)",2013-04-04
Vacant/Abandoned Building,13-00382003,04/05/2013,Front,,Open,FRONT,Vacant,False,True,3206,E,90TH,ST,60617.0,1198950.57616927,1845897.30822725,10.0,4.0,46.0,41.731956717341596,-87.54674446926218,"(41.73195671734159, -87.54674446926218)",2013-04-05
Vacant/Abandoned Building,13-00370921,04/03/2013,Front,,Open,,Vacant,False,False,6114,S,WINCHESTER,AVE,60636.0,1164406.02950784,1864113.67431273,15.0,7.0,67.0,41.78274164065031,-87.67278249495159,"(41.78274164065031, -87.6727824949516)",2013-04-03
Vacant/Abandoned Building,13-00378876,04/04/2013,Front,,Open,,Vacant,False,False,12215,S,EMERALD,AVE,60628.0,1173530.60381138,1823864.44897626,34.0,5.0,53.0,41.67209500307751,-87.64051680155985,"(41.67209500307751, -87.64051680155985)",2013-04-04
Vacant/Abandoned Building,13-00364427,04/01/2013,Rear,,Open,BACK,Vacant,False,True,5905,W,ERIE,ST,60644.0,1136994.52177059,1903700.89127956,29.0,15.0,25.0,41.89190898123049,-87.77233511897134,"(41.89190898123049, -87.77233511897134)",2013-04-01
Vacant/Abandoned Building,13-00365547,04/02/2013,Front,,Open,,Vacant,False,True,8406,S,ESCANABA,AVE,60617.0,1196946.90003234,1849792.79009641,10.0,4.0,46.0,41.74269624457005,-87.55395535559968,"(41.74269624457005, -87.55395535559968)",2013-04-02
Vacant/Abandoned Building,13-00366427,04/02/2013,Front,,Open,,Vacant,False,True,8430,S,EXCHANGE,AVE,60617.0,1197292.45321497,1849653.06030458,10.0,4.0,46.0,41.74230422021751,-87.55269391439467,"(41.742304220217505, -87.55269391439465)",2013-04-02
Vacant/Abandoned Building,13-00361767,04/01/2013,Front,,Open,,Vacant,False,True,8709,S,ESCANABA,AVE,60617.0,1196898.68986983,1847782.67441225,10.0,4.0,46.0,41.73718152689218,-87.55419867504149,"(41.73718152689218, -87.55419867504149)",2013-04-01
Vacant/Abandoned Building,13-00395045,04/08/2013,,,,,,,,5119,N,NASHVILLE,AVE,60656.0,1131576.79440333,1933638.75718911,41.0,16.0,10.0,41.974157485217056,-87.79153759095284,"(41.974157485217056, -87.79153759095284)",2013-04-08
Vacant/Abandoned Building,13-00395139,04/08/2013,,,,,,,,843,W,LILL,AVE,60614.0,1170078.77003315,1917148.41000108,43.0,19.0,7.0,41.9281518798381,-87.65043808440123,"(41.92815187983809, -87.65043808440122)",2013-04-08
Vacant/Abandoned Building,13-00410025,04/10/2013,Front,,Open,,Vacant,True,True,1522,N,KEYSTONE,AVE,60651.0,1149103.97008278,1909814.93419552,30.0,25.0,23.0,41.9084606713467,-87.72770347988369,"(41.9084606713467, -87.72770347988369)",2013-04-10
Vacant/Abandoned Building,13-00407414,04/10/2013,Front,,Open,,Vacant,False,False,2636,W,CHICAGO,AVE,60622.0,1158675.26081702,1905230.55639733,26.0,12.0,24.0,41.89568993097637,-87.69266892416185,"(41.895689930976374, -87.69266892416186)",2013-04-10
Vacant/Abandoned Building,13-00418364,04/12/2013,Front,,Open,,Vacant,False,False,3537,W,WALNUT,ST,60624.0,1152759.10299867,1901475.07022705,28.0,11.0,27.0,41.88550367027754,-87.71449721783327,"(41.88550367027753, -87.71449721783326)",2013-04-12
Vacant/Abandoned Building,13-00418366,04/12/2013,Front,,Open,,Vacant,False,False,1274,W,71ST,PL,60636.0,1168897.99627596,1857358.4166749,17.0,7.0,67.0,41.764108495184324,-87.65650848759329,"(41.764108495184324, -87.65650848759329)",2013-04-12
Vacant/Abandoned Building,13-00418899,04/12/2013,Front,,Open,,Vacant,False,False,1273,W,72ND,ST,60636.0,1168915.07199278,1857028.00701603,17.0,7.0,67.0,41.76320143948855,-87.65645543061791,"(41.76320143948855, -87.65645543061791)",2013-04-12
Vacant/Abandoned Building,13-00400065,04/09/2013,Front,,Boarded,FRONT DOOR,Vacant,False,True,4842,S,THROOP,ST,60609.0,1168477.63087337,1872660.02538215,20.0,9.0,61.0,41.80610701583464,-87.65760846813087,"(41.80610701583464, -87.65760846813087)",2013-04-09
Vacant/Abandoned Building,13-00394500,04/08/2013,,,,,,,,1011,W,63RD,ST,60621.0,1170608.20338985,1863042.58499666,16.0,7.0,68.0,41.779669449886754,-87.65007465900274,"(41.779669449886754, -87.65007465900274)",2013-04-08
Vacant/Abandoned Building,13-00379881,04/04/2013,Front,,Open,,Vacant,False,True,3442,W,61ST,ST,60629.0,1154494.52627117,1863958.88558587,16.0,8.0,66.0,41.782520070954796,-87.70912548343605,"(41.782520070954796, -87.70912548343604)",2013-04-04
