,route,date,daytype,rides
463179,1,2011-02-01,W,2822
463180,2,2011-02-01,W,2056
463181,3,2011-02-01,W,16249
463182,4,2011-02-01,W,20454
463183,5,2011-02-01,W,462
463184,6,2011-02-01,W,8153
463185,7,2011-02-01,W,6876
463186,8,2011-02-01,W,19188
463187,9,2011-02-01,W,25165
463188,11,2011-02-01,W,5162
463189,12,2011-02-01,W,12440
463190,14,2011-02-01,W,10627
463191,15,2011-02-01,W,7485
463192,17,2011-02-01,W,467
463193,18,2011-02-01,W,3096
463194,20,2011-02-01,W,18132
463195,21,2011-02-01,W,6657
463196,22,2011-02-01,W,17922
463197,24,2011-02-01,W,3010
463198,26,2011-02-01,W,2364
463199,28,2011-02-01,W,4691
463200,29,2011-02-01,W,10200
463201,30,2011-02-01,W,2655
463202,33,2011-02-01,W,854
463203,34,2011-02-01,W,5123
463204,35,2011-02-01,W,4296
463205,36,2011-02-01,W,13771
463206,39,2011-02-01,W,1855
463207,43,2011-02-01,W,1927
463208,44,2011-02-01,W,4394
463209,47,2011-02-01,W,9638
463210,48,2011-02-01,W,1117
463211,49,2011-02-01,W,23318
463212,50,2011-02-01,W,8401
463213,51,2011-02-01,W,1742
463214,52,2011-02-01,W,10421
463215,53,2011-02-01,W,16972
463216,54,2011-02-01,W,10120
463217,55,2011-02-01,W,11127
463218,56,2011-02-01,W,9586
463219,57,2011-02-01,W,2644
463220,59,2011-02-01,W,3386
463221,60,2011-02-01,W,10610
463222,62,2011-02-01,W,9820
463223,63,2011-02-01,W,17113
463224,64,2011-02-01,W,130
463225,65,2011-02-01,W,6717
463226,66,2011-02-01,W,22687
463227,67,2011-02-01,W,12558
463228,68,2011-02-01,W,1247
463229,69,2011-02-01,W,421
463230,70,2011-02-01,W,8524
463231,71,2011-02-01,W,8690
463232,72,2011-02-01,W,13669
463233,73,2011-02-01,W,5169
463234,74,2011-02-01,W,10374
463235,75,2011-02-01,W,7403
463236,76,2011-02-01,W,9789
463237,77,2011-02-01,W,20056
463238,78,2011-02-01,W,7980
463239,79,2011-02-01,W,27608
463240,80,2011-02-01,W,12565
463241,81,2011-02-01,W,11455
463242,82,2011-02-01,W,16068
463243,84,2011-02-01,W,3911
463244,85,2011-02-01,W,10035
463245,86,2011-02-01,W,2475
463246,87,2011-02-01,W,12798
463247,88,2011-02-01,W,1070
463248,90,2011-02-01,W,3955
463249,91,2011-02-01,W,7826
463250,92,2011-02-01,W,6271
463251,93,2011-02-01,W,2691
463252,94,2011-02-01,W,8083
463253,96,2011-02-01,W,878
463254,97,2011-02-01,W,2926
463255,100,2011-02-01,W,951
463256,103,2011-02-01,W,2940
463257,106,2011-02-01,W,2022
463258,108,2011-02-01,W,1858
463259,111,2011-02-01,W,5457
463260,112,2011-02-01,W,2382
463261,119,2011-02-01,W,5428
463262,120,2011-02-01,W,795
463263,121,2011-02-01,W,913
463264,122,2011-02-01,W,414
463265,123,2011-02-01,W,325
463266,124,2011-02-01,W,647
463267,125,2011-02-01,W,1948
463268,126,2011-02-01,W,6792
463269,129,2011-02-01,W,950
463270,132,2011-02-01,W,267
463271,134,2011-02-01,W,2393
463272,135,2011-02-01,W,3319
463273,136,2011-02-01,W,1565
463274,143,2011-02-01,W,956
463275,144,2011-02-01,W,885
463276,145,2011-02-01,W,4872
463277,146,2011-02-01,W,6235
463278,147,2011-02-01,W,9468
463279,148,2011-02-01,W,1707
463280,151,2011-02-01,W,16123
463281,152,2011-02-01,W,8642
463282,155,2011-02-01,W,6102
463283,156,2011-02-01,W,8303
463284,157,2011-02-01,W,5983
463285,165,2011-02-01,W,39
463286,169,2011-02-01,W,291
463287,170,2011-02-01,W,252
463288,171,2011-02-01,W,1741
463289,172,2011-02-01,W,2360
463290,192,2011-02-01,W,890
463291,201,2011-02-01,W,2073
463292,205,2011-02-01,W,909
463293,206,2011-02-01,W,914
463294,1001,2011-02-01,W,30
463295,49A,2011-02-01,W,426
463296,49B,2011-02-01,W,4529
463297,52A,2011-02-01,W,4069
463298,53A,2011-02-01,W,6612
463299,54A,2011-02-01,W,804
463300,54B,2011-02-01,W,2837
463301,55A,2011-02-01,W,220
463302,55N,2011-02-01,W,507
463303,56A,2011-02-01,W,682
463304,62H,2011-02-01,W,1199
463305,63W,2011-02-01,W,1322
463306,81W,2011-02-01,W,1278
463307,85A,2011-02-01,W,720
463308,8A,2011-02-01,W,3560
463309,90N,2011-02-01,W,405
463310,95E,2011-02-01,W,3887
463311,95W,2011-02-01,W,3907
463312,N201,2011-02-01,W,33
463313,X28,2011-02-01,W,3486
463314,X98,2011-02-01,W,145
463315,1,2011-02-02,W,317
463316,2,2011-02-02,W,378
463317,3,2011-02-02,W,4228
463318,4,2011-02-02,W,5599
463319,5,2011-02-02,W,96
463320,6,2011-02-02,W,1524
463321,7,2011-02-02,W,706
463322,8,2011-02-02,W,4898
463323,9,2011-02-02,W,9387
463324,11,2011-02-02,W,777
463325,12,2011-02-02,W,4757
463326,14,2011-02-02,W,1352
463327,15,2011-02-02,W,1775
463328,17,2011-02-02,W,93
463329,18,2011-02-02,W,257
463330,20,2011-02-02,W,5314
463331,21,2011-02-02,W,2398
463332,22,2011-02-02,W,5055
463333,24,2011-02-02,W,391
463334,26,2011-02-02,W,294
463335,28,2011-02-02,W,1019
463336,29,2011-02-02,W,2348
463337,30,2011-02-02,W,616
463338,33,2011-02-02,W,62
463339,34,2011-02-02,W,1594
463340,35,2011-02-02,W,1332
463341,36,2011-02-02,W,4326
463342,39,2011-02-02,W,422
463343,43,2011-02-02,W,173
463344,44,2011-02-02,W,846
463345,47,2011-02-02,W,2560
463346,48,2011-02-02,W,28
463347,49,2011-02-02,W,7984
463348,50,2011-02-02,W,1987
463349,51,2011-02-02,W,607
463350,52,2011-02-02,W,3719
463351,53,2011-02-02,W,6910
463352,54,2011-02-02,W,3986
463353,55,2011-02-02,W,2932
463354,56,2011-02-02,W,2081
463355,57,2011-02-02,W,627
463356,59,2011-02-02,W,602
463357,60,2011-02-02,W,2670
463358,62,2011-02-02,W,3192
463359,63,2011-02-02,W,4743
463360,64,2011-02-02,W,19
463361,65,2011-02-02,W,1565
463362,66,2011-02-02,W,7490
463363,67,2011-02-02,W,3073
463364,68,2011-02-02,W,306
463365,69,2011-02-02,W,32
463366,70,2011-02-02,W,2903
463367,71,2011-02-02,W,1343
463368,72,2011-02-02,W,5391
463369,73,2011-02-02,W,1447
463370,74,2011-02-02,W,4122
463371,75,2011-02-02,W,1785
463372,76,2011-02-02,W,3824
463373,77,2011-02-02,W,7678
463374,78,2011-02-02,W,2142
463375,79,2011-02-02,W,8440
463376,80,2011-02-02,W,4385
463377,81,2011-02-02,W,5379
463378,82,2011-02-02,W,4161
463379,84,2011-02-02,W,1032
463380,85,2011-02-02,W,3118
463381,86,2011-02-02,W,187
463382,87,2011-02-02,W,3228
463383,88,2011-02-02,W,381
463384,90,2011-02-02,W,775
463385,91,2011-02-02,W,1686
463386,92,2011-02-02,W,1630
