SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,12-00139352,02/01/2012,Front,,Open,REAR DOOR,Vacant,False,True,5036,W,PATTERSON,AVE,60641.0,1142137.53637985,1923799.06107681,38.0,16.0,15.0,41.946966664065634,-87.75294729581465,"(41.94696666406563, -87.75294729581466)",2012-02-01
Vacant/Abandoned Building,12-00139707,02/01/2012,Front,,Boarded,,Vacant,True,False,10257,S,CALIFORNIA,AVE,60655.0,1159506.58160129,1836425.98007999,19.0,22.0,72.0,41.70686411409487,-87.69150261536656,"(41.70686411409487, -87.69150261536655)",2012-02-01
Vacant/Abandoned Building,12-00139731,02/01/2012,Front,,Open,,Vacant,True,False,130,W,104TH,PL,60628.0,1177252.02997893,1835663.78118813,34.0,5.0,49.0,41.704391212843426,-87.62654207221372,"(41.704391212843426, -87.62654207221372)",2012-02-01
Vacant/Abandoned Building,12-00139753,02/01/2012,Front,,Open,FRONT AND REAR DOORS. AND WINDOWS..,Vacant,False,False,1355,E,75TH,ST,60619.0,1186624.05260634,1855539.86531135,5.0,4.0,43.0,41.758717111299354,-87.59159634853636,"(41.75871711129935, -87.59159634853636)",2012-02-01
Vacant/Abandoned Building,12-00140060,02/01/2012,Front,,Open,,Vacant,False,False,3601,N,KEDVALE,AVE,60641.0,1148210.27999734,1923616.29997641,30.0,17.0,16.0,41.94635014452295,-87.73063011361847,"(41.94635014452295, -87.73063011361847)",2012-02-01
Vacant/Abandoned Building,12-00140418,02/01/2012,Rear,,Open,"AREA FOR GARBAGE ,, HAS BEEN OPENED AND HAS BEEN USED FOR DUMPING..",Vacant,False,False,6058,W,BELMONT,AVE,60634.0,1135440.78019143,1920643.52852277,36.0,16.0,17.0,41.93842934161386,-87.77763825895953,"(41.93842934161386, -87.77763825895951)",2012-02-01
Vacant/Abandoned Building,12-00140575,02/01/2012,Front,,Boarded,,Vacant,True,False,5239,S,ARCHER,AVE,60632.0,1146976.46642302,1870159.27697669,23.0,8.0,57.0,41.799681391570424,-87.73653144778764,"(41.79968139157042, -87.73653144778766)",2012-02-01
Vacant/Abandoned Building,12-00140720,02/01/2012,Front,,Open,,Vacant,False,False,7901,S,HALSTED,ST,60620.0,1172338.09732105,1852471.82150348,17.0,6.0,71.0,41.75062409313418,-87.64404321843081,"(41.75062409313418, -87.64404321843081)",2012-02-01
Vacant/Abandoned Building,12-00140751,02/01/2012,Front,,Open,ALL SIDES,Vacant,False,True,9750,S,SANGAMON,ST,60643.0,1171692.34108189,1840424.16763195,21.0,22.0,73.0,41.7175778368665,-87.64676174546419,"(41.71757783686649, -87.64676174546419)",2012-02-01
Vacant/Abandoned Building,12-00141039,02/01/2012,Front,,Open,FRONT WINDOWS,Vacant,False,False,5751,S,NAGLE,AVE,60638.0,1134373.19820119,1865713.64249796,23.0,8.0,56.0,41.787712594645186,-87.78285638559755,"(41.787712594645186, -87.78285638559754)",2012-02-01
Vacant/Abandoned Building,12-00141163,02/01/2012,Front,,Open,FRONT AND  REAR,Vacant,False,True,8013,S,BISHOP,ST,60620.0,1168059.72481624,1851608.62617312,21.0,6.0,71.0,41.74834835205656,-87.6597459603059,"(41.74834835205656, -87.65974596030591)",2012-02-01
