,route,date,daytype,rides
276687,1,2007-03-01,W,3362
276688,2,2007-03-01,W,2141
276689,3,2007-03-01,W,21601
276690,4,2007-03-01,W,21861
276691,5,2007-03-01,W,367
276692,6,2007-03-01,W,11145
276693,7,2007-03-01,W,7325
276694,8,2007-03-01,W,21126
276695,9,2007-03-01,W,22866
276696,11,2007-03-01,W,4234
276697,12,2007-03-01,W,11393
276698,14,2007-03-01,W,13984
276699,15,2007-03-01,W,8457
276700,17,2007-03-01,W,483
276701,18,2007-03-01,W,1529
276702,19,2007-03-01,W,351
276703,20,2007-03-01,W,22380
276704,21,2007-03-01,W,7500
276705,22,2007-03-01,W,19572
276706,24,2007-03-01,W,4113
276707,26,2007-03-01,W,2269
276708,28,2007-03-01,W,6368
276709,29,2007-03-01,W,15830
276710,30,2007-03-01,W,3821
276711,33,2007-03-01,W,327
276712,34,2007-03-01,W,6213
276713,35,2007-03-01,W,6602
276714,36,2007-03-01,W,14441
276715,38,2007-03-01,W,1618
276716,39,2007-03-01,W,1982
276717,43,2007-03-01,W,1382
276718,44,2007-03-01,W,6894
276719,47,2007-03-01,W,11465
276720,48,2007-03-01,W,1210
276721,49,2007-03-01,W,19726
276722,50,2007-03-01,W,8057
276723,51,2007-03-01,W,2332
276724,52,2007-03-01,W,11416
276725,53,2007-03-01,W,21891
276726,54,2007-03-01,W,8664
276727,55,2007-03-01,W,13411
276728,56,2007-03-01,W,13475
276729,57,2007-03-01,W,3240
276730,59,2007-03-01,W,3627
276731,60,2007-03-01,W,13386
276732,62,2007-03-01,W,13756
276733,63,2007-03-01,W,21242
276734,64,2007-03-01,W,141
276735,65,2007-03-01,W,6358
276736,66,2007-03-01,W,22201
276737,67,2007-03-01,W,15538
276738,68,2007-03-01,W,1705
276739,69,2007-03-01,W,480
276740,70,2007-03-01,W,10397
276741,71,2007-03-01,W,10507
276742,72,2007-03-01,W,15292
276743,73,2007-03-01,W,5397
276744,74,2007-03-01,W,12275
276745,75,2007-03-01,W,8511
276746,76,2007-03-01,W,11494
276747,77,2007-03-01,W,21058
276748,78,2007-03-01,W,8397
276749,79,2007-03-01,W,33907
276750,80,2007-03-01,W,11419
276751,81,2007-03-01,W,13086
276752,82,2007-03-01,W,19295
276753,84,2007-03-01,W,3993
276754,85,2007-03-01,W,12361
276755,86,2007-03-01,W,2720
276756,87,2007-03-01,W,16820
276757,88,2007-03-01,W,1705
276758,90,2007-03-01,W,4617
276759,91,2007-03-01,W,8281
276760,92,2007-03-01,W,7823
276761,93,2007-03-01,W,2832
276762,94,2007-03-01,W,10144
276763,96,2007-03-01,W,972
276764,97,2007-03-01,W,3290
276765,100,2007-03-01,W,918
276766,103,2007-03-01,W,3718
276767,106,2007-03-01,W,2122
276768,108,2007-03-01,W,2500
276769,111,2007-03-01,W,5910
276770,112,2007-03-01,W,3901
276771,119,2007-03-01,W,5346
276772,120,2007-03-01,W,1730
276773,121,2007-03-01,W,1573
276774,122,2007-03-01,W,850
276775,123,2007-03-01,W,987
276776,124,2007-03-01,W,1226
276777,125,2007-03-01,W,2666
276778,126,2007-03-01,W,10413
276779,127,2007-03-01,W,2499
276780,129,2007-03-01,W,1032
276781,132,2007-03-01,W,218
276782,134,2007-03-01,W,2946
276783,135,2007-03-01,W,3602
276784,136,2007-03-01,W,2314
276785,143,2007-03-01,W,1098
276786,144,2007-03-01,W,1530
276787,145,2007-03-01,W,7129
276788,146,2007-03-01,W,8331
276789,147,2007-03-01,W,13295
276790,148,2007-03-01,W,1887
276791,151,2007-03-01,W,19060
276792,152,2007-03-01,W,11265
276793,155,2007-03-01,W,6281
276794,156,2007-03-01,W,10287
276795,157,2007-03-01,W,3021
276796,165,2007-03-01,W,110
276797,168,2007-03-01,W,71
276798,169,2007-03-01,W,402
276799,170,2007-03-01,W,375
276800,171,2007-03-01,W,4999
276801,172,2007-03-01,W,1163
276802,173,2007-03-01,W,307
276803,174,2007-03-01,W,247
276804,192,2007-03-01,W,474
276805,200,2007-03-01,W,91
276806,201,2007-03-01,W,1471
276807,205,2007-03-01,W,864
276808,206,2007-03-01,W,1005
276809,290,2007-03-01,W,16
276810,49A,2007-03-01,W,733
276811,49B,2007-03-01,W,4820
276812,52A,2007-03-01,W,4888
276813,53A,2007-03-01,W,8987
276814,53AL,2007-03-01,W,831
276815,54A,2007-03-01,W,1126
276816,54B,2007-03-01,W,3223
276817,55A,2007-03-01,W,317
276818,55N,2007-03-01,W,804
276819,56A,2007-03-01,W,706
276820,62H,2007-03-01,W,1255
276821,63W,2007-03-01,W,1846
276822,81W,2007-03-01,W,1869
276823,85A,2007-03-01,W,993
276824,8A,2007-03-01,W,3928
276825,90N,2007-03-01,W,458
276826,95E,2007-03-01,W,5180
276827,95W,2007-03-01,W,4797
276828,X20,2007-03-01,W,2629
276829,X28,2007-03-01,W,4434
276830,X3,2007-03-01,W,3344
276831,X4,2007-03-01,W,2849
276832,X49,2007-03-01,W,11730
276833,X54,2007-03-01,W,5355
276834,X55,2007-03-01,W,2927
276835,X80,2007-03-01,W,4314
276836,X9,2007-03-01,W,9995
276837,X98,2007-03-01,W,382
276838,1,2007-03-02,W,2944
276839,2,2007-03-02,W,1849
276840,3,2007-03-02,W,20431
276841,4,2007-03-02,W,21646
276842,5,2007-03-02,W,270
276843,6,2007-03-02,W,10657
276844,7,2007-03-02,W,6676
276845,8,2007-03-02,W,20410
276846,9,2007-03-02,W,23601
276847,11,2007-03-02,W,4035
276848,12,2007-03-02,W,10362
276849,14,2007-03-02,W,12234
276850,15,2007-03-02,W,8433
276851,17,2007-03-02,W,417
276852,18,2007-03-02,W,1635
276853,19,2007-03-02,W,782
276854,20,2007-03-02,W,23565
276855,21,2007-03-02,W,7048
276856,22,2007-03-02,W,19297
276857,24,2007-03-02,W,3476
276858,26,2007-03-02,W,2077
276859,28,2007-03-02,W,5461
276860,29,2007-03-02,W,13167
276861,30,2007-03-02,W,3914
276862,33,2007-03-02,W,312
276863,34,2007-03-02,W,5429
276864,35,2007-03-02,W,6658
276865,36,2007-03-02,W,16617
276866,38,2007-03-02,W,1452
276867,39,2007-03-02,W,1472
276868,43,2007-03-02,W,1491
276869,44,2007-03-02,W,7074
276870,47,2007-03-02,W,11383
276871,48,2007-03-02,W,1231
276872,49,2007-03-02,W,19832
276873,50,2007-03-02,W,7902
276874,51,2007-03-02,W,2445
276875,52,2007-03-02,W,11149
276876,53,2007-03-02,W,21841
276877,54,2007-03-02,W,9453
276878,55,2007-03-02,W,12440
276879,56,2007-03-02,W,14014
276880,57,2007-03-02,W,2564
276881,59,2007-03-02,W,3569
276882,60,2007-03-02,W,12909
276883,62,2007-03-02,W,12804
276884,63,2007-03-02,W,22229
276885,64,2007-03-02,W,176
276886,65,2007-03-02,W,6134
276887,66,2007-03-02,W,21271
276888,67,2007-03-02,W,14967
276889,68,2007-03-02,W,1636
276890,69,2007-03-02,W,444
276891,70,2007-03-02,W,10060
276892,71,2007-03-02,W,10609
276893,72,2007-03-02,W,15717
276894,73,2007-03-02,W,5410
276895,74,2007-03-02,W,11605
276896,75,2007-03-02,W,8564
276897,76,2007-03-02,W,10827
276898,77,2007-03-02,W,21056
276899,78,2007-03-02,W,8159
276900,79,2007-03-02,W,35169
276901,80,2007-03-02,W,11168
276902,81,2007-03-02,W,13289
276903,82,2007-03-02,W,17900
276904,84,2007-03-02,W,3827
276905,85,2007-03-02,W,11677
