,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
102515,01/01/2015,Completed - Dup,01/01/2015,15-00000581,Alley Light Out,8441 S PEORIA ST,60620.0,1171778.33492743,1848864.89186922,21.0,6.0,71.0,41.740738487886716,-87.64619999571853,"(41.74073848788672, -87.64619999571853)",2015-01-01
102516,01/01/2015,Completed - Dup,01/01/2015,15-00002064,Alley Light Out,10944 S WHIPPLE ST,60655.0,1157968.388612,1831874.76778386,19.0,22.0,74.0,41.69440608033156,-87.69725859470589,"(41.69440608033156, -87.69725859470589)",2015-01-01
102521,01/02/2015,Completed - Dup,01/02/2015,15-00005214,Alley Light Out,8034 S WOODLAWN AVE,60619.0,1185608.2509795,1851965.04380489,8.0,4.0,45.0,41.74893142372937,-87.59543151272041,"(41.74893142372937, -87.59543151272042)",2015-01-02
102522,01/02/2015,Completed - Dup,01/02/2015,15-00005711,Alley Light Out,3222 W FULTON BLVD,60624.0,1154839.37552893,1901821.04059706,28.0,11.0,27.0,41.88641162732581,-87.70684874740446,"(41.886411627325806, -87.70684874740445)",2015-01-02
102523,01/02/2015,Completed - Dup,01/02/2015,15-00006004,Alley Light Out,3221 W WALNUT ST,60624.0,1154769.43102766,1901446.45019015,28.0,11.0,27.0,41.88538511518545,-87.70711564002896,"(41.88538511518545, -87.70711564002895)",2015-01-02
102524,01/02/2015,Completed - Dup,01/02/2015,15-00006835,Alley Light Out,515 N HARTLAND CT,60622.0,1164528.27993117,1903615.7346096002,26.0,12.0,24.0,41.89113679363364,-87.67121790172268,"(41.89113679363364, -87.67121790172268)",2015-01-02
102525,01/02/2015,Completed - Dup,01/02/2015,15-00007326,Alley Light Out,736 E 90TH ST,60619.0,1182715.54283155,1845462.11298192,6.0,6.0,44.0,41.73115424361262,-87.60623269701433,"(41.73115424361262, -87.60623269701433)",2015-01-02
102526,01/02/2015,Completed - Dup,01/02/2015,15-00007757,Alley Light Out,1628 N BOSWORTH AVE,60642.0,1165730.69470773,1910920.90867687,1.0,14.0,24.0,41.9111571540548,-87.66659352304487,"(41.9111571540548, -87.66659352304487)",2015-01-02
102527,01/02/2015,Completed - Dup,01/02/2015,15-00008024,Alley Light Out,4328 W PARKER AVE,60639.0,1147055.81997131,1917931.56002355,31.0,25.0,20.0,41.93077291614161,-87.73501941749089,"(41.93077291614161, -87.73501941749088)",2015-01-02
102528,01/02/2015,Completed,01/02/2015,15-00007600,Alley Light Out,2416 W 59TH ST,60629.0,1161382.3725144,1865470.70483295,16.0,8.0,63.0,41.78652872112101,-87.68383060500993,"(41.78652872112101, -87.68383060500993)",2015-01-02
102529,01/02/2015,Completed,01/02/2015,15-00007693,Alley Light Out,5819 S ARTESIAN AVE,60629.0,1161032.57279937,1866011.07036869,16.0,8.0,63.0,41.78801880076972,-87.68509822126072,"(41.78801880076972, -87.68509822126072)",2015-01-02
102530,01/02/2015,Completed,01/02/2015,15-00007708,Alley Light Out,5803 S ARTESIAN AVE,60629.0,1161029.57279937,1866118.57036869,16.0,8.0,63.0,41.78831385723421,-87.68510624933533,"(41.78831385723421, -87.68510624933533)",2015-01-02
102534,01/02/2015,Completed,01/03/2015,15-00006810,Alley Light Out,4929 S LAPORTE AVE,60638.0,1144191.7603073,1871491.83736639,23.0,8.0,56.0,41.803390751196254,-87.74671052874433,"(41.80339075119625, -87.74671052874433)",2015-01-02
