,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
134186,11/01/2011,Completed - Dup,11/01/2011,11-04047360,Street Lights - All/Out,1421 S SPRINGFIELD AVE,60623.0,1150608.35666745,1892953.36466881,24.0,10.0,29.0,41.862161439759774,-87.72261788057034,"(41.86216143975977, -87.72261788057035)",2011-11-01
134187,11/01/2011,Completed - Dup,11/01/2011,11-04047377,Street Lights - All/Out,6000 W 65TH ST,60638.0,1137542.64170408,1860811.86349833,13.0,8.0,64.0,41.77420495210215,-87.77135255577272,"(41.77420495210216, -87.77135255577272)",2011-11-01
134188,11/01/2011,Completed - Dup,11/01/2011,11-04048121,Street Lights - All/Out,7200 N WESTERN AVE,60645.0,1159015.88879731,1947721.30609651,50.0,24.0,2.0,42.01228000518361,-87.69024681724285,"(42.012280005183605, -87.69024681724284)",2011-11-01
134189,11/01/2011,Completed - Dup,11/01/2011,11-04049346,Street Lights - All/Out,2630 W WINNEMAC AVE,60625.0,1157913.24521914,1933441.59991162,40.0,20.0,4.0,41.97311856588315,-87.69469581015188,"(41.97311856588315, -87.69469581015187)",2011-11-01
134190,11/01/2011,Completed - Dup,11/01/2011,11-04050922,Street Lights - All/Out,5648 S KOLMAR AVE,60629.0,1146992.91367233,1866770.75882296,13.0,8.0,62.0,41.790382450916134,-87.73655739701114,"(41.790382450916134, -87.73655739701114)",2011-11-01
134191,11/01/2011,Completed - Dup,11/01/2011,11-04051040,Street Lights - All/Out,5648 S KILBOURN AVE,60629.0,1147327.15236904,1866777.28772938,13.0,8.0,62.0,41.79039399409624,-87.73533164626885,"(41.790393994096235, -87.73533164626885)",2011-11-01
134192,11/01/2011,Completed - Dup,11/01/2011,11-04051055,Street Lights - All/Out,5626 S KILBOURN AVE,60629.0,1147322.65236904,1866924.98772938,13.0,8.0,62.0,41.790799392268454,-87.73534437984655,"(41.790799392268454, -87.73534437984654)",2011-11-01
134193,11/01/2011,Completed - Dup,11/01/2011,11-04051987,Street Lights - All/Out,820 N CALIFORNIA AVE,60622.0,1157573.64926974,1905342.01317771,26.0,13.0,24.0,41.89601827968593,-87.69671186672986,"(41.89601827968593, -87.69671186672986)",2011-11-01
134194,11/01/2011,Completed - Dup,11/01/2011,11-04052022,Street Lights - All/Out,8519 S CARPENTER ST,60620.0,1170803.00477382,1848324.5429985002,21.0,6.0,71.0,41.7392770113475,-87.64978923840391,"(41.73927701134749, -87.64978923840391)",2011-11-01
134195,11/01/2011,Completed - Dup,11/01/2011,11-04052360,Street Lights - All/Out,2635 W WINNEMAC AVE,60625.0,1157879.74521914,1933440.99991162,40.0,20.0,4.0,41.97311760467186,-87.69481901370632,"(41.97311760467186, -87.69481901370632)",2011-11-01
