,CREATION DATE,STATUS,COMPLETION DATE,SERVICE REQUEST NUMBER,TYPE OF SERVICE REQUEST,CURRENT ACTIVITY,MOST RECENT ACTION,NUMBER OF POTHOLES FILLED ON BLOCK,STREET ADDRESS,ZIP,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,SSA,LATITUDE,LONGITUDE,LOCATION,date
80,01/01/2013,Completed,01/01/2013,13-00000676,Pot Hole in Street,Final Outcome,CDOT Pavement Cave-In Survey Transfer Outcome,,9708 S AVENUE M,60617.0,1201460.57751442,1841331.29603247,10.0,4.0,52.0,,41.71919465238574,-87.53785051079382,"(41.71919465238574, -87.53785051079383)",2013-01-01
81,01/01/2013,Completed,01/01/2013,13-00000679,Pot Hole in Street,Final Outcome,CDOT Pavement Cave-In Survey Transfer Outcome,,9730 S AVENUE M,60617.0,1201462.07751442,1841184.59603247,10.0,4.0,52.0,,41.71857641256069,-87.5378483277557,"(41.71857641256069, -87.5378483277557)",2013-01-01
82,01/01/2013,Completed,01/01/2013,13-00000871,Pot Hole in Street,Final Outcome,CDOT Street Cut Complaints Transfer Outcome,,1418 W 105TH PL,60643.0,1168639.95142432,1834799.9795843998,19.0,22.0,72.0,,41.70233236471371,-87.6585703828543,"(41.70233236471371, -87.6585703828543)",2013-01-01
83,01/01/2013,Completed,01/02/2013,13-00000349,Pot Hole in Street,Final Outcome,Pothole Patched,8.0,6600 W RAVEN ST,60631.0,1131487.54733338,1940764.1792773,41.0,16.0,10.0,,41.993821657353756,-87.7917766884512,"(41.99382165735376, -87.7917766884512)",2013-01-01
84,01/01/2013,Completed,01/02/2013,13-00000521,Pot Hole in Street,Final Outcome,Pothole Patched,2.0,5110 S KILDARE AVE,60632.0,1148560.54349815,1870388.77011378,23.0,8.0,57.0,,41.80011390945664,-87.73085720824186,"(41.80011390945664, -87.73085720824186)",2013-01-01
85,01/01/2013,Completed,01/02/2013,13-00000763,Pot Hole in Street,Final Outcome,Pothole Patched,7.0,7539 N OLEANDER AVE,60631.0,1125070.48638723,1949455.30950159,41.0,16.0,9.0,,42.018117253941114,-87.8149615187913,"(42.018117253941114, -87.81496151879132)",2013-01-01
86,01/01/2013,Completed,01/03/2013,13-00001250,Pot Hole in Street,Final Outcome,Pothole Patched,17.0,4500 W CONGRESS PKWY,60624.0,1146469.05573356,1897311.32612568,24.0,11.0,26.0,,41.874308574213636,-87.73779029800603,"(41.87430857421364, -87.73779029800605)",2013-01-01
87,01/01/2013,Completed,01/18/2013,13-00000520,Pot Hole in Street,Final Outcome,Completed Upon Arrival,0.0,2940 W 46TH ST,60632.0,1157434.18459879,1874007.16857089,14.0,9.0,58.0,,41.81014097483051,-87.698331970101,"(41.81014097483051, -87.698331970101)",2013-01-01
184,01/02/2013,Completed - Dup,01/03/2013,13-00006706,Pot Hole in Street,,,,3625 W FOSTER AVE,60625.0,1151188.34002495,1934306.20997848,39.0,17.0,13.0,,41.97551473349239,-87.7195246447017,"(41.97551473349239, -87.71952464470172)",2013-01-02
185,01/02/2013,Completed - Dup,01/03/2013,13-00007794,Pot Hole in Street,,,,5010 W IRVING PARK RD,60641.0,1142199.21779593,1926127.25119821,45.0,16.0,15.0,28.0,41.9534587043914,-87.75269624796894,"(41.9534587043914, -87.75269624796893)",2013-01-02
186,01/02/2013,Completed,01/02/2013,13-00001937,Pot Hole in Street,Final Outcome,CDOT Street Cut Complaints Transfer Outcome,,7119 N MASON AVE,60646.0,1136211.5308021998,1946978.09002384,41.0,16.0,12.0,,42.010713135733134,-87.7740237488307,"(42.010713135733134, -87.7740237488307)",2013-01-02
187,01/02/2013,Completed,01/02/2013,13-00002154,Pot Hole in Street,Final Outcome,Pothole Patched,6.0,799 N TRUMBULL AVE,60624.0,1153234.31039492,1905119.51408593,27.0,11.0,23.0,63.0,41.895405795564756,-87.71250583683289,"(41.895405795564756, -87.71250583683289)",2013-01-02
