SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,14-00825726,06/02/2014,,,,,,,,10753,S,WENTWORTH,AVE,60628.0,1176855.99001532,1833549.6900223999,34.0,5.0,49.0,41.698598754638525,-87.62805569775482,"(41.69859875463852, -87.62805569775483)",2014-06-02
Vacant/Abandoned Building,14-00830340,06/03/2014,Front,,Open,NO,Vacant,False,False,3199,W,87TH,ST,,1156538.57472903,1846726.30440824,0.0,0.0,0.0,41.735190200164595,-87.70209493834604,"(41.73519020016459, -87.70209493834604)",2014-06-03
Vacant/Abandoned Building,14-00842461,06/04/2014,Front,,Open,,Vacant,False,False,10350,S,UNION,AVE,60628.0,1173458.68481687,1836564.82039581,34.0,22.0,49.0,41.706948392308796,-87.64040611529497,"(41.7069483923088, -87.64040611529497)",2014-06-04
Vacant/Abandoned Building,14-00827306,06/02/2014,Front,,Open,FRONT,Vacant,False,True,424,W,61ST,ST,60621.0,1174508.30988836,1864483.93566661,20.0,7.0,68.0,41.78353874626324,-87.63573355602661,"(41.78353874626324, -87.63573355602661)",2014-06-02
Vacant/Abandoned Building,14-00831646,06/03/2014,Front,,Open,,Vacant,False,False,10230,S,PERRY,AVE,60628.0,1177402.57797773,1837127.61721539,9.0,5.0,49.0,41.708404791183064,-87.62594675955275,"(41.70840479118306, -87.62594675955275)",2014-06-03
Vacant/Abandoned Building,14-00826299,06/02/2014,,,,,,,,9746,S,GREENWOOD,AVE,60628.0,1185259.62152925,1840586.41807617,8.0,5.0,50.0,41.71771543148054,-87.59706568452313,"(41.71771543148054, -87.59706568452313)",2014-06-02
Vacant/Abandoned Building,14-00826819,06/02/2014,Front,,Open,,Vacant,False,False,1527,E,66TH,PL,60637.0,1187518.7045968,1861202.97071425,5.0,3.0,42.0,41.77423595504158,-87.58813774212283,"(41.77423595504158, -87.58813774212283)",2014-06-02
Vacant/Abandoned Building,14-00818219,06/01/2014,Front,,Open,FRONT & REAR,Vacant,False,False,9909,S,WENTWORTH,AVE,60628.0,1176690.52459093,1839162.64071264,9.0,5.0,49.0,41.71400520000129,-87.62849333357273,"(41.71400520000129, -87.62849333357273)",2014-06-01
Vacant/Abandoned Building,14-00842438,06/04/2014,,,,,,,,6250,S,KIMBARK,AVE,60637.0,1185706.53458254,1864147.40888346,20.0,3.0,42.0,41.78235864448315,-87.59468802115832,"(41.78235864448316, -87.59468802115832)",2014-06-04
Vacant/Abandoned Building,14-00831228,06/03/2014,Front,,Open,,Vacant,False,False,5420,S,KIMBARK,AVE,60615.0,1185580.27797974,1869633.8575674999,4.0,2.0,41.0,41.79741687823716,-87.59497815879324,"(41.79741687823716, -87.59497815879323)",2014-06-03
