,route,date,daytype,rides
588377,1,2013-12-02,W,2345
588378,1,2013-12-03,W,2339
588379,1,2013-12-04,W,2644
588380,1,2013-12-05,W,2447
588381,1,2013-12-06,W,2188
588382,1,2013-12-09,W,2293
588383,1,2013-12-10,W,2381
588384,1,2013-12-11,W,2275
588385,1,2013-12-12,W,2076
588386,1,2013-12-13,W,2106
588387,1,2013-12-16,W,2247
588388,1,2013-12-17,W,2178
588389,1,2013-12-18,W,2359
588390,1,2013-12-19,W,2138
588391,1,2013-12-20,W,1758
588392,1,2013-12-23,W,1466
588393,1,2013-12-24,W,651
588394,1,2013-12-26,W,917
588395,1,2013-12-27,W,1046
588396,1,2013-12-30,W,1273
588397,1,2013-12-31,W,1027
588398,10,2013-12-01,U,309
588399,10,2013-12-07,A,613
588400,10,2013-12-08,U,472
588401,10,2013-12-14,A,402
588402,10,2013-12-15,U,405
588403,10,2013-12-21,A,580
588404,10,2013-12-22,U,609
588405,10,2013-12-23,W,406
588406,10,2013-12-25,U,40
588407,10,2013-12-26,W,435
588408,10,2013-12-27,W,736
588409,10,2013-12-28,A,946
588410,10,2013-12-29,U,939
588411,10,2013-12-30,W,587
588412,100,2013-12-02,W,865
588413,100,2013-12-03,W,837
588414,100,2013-12-04,W,906
588415,100,2013-12-05,W,858
588416,100,2013-12-06,W,756
588417,100,2013-12-09,W,789
588418,100,2013-12-10,W,857
588419,100,2013-12-11,W,756
588420,100,2013-12-12,W,759
588421,100,2013-12-13,W,836
588422,100,2013-12-16,W,747
588423,100,2013-12-17,W,804
588424,100,2013-12-18,W,837
588425,100,2013-12-19,W,806
588426,100,2013-12-20,W,782
588427,100,2013-12-23,W,480
588428,100,2013-12-24,W,332
588429,100,2013-12-26,W,317
588430,100,2013-12-27,W,461
588431,100,2013-12-30,W,394
588432,100,2013-12-31,W,233
588433,1001,2013-12-02,W,21
588434,1001,2013-12-03,W,9
588435,1001,2013-12-04,W,71
588436,1001,2013-12-05,W,29
588437,1001,2013-12-06,W,11
588438,1001,2013-12-08,U,25
588439,1001,2013-12-09,W,114
588440,1001,2013-12-10,W,7
588441,1001,2013-12-11,W,64
588442,1001,2013-12-12,W,19
588443,1001,2013-12-13,W,3
588444,1001,2013-12-15,U,2
588445,1001,2013-12-16,W,8
588446,1001,2013-12-17,W,12
588447,1001,2013-12-18,W,75
588448,1001,2013-12-19,W,14
588449,1001,2013-12-20,W,188
588450,1001,2013-12-22,U,58
588451,1001,2013-12-23,W,96
588452,1001,2013-12-24,W,23
588453,1001,2013-12-25,U,1
588454,1001,2013-12-26,W,2
588455,1001,2013-12-27,W,47
588456,1001,2013-12-28,A,219
588457,1001,2013-12-29,U,167
588458,1001,2013-12-30,W,30
588459,1001,2013-12-31,W,54
588460,103,2013-12-01,U,1080
588461,103,2013-12-02,W,3173
588462,103,2013-12-03,W,3288
588463,103,2013-12-04,W,3490
588464,103,2013-12-05,W,3108
588465,103,2013-12-06,W,3065
588466,103,2013-12-07,A,1317
588467,103,2013-12-08,U,926
588468,103,2013-12-09,W,2851
588469,103,2013-12-10,W,2957
588470,103,2013-12-11,W,2523
588471,103,2013-12-12,W,2762
588472,103,2013-12-13,W,3097
588473,103,2013-12-14,A,1267
588474,103,2013-12-15,U,936
588475,103,2013-12-16,W,2631
588476,103,2013-12-17,W,2936
588477,103,2013-12-18,W,2949
588478,103,2013-12-19,W,2527
588479,103,2013-12-20,W,2665
588480,103,2013-12-21,A,1266
588481,103,2013-12-22,U,1065
588482,103,2013-12-23,W,1924
588483,103,2013-12-24,W,1396
588484,103,2013-12-25,U,722
588485,103,2013-12-26,W,1611
588486,103,2013-12-27,W,1791
588487,103,2013-12-28,A,1315
588488,103,2013-12-29,U,977
588489,103,2013-12-30,W,1500
588490,103,2013-12-31,W,1524
588491,106,2013-12-01,U,328
588492,106,2013-12-02,W,2348
588493,106,2013-12-03,W,2394
588494,106,2013-12-04,W,2659
588495,106,2013-12-05,W,2355
588496,106,2013-12-06,W,1913
588497,106,2013-12-07,A,623
588498,106,2013-12-08,U,257
588499,106,2013-12-09,W,2303
588500,106,2013-12-10,W,1895
588501,106,2013-12-11,W,2017
588502,106,2013-12-12,W,1898
588503,106,2013-12-13,W,1733
588504,106,2013-12-14,A,522
588505,106,2013-12-15,U,205
588506,106,2013-12-16,W,1462
588507,106,2013-12-17,W,1461
588508,106,2013-12-18,W,1531
588509,106,2013-12-19,W,1452
588510,106,2013-12-20,W,1218
588511,106,2013-12-21,A,393
588512,106,2013-12-22,U,291
588513,106,2013-12-23,W,1074
588514,106,2013-12-24,W,546
588515,106,2013-12-25,U,212
588516,106,2013-12-26,W,716
588517,106,2013-12-27,W,839
588518,106,2013-12-28,A,266
588519,106,2013-12-29,U,324
588520,106,2013-12-30,W,824
588521,106,2013-12-31,W,685
588522,108,2013-12-02,W,2207
588523,108,2013-12-03,W,1923
588524,108,2013-12-04,W,1906
588525,108,2013-12-05,W,1753
588526,108,2013-12-06,W,1721
588527,108,2013-12-09,W,1785
588528,108,2013-12-10,W,1741
588529,108,2013-12-11,W,1478
588530,108,2013-12-12,W,1626
588531,108,2013-12-13,W,1749
588532,108,2013-12-16,W,1598
588533,108,2013-12-17,W,1579
588534,108,2013-12-18,W,1775
588535,108,2013-12-19,W,1640
588536,108,2013-12-20,W,1595
588537,108,2013-12-23,W,808
588538,108,2013-12-24,W,721
588539,108,2013-12-26,W,687
588540,108,2013-12-27,W,875
588541,108,2013-12-30,W,827
588542,108,2013-12-31,W,752
588543,11,2013-12-01,U,703
588544,11,2013-12-02,W,1730
588545,11,2013-12-03,W,1709
588546,11,2013-12-04,W,1689
588547,11,2013-12-05,W,1647
588548,11,2013-12-06,W,1643
588549,11,2013-12-07,A,945
588550,11,2013-12-08,U,652
588551,11,2013-12-09,W,1668
588552,11,2013-12-10,W,1415
588553,11,2013-12-11,W,1613
588554,11,2013-12-12,W,1399
588555,11,2013-12-13,W,1570
588556,11,2013-12-14,A,825
588557,11,2013-12-15,U,687
588558,11,2013-12-16,W,1512
588559,11,2013-12-17,W,1537
588560,11,2013-12-18,W,1664
588561,11,2013-12-19,W,1524
588562,11,2013-12-20,W,1462
588563,11,2013-12-21,A,981
588564,11,2013-12-22,U,720
588565,11,2013-12-23,W,1220
588566,11,2013-12-24,W,651
588567,11,2013-12-25,U,303
588568,11,2013-12-26,W,943
588569,11,2013-12-27,W,1099
588570,11,2013-12-28,A,906
588571,11,2013-12-29,U,641
588572,11,2013-12-30,W,1029
588573,11,2013-12-31,W,846
588574,111,2013-12-01,U,1655
588575,111,2013-12-02,W,4650
588576,111,2013-12-03,W,4354
588577,111,2013-12-04,W,4223
588578,111,2013-12-05,W,3906
588579,111,2013-12-06,W,3722
588580,111,2013-12-07,A,1926
588581,111,2013-12-08,U,1403
588582,111,2013-12-09,W,3757
588583,111,2013-12-10,W,3730
588584,111,2013-12-11,W,3896
588585,111,2013-12-12,W,3338
588586,111,2013-12-13,W,4145
588587,111,2013-12-14,A,1775
588588,111,2013-12-15,U,1343
588589,111,2013-12-16,W,3528
588590,111,2013-12-17,W,3669
588591,111,2013-12-18,W,3753
588592,111,2013-12-19,W,4009
588593,111,2013-12-20,W,3532
588594,111,2013-12-21,A,2105
588595,111,2013-12-22,U,1550
588596,111,2013-12-23,W,2482
588597,111,2013-12-24,W,1843
588598,111,2013-12-25,U,1187
588599,111,2013-12-26,W,2213
588600,111,2013-12-27,W,2427
588601,111,2013-12-28,A,2198
588602,111,2013-12-29,U,1357
588603,111,2013-12-30,W,2286
588604,111,2013-12-31,W,2260
588605,111A,2013-12-01,U,72
588606,111A,2013-12-02,W,60
588607,111A,2013-12-03,W,132
588608,111A,2013-12-04,W,63
588609,111A,2013-12-05,W,48
588610,111A,2013-12-06,W,58
588611,111A,2013-12-07,A,70
588612,111A,2013-12-08,U,60
588613,111A,2013-12-09,W,65
588614,111A,2013-12-10,W,41
588615,111A,2013-12-11,W,46
588616,111A,2013-12-12,W,50
588617,111A,2013-12-13,W,93
588618,111A,2013-12-14,A,34
