,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
117628,08/01/2014,Completed - Dup,08/01/2014,14-01246641,Street Light Out,5419 N NEWCASTLE AVE,60656.0,1129908.69000922,1935628.53428482,41.0,16.0,10.0,41.97964641667983,-87.79762604206142,"(41.97964641667983,-87.79762604206142)",2014-08-01
117629,08/01/2014,Completed - Dup,08/01/2014,14-01246670,Street Light Out,9047 S EMERALD AVE,60620.0,1172901.57999606,1844691.7700279998,21.0,22.0,71.0,41.72926219175611,-87.64220731737544,"(41.72926219175612,-87.64220731737542)",2014-08-01
117630,08/01/2014,Completed - Dup,08/01/2014,14-01247169,Street Light Out,7400 S VERNON AVE,60619.0,1180526.36313257,1856048.63550566,6.0,3.0,69.0,41.76025533167218,-87.61392815023115,"(41.76025533167218,-87.61392815023115)",2014-08-01
117631,08/01/2014,Completed - Dup,08/01/2014,14-01247691,Street Light Out,3228 W WALNUT ST,60624.0,1154690.83102766,1901444.45019015,28.0,11.0,27.0,41.88538120055838,-87.70740432859364,"(41.88538120055838,-87.70740432859364)",2014-08-01
117632,08/01/2014,Completed - Dup,08/01/2014,14-01247917,Street Light Out,1717 N VINE ST,60614.0,1171759.72892458,1911645.83347472,43.0,18.0,7.0,41.913015644547656,-87.64442365507514,"(41.913015644547656,-87.64442365507516)",2014-08-01
117633,08/01/2014,Completed - Dup,08/01/2014,14-01248314,Street Light Out,9600 S LA SALLE ST,60628.0,1176969.27539297,1841297.56938919,21.0,5.0,49.0,41.71985746686066,-87.62740833573994,"(41.71985746686066,-87.62740833573994)",2014-08-01
117634,08/01/2014,Completed - Dup,08/01/2014,14-01248805,Street Light Out,2106 W CERMAK RD,60608.0,1162669.97119901,1889388.36487032,25.0,12.0,31.0,41.85213475511639,-87.67844119632917,"(41.85213475511639,-87.67844119632917)",2014-08-01
117635,08/01/2014,Completed - Dup,08/01/2014,14-01249038,Street Light Out,2700 W CATALPA AVE,60625.0,1157354.85969761,1936422.32038943,40.0,20.0,4.0,41.981309214575425,-87.69666765673095,"(41.98130921457542,-87.69666765673095)",2014-08-01
117636,08/01/2014,Completed - Dup,08/01/2014,14-01250326,Street Light Out,12841 S ESCANABA AVE,60633.0,1197419.66560023,1820417.39752807,10.0,4.0,55.0,41.6620755906302,-87.5531981576203,"(41.662075590630195,-87.5531981576203)",2014-08-01
117637,08/01/2014,Completed - Dup,08/01/2014,14-01250428,Street Light Out,6430 S STONY ISLAND AVE,60637.0,1187982.10001998,1862661.41996782,5.0,3.0,42.0,41.778227028239954,-87.58639260802141,"(41.778227028239954,-87.5863926080214)",2014-08-01
