,route,date,daytype,rides
353950,1,2008-10-01,W,3862
353951,2,2008-10-01,W,2712
353952,3,2008-10-01,W,24449
353953,4,2008-10-01,W,25388
353954,5,2008-10-01,W,520
353955,6,2008-10-01,W,14953
353956,7,2008-10-01,W,8770
353957,8,2008-10-01,W,27978
353958,9,2008-10-01,W,24756
353959,11,2008-10-01,W,7035
353960,12,2008-10-01,W,16785
353961,14,2008-10-01,W,15979
353962,15,2008-10-01,W,9712
353963,17,2008-10-01,W,578
353964,18,2008-10-01,W,1761
353965,20,2008-10-01,W,25163
353966,21,2008-10-01,W,10710
353967,22,2008-10-01,W,24932
353968,24,2008-10-01,W,4033
353969,26,2008-10-01,W,3028
353970,28,2008-10-01,W,6731
353971,29,2008-10-01,W,17336
353972,30,2008-10-01,W,4364
353973,33,2008-10-01,W,814
353974,34,2008-10-01,W,7063
353975,35,2008-10-01,W,7072
353976,36,2008-10-01,W,18793
353977,38,2008-10-01,W,3100
353978,39,2008-10-01,W,2770
353979,43,2008-10-01,W,2109
353980,44,2008-10-01,W,7999
353981,47,2008-10-01,W,13565
353982,48,2008-10-01,W,1453
353983,49,2008-10-01,W,23362
353984,50,2008-10-01,W,10611
353985,51,2008-10-01,W,3137
353986,52,2008-10-01,W,16058
353987,53,2008-10-01,W,25508
353988,54,2008-10-01,W,10040
353989,55,2008-10-01,W,13444
353990,56,2008-10-01,W,15782
353991,57,2008-10-01,W,3877
353992,59,2008-10-01,W,4497
353993,60,2008-10-01,W,16084
353994,62,2008-10-01,W,16183
353995,63,2008-10-01,W,26410
353996,64,2008-10-01,W,191
353997,65,2008-10-01,W,7326
353998,66,2008-10-01,W,26022
353999,67,2008-10-01,W,17505
354000,68,2008-10-01,W,1981
354001,69,2008-10-01,W,130
354002,70,2008-10-01,W,12684
354003,71,2008-10-01,W,12900
354004,72,2008-10-01,W,19809
354005,73,2008-10-01,W,6914
354006,74,2008-10-01,W,14542
354007,75,2008-10-01,W,9764
354008,76,2008-10-01,W,12804
354009,77,2008-10-01,W,25138
354010,78,2008-10-01,W,10519
354011,79,2008-10-01,W,40237
354012,80,2008-10-01,W,13343
354013,81,2008-10-01,W,16820
354014,82,2008-10-01,W,21989
354015,84,2008-10-01,W,5223
354016,85,2008-10-01,W,15447
354017,86,2008-10-01,W,3724
354018,87,2008-10-01,W,21131
354019,88,2008-10-01,W,1763
354020,90,2008-10-01,W,6163
354021,91,2008-10-01,W,10502
354022,92,2008-10-01,W,8746
354023,93,2008-10-01,W,3788
354024,94,2008-10-01,W,13055
354025,96,2008-10-01,W,901
354026,97,2008-10-01,W,3964
354027,100,2008-10-01,W,1091
354028,103,2008-10-01,W,5297
354029,106,2008-10-01,W,3356
354030,108,2008-10-01,W,2922
354031,111,2008-10-01,W,8263
354032,112,2008-10-01,W,4019
354033,119,2008-10-01,W,6663
354034,120,2008-10-01,W,1527
354035,121,2008-10-01,W,1744
354036,122,2008-10-01,W,961
354037,123,2008-10-01,W,734
354038,124,2008-10-01,W,1411
354039,125,2008-10-01,W,2306
354040,126,2008-10-01,W,11510
354041,129,2008-10-01,W,1123
354042,132,2008-10-01,W,338
354043,134,2008-10-01,W,2944
354044,135,2008-10-01,W,4416
354045,136,2008-10-01,W,2461
354046,143,2008-10-01,W,1199
354047,144,2008-10-01,W,1617
354048,145,2008-10-01,W,8181
354049,146,2008-10-01,W,9141
354050,147,2008-10-01,W,20335
354051,148,2008-10-01,W,2266
354052,151,2008-10-01,W,23316
354053,152,2008-10-01,W,13889
354054,154,2008-10-01,W,1986
354055,155,2008-10-01,W,8344
354056,156,2008-10-01,W,11859
354057,157,2008-10-01,W,2205
354058,165,2008-10-01,W,67
354059,168,2008-10-01,W,80
354060,169,2008-10-01,W,366
354061,170,2008-10-01,W,527
354062,171,2008-10-01,W,5760
354063,172,2008-10-01,W,1805
354064,173,2008-10-01,W,226
354065,174,2008-10-01,W,358
354066,192,2008-10-01,W,650
354067,200,2008-10-01,W,95
354068,201,2008-10-01,W,1626
354069,205,2008-10-01,W,1071
354070,206,2008-10-01,W,1053
354071,1001,2008-10-01,W,198
354072,49A,2008-10-01,W,776
354073,49B,2008-10-01,W,5958
354074,52A,2008-10-01,W,5619
354075,53A,2008-10-01,W,10222
354076,53AL,2008-10-01,W,830
354077,54A,2008-10-01,W,1341
354078,54B,2008-10-01,W,3975
354079,55A,2008-10-01,W,347
354080,55N,2008-10-01,W,801
354081,56A,2008-10-01,W,945
354082,62H,2008-10-01,W,1827
354083,63W,2008-10-01,W,2238
354084,81W,2008-10-01,W,2131
354085,85A,2008-10-01,W,1135
354086,8A,2008-10-01,W,4905
354087,90N,2008-10-01,W,477
354088,95E,2008-10-01,W,6416
354089,95W,2008-10-01,W,5184
354090,X20,2008-10-01,W,3207
354091,X28,2008-10-01,W,4802
354092,X3,2008-10-01,W,2971
354093,X4,2008-10-01,W,2996
354094,X49,2008-10-01,W,15838
354095,X54,2008-10-01,W,7879
354096,X55,2008-10-01,W,3570
354097,X80,2008-10-01,W,4904
354098,X9,2008-10-01,W,13243
354099,X98,2008-10-01,W,170
354100,1,2008-10-02,W,4029
354101,2,2008-10-02,W,2333
354102,3,2008-10-02,W,24165
354103,4,2008-10-02,W,24101
354104,5,2008-10-02,W,574
354105,6,2008-10-02,W,13997
354106,7,2008-10-02,W,8855
354107,8,2008-10-02,W,27934
354108,9,2008-10-02,W,25774
354109,11,2008-10-02,W,6344
354110,12,2008-10-02,W,16810
354111,14,2008-10-02,W,15882
354112,15,2008-10-02,W,9869
354113,17,2008-10-02,W,530
354114,18,2008-10-02,W,1899
354115,20,2008-10-02,W,24137
354116,21,2008-10-02,W,10437
354117,22,2008-10-02,W,25660
354118,24,2008-10-02,W,3945
354119,26,2008-10-02,W,3001
354120,28,2008-10-02,W,6964
354121,29,2008-10-02,W,17430
354122,30,2008-10-02,W,4262
354123,33,2008-10-02,W,766
354124,34,2008-10-02,W,7014
354125,35,2008-10-02,W,6997
354126,36,2008-10-02,W,17481
354127,38,2008-10-02,W,3123
354128,39,2008-10-02,W,2271
354129,43,2008-10-02,W,2170
354130,44,2008-10-02,W,7242
354131,47,2008-10-02,W,13428
354132,48,2008-10-02,W,1429
354133,49,2008-10-02,W,22290
354134,50,2008-10-02,W,10247
354135,51,2008-10-02,W,2958
354136,52,2008-10-02,W,15519
354137,53,2008-10-02,W,24262
354138,54,2008-10-02,W,10085
354139,55,2008-10-02,W,13571
354140,56,2008-10-02,W,15028
354141,57,2008-10-02,W,4325
354142,59,2008-10-02,W,4537
354143,60,2008-10-02,W,15525
354144,62,2008-10-02,W,17032
354145,63,2008-10-02,W,26216
354146,64,2008-10-02,W,269
354147,65,2008-10-02,W,8401
354148,66,2008-10-02,W,26536
354149,67,2008-10-02,W,16252
354150,68,2008-10-02,W,1938
354151,69,2008-10-02,W,435
354152,70,2008-10-02,W,12680
354153,71,2008-10-02,W,12174
354154,72,2008-10-02,W,19021
354155,73,2008-10-02,W,6295
354156,74,2008-10-02,W,13566
354157,75,2008-10-02,W,9232
354158,76,2008-10-02,W,13206
354159,77,2008-10-02,W,25005
354160,78,2008-10-02,W,10830
354161,79,2008-10-02,W,38464
354162,80,2008-10-02,W,13137
354163,81,2008-10-02,W,16791
354164,82,2008-10-02,W,21181
354165,84,2008-10-02,W,5223
354166,85,2008-10-02,W,15574
354167,86,2008-10-02,W,3147
354168,87,2008-10-02,W,19825
354169,88,2008-10-02,W,1720
354170,90,2008-10-02,W,6403
354171,91,2008-10-02,W,10718
354172,92,2008-10-02,W,9691
354173,93,2008-10-02,W,3699
354174,94,2008-10-02,W,12790
354175,96,2008-10-02,W,1019
354176,97,2008-10-02,W,4577
354177,100,2008-10-02,W,1088
354178,103,2008-10-02,W,4494
354179,106,2008-10-02,W,3009
354180,108,2008-10-02,W,3357
354181,111,2008-10-02,W,7668
354182,112,2008-10-02,W,3894
354183,119,2008-10-02,W,7294
354184,120,2008-10-02,W,1834
354185,121,2008-10-02,W,1569
354186,122,2008-10-02,W,950
354187,123,2008-10-02,W,866
354188,124,2008-10-02,W,1337
354189,125,2008-10-02,W,2203
