SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,15-04493887,09/01/2015,Front,,Open,FRONT,Vacant,False,True,4746,W,JACKSON,BLVD,60644.0,1144792.0429671002,1898263.45830069,28.0,11.0,25.0,41.876844553362865,-87.74383508222067,"(41.876844553362865, -87.74383508222067)",2015-09-01
Vacant/Abandoned Building,15-04547097,09/03/2015,Front,,Open,FRONT/REAR,Vacant,False,False,7915,S,UNION,AVE,60620.0,1173006.84701552,1852396.43957817,17.0,6.0,71.0,41.75040250757017,-87.64159483106467,"(41.750402507570165, -87.64159483106465)",2015-09-03
Vacant/Abandoned Building,15-04550193,09/03/2015,Front,,Open,FRONT BASEMENT WINDOW,Vacant,False,True,647,E,87TH,PL,60619.0,1182083.34979919,1847106.85548831,6.0,6.0,44.0,41.735682239635956,-87.60849788550959,"(41.73568223963596, -87.6084978855096)",2015-09-03
Vacant/Abandoned Building,15-04500807,09/01/2015,Front,,Open,IN THE FRONT OF THE BUILDING,Vacant,False,True,7701,S,CHRISTIANA,AVE,60652.0,1155384.87006719,1853330.36650791,18.0,8.0,70.0,41.75333598682929,-87.70614534170895,"(41.75333598682929, -87.70614534170896)",2015-09-01
Vacant/Abandoned Building,15-04503547,09/01/2015,Front,,Boarded,FRONT,Vacant,False,False,9200,S,PEORIA,ST,60620.0,1171931.28988099,1843794.39440098,21.0,22.0,73.0,41.72682099063453,-87.64578799026488,"(41.726820990634536, -87.64578799026488)",2015-09-01
Vacant/Abandoned Building,15-04542001,09/03/2015,Rear,,Boarded,NONE,Vacant,False,False,7601,S,EGGLESTON,AVE,60620.0,1174610.36072856,1854528.13838806,17.0,6.0,69.0,41.756216623826354,-87.635655496375,"(41.756216623826354, -87.63565549637498)",2015-09-03
Vacant/Abandoned Building,15-04544124,09/03/2015,Rear,,Open,FRONT,Vacant,False,True,1229,W,72ND,PL,60636.0,1169317.29257063,1856707.59007017,6.0,7.0,67.0,41.7623134791566,-87.6549904776627,"(41.762313479156596, -87.65499047766268)",2015-09-03
Vacant/Abandoned Building,15-04643266,09/08/2015,Front,,Open,,Vacant,False,False,2243,S,TROY,ST,60623.0,1155707.23502515,1888920.46190321,12.0,10.0,30.0,41.85099365000335,-87.70400905145306,"(41.85099365000335, -87.70400905145307)",2015-09-08
Vacant/Abandoned Building,15-04648035,09/08/2015,Front,,Open,,Vacant,False,False,1418,S,SAWYER,AVE,60623.0,1154926.01988927,1893000.91413115,24.0,10.0,29.0,41.8622065456948,-87.7067670065669,"(41.8622065456948, -87.7067670065669)",2015-09-08
Vacant/Abandoned Building,15-04650383,09/08/2015,Front,,Open,,Vacant,False,False,2233,S,TROY,ST,60623.0,1155705.03502515,1888987.16190321,12.0,10.0,30.0,41.85117672664164,-87.7040153318956,"(41.85117672664164, -87.70401533189559)",2015-09-08
Vacant/Abandoned Building,15-04645387,09/08/2015,Front,,Open,,Vacant,False,False,324,W,117TH,ST,60628.0,1176128.83611409,1827340.81842276,34.0,5.0,53.0,41.68157698762918,-87.63090354986478,"(41.68157698762918, -87.6309035498648)",2015-09-08
Vacant/Abandoned Building,15-04507736,09/01/2015,Rear,,Boarded,,Vacant,False,True,259,W,105TH,ST,60628.0,1176379.94050929,1835309.75078082,34.0,5.0,49.0,41.70343929961486,-87.6297461035437,"(41.70343929961485, -87.6297461035437)",2015-09-01
Vacant/Abandoned Building,15-04622178,09/07/2015,Front,,Open,,Vacant,True,False,5353,S,PRINCETON,AVE,60609.0,1175195.3249911002,1869445.64543233,3.0,9.0,37.0,41.79713886875268,-87.63306656077773,"(41.79713886875268, -87.63306656077773)",2015-09-07
Vacant/Abandoned Building,15-04516409,09/01/2015,Front,,Open,"FRONT & REAR, BASEMENT",Vacant,False,True,723,W,48TH,ST,60609.0,1172286.69213145,1873043.07220587,11.0,9.0,61.0,41.807075107087186,-87.64362698031256,"(41.807075107087186, -87.64362698031256)",2015-09-01
Vacant/Abandoned Building,15-04549259,09/03/2015,Front,,Open,"BLDG NOT BOARDED UP, BUT CLOSED AND SECURED.",Vacant,False,False,10428,S,SANGAMON,ST,60643.0,1171826.55193127,1835677.0986711998,34.0,22.0,73.0,41.7045482334106,-87.64640888979521,"(41.7045482334106, -87.6464088897952)",2015-09-03
Vacant/Abandoned Building,15-04643464,09/08/2015,Front,,Open,,Vacant,False,False,12004,S,STATE,ST,60628.0,1178413.17539484,1825357.64369693,9.0,5.0,53.0,41.67608344537482,-87.62260154238966,"(41.67608344537482, -87.62260154238965)",2015-09-08
Vacant/Abandoned Building,15-04644379,09/08/2015,Front,,Open,,Vacant,False,False,1125,W,59TH,ST,60621.0,1169724.44001144,1865672.38517739,16.0,7.0,68.0,41.786905157164284,-87.65323838807213,"(41.78690515716429, -87.65323838807213)",2015-09-08
Vacant/Abandoned Building,15-04553827,09/03/2015,Front,,Boarded,"FRONT, REAR, AND GARAGE",Vacant,True,True,548,W,116TH,ST,60628.0,1174638.85719889,1827968.93498732,34.0,5.0,53.0,41.683333844187075,-87.63633907155202,"(41.683333844187075, -87.63633907155202)",2015-09-03
Vacant/Abandoned Building,15-04566249,09/04/2015,Front,,Open,,Vacant,False,False,743,W,116TH,ST,60628.0,1173386.68837245,1828206.16952377,34.0,5.0,53.0,41.684012561180985,-87.64091583134373,"(41.684012561180985, -87.64091583134372)",2015-09-04
Vacant/Abandoned Building,15-04710858,09/10/2015,Front,,Open,,Vacant,True,False,36,E,120TH,ST,60628.0,1178621.27539484,1825406.24369693,9.0,5.0,53.0,41.676212098255185,-87.62183838267956,"(41.676212098255185, -87.62183838267957)",2015-09-10
