,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
35296,08/01/2011,Completed - Dup,08/03/2011,11-03508485,Street Light - 1/Out,5438 W IOWA ST,60651.0,1139843.90477635,1905467.50151812,37.0,15.0,25.0,41.896705176986885,-87.76182722144553,"(41.89670517698688,-87.76182722144551)",2011-08-01
35297,08/01/2011,Completed - Dup,08/03/2011,11-03508675,Street Light - 1/Out,200 N HOMAN AVE,60624.0,1153681.35817493,1901165.78059135,28.0,11.0,27.0,41.884636648095054,-87.71111873728826,"(41.884636648095054,-87.71111873728827)",2011-08-01
35298,08/01/2011,Completed - Dup,08/03/2011,11-03508694,Street Light - 1/Out,2822 W WASHINGTON BLVD,60612.0,1157464.08000672,1900556.47500944,2.0,13.0,27.0,41.882888553676466,-87.69724458567043,"(41.88288855367647,-87.69724458567043)",2011-08-01
35299,08/01/2011,Completed - Dup,08/03/2011,11-03508714,Street Light - 1/Out,2945 S CANAL ST,60616.0,1173768.52008308,1885407.60788968,11.0,9.0,60.0,41.840971748256116,-87.63782500770077,"(41.840971748256116,-87.63782500770077)",2011-08-01
35300,08/01/2011,Completed - Dup,08/04/2011,11-03499645,Street Light - 1/Out,3644 N KEDVALE AVE,60641.0,1148201.07999734,1923905.79997641,38.0,17.0,16.0,41.94714473370138,-87.73065644796353,"(41.94714473370138,-87.73065644796351)",2011-08-01
35301,08/01/2011,Completed - Dup,08/04/2011,11-03499900,Street Light - 1/Out,6900 S WOOD ST,60636.0,1165539.47782384,1858930.92790454,17.0,7.0,67.0,41.76849553711325,-87.66877375699717,"(41.76849553711325,-87.66877375699715)",2011-08-01
35302,08/01/2011,Completed - Dup,08/04/2011,11-03502066,Street Light - 1/Out,5400 S WINCHESTER AVE,60609.0,1164272.07722702,1868869.04336724,16.0,9.0,61.0,41.795793799372525,-87.67313972713606,"(41.79579379937252,-87.67313972713607)",2011-08-01
35303,08/01/2011,Completed - Dup,08/04/2011,11-03504907,Street Light - 1/Out,6018 N MARMORA AVE,60646.0,1135914.24000149,1939653.23410075,45.0,16.0,11.0,41.99058534668809,-87.77544325508688,"(41.990585346688086,-87.77544325508688)",2011-08-01
35304,08/01/2011,Completed - Dup,08/04/2011,11-03505039,Street Light - 1/Out,6124 N KEATING AVE,60646.0,1143610.75748521,1940312.21938215,39.0,17.0,12.0,41.99225257460331,-87.74711676715548,"(41.99225257460331,-87.74711676715548)",2011-08-01
35305,08/01/2011,Completed - Dup,08/04/2011,11-03506534,Street Light - 1/Out,1801 W 22ND PL,60608.0,1164715.43009008,1889161.93997647,25.0,10.0,31.0,41.85147037073482,-87.67094021264533,"(41.85147037073482,-87.67094021264535)",2011-08-01
35306,08/01/2011,Completed - Dup,08/04/2011,11-03507740,Street Light - 1/Out,4746 W WARWICK AVE,60641.0,1144077.51352989,1924507.59567564,38.0,17.0,15.0,41.948874677495226,-87.74579855196909,"(41.94887467749523,-87.74579855196909)",2011-08-01
35307,08/01/2011,Completed - Dup,08/04/2011,11-03508457,Street Light - 1/Out,4842 N DAMEN AVE,60625.0,1162134.76302887,1932164.65002957,47.0,20.0,4.0,41.96952715470346,-87.67920821714613,"(41.96952715470346,-87.67920821714613)",2011-08-01
35308,08/01/2011,Completed - Dup,08/04/2011,11-03508668,Street Light - 1/Out,4200 W KAMERLING AVE,60651.0,1148133.42482111,1908657.04982535,37.0,25.0,23.0,41.90530206836553,-87.73129866887342,"(41.905302068365536,-87.73129866887342)",2011-08-01
35309,08/01/2011,Completed - Dup,08/05/2011,11-03500035,Street Light - 1/Out,9317 S ADA ST,60620.0,1168965.02996788,1842971.93139701,21.0,22.0,73.0,41.7246285320041,-87.6566774337327,"(41.724628532004104,-87.65667743373271)",2011-08-01
35310,08/01/2011,Completed - Dup,08/05/2011,11-03503283,Street Light - 1/Out,5115 S RUTHERFORD AVE,60638.0,1132261.34610693,1869906.10672458,23.0,8.0,56.0,41.79925433102725,-87.79050279564112,"(41.79925433102725,-87.79050279564113)",2011-08-01
35311,08/01/2011,Completed - Dup,08/05/2011,11-03503906,Street Light - 1/Out,5325 S NORDICA AVE,60638.0,1130275.54679391,1868473.74238903,23.0,8.0,56.0,41.79535783953433,-87.79781811527607,"(41.795357839534326,-87.79781811527606)",2011-08-01
35312,08/01/2011,Completed - Dup,08/05/2011,11-03504789,Street Light - 1/Out,10207 S FOREST AVE,60628.0,1180049.11492031,1837355.79368926,9.0,5.0,49.0,41.7089708689608,-87.61624806181793,"(41.7089708689608,-87.61624806181793)",2011-08-01
35313,08/01/2011,Completed - Dup,08/05/2011,11-03507489,Street Light - 1/Out,12743 S LOWE AVE,60628.0,1174302.25651986,1820353.83819174,9.0,5.0,53.0,41.662444247596326,-87.63779625020571,"(41.662444247596326,-87.63779625020571)",2011-08-01
35314,08/01/2011,Completed - Dup,08/08/2011,11-03503382,Street Light - 1/Out,5739 W WILSON AVE,60630.0,1137248.39242182,1930005.61349347,38.0,16.0,15.0,41.96408748614618,-87.77076891314822,"(41.96408748614618,-87.7707689131482)",2011-08-01
35315,08/01/2011,Completed - Dup,08/08/2011,11-03503932,Street Light - 1/Out,5100 W HOMER ST,60639.0,1142238.35640802,1912307.09062865,37.0,25.0,19.0,41.91542967241971,-87.75286269179752,"(41.91542967241971,-87.75286269179752)",2011-08-01
35316,08/01/2011,Completed - Dup,08/08/2011,11-03508640,Street Light - 1/Out,5311 N MANILA AVE,60630.0,1136630.28946863,1935251.00000789,45.0,16.0,11.0,41.978492415480005,-87.77291537123871,"(41.97849241548001,-87.7729153712387)",2011-08-01
35317,08/01/2011,Completed - Dup,08/09/2011,11-03499903,Street Light - 1/Out,3319 S SEELEY AVE,60608.0,1163222.97010101,1882658.77739409,11.0,9.0,59.0,41.83365648293085,-87.67660040475626,"(41.83365648293085,-87.67660040475627)",2011-08-01
35318,08/01/2011,Completed - Dup,08/09/2011,11-03501469,Street Light - 1/Out,1525 S KOMENSKY AVE,60623.0,1149632.91421498,1892237.95341344,24.0,10.0,29.0,41.86021725003483,-87.72621718774587,"(41.86021725003483,-87.72621718774587)",2011-08-01
35319,08/01/2011,Completed - Dup,08/09/2011,11-03501479,Street Light - 1/Out,1540 S KOMENSKY AVE,60623.0,1149635.71421498,1892137.05341344,24.0,10.0,29.0,41.85994031388785,-87.72620952866608,"(41.85994031388784,-87.72620952866608)",2011-08-01
35320,08/01/2011,Completed - Dup,08/09/2011,11-03501647,Street Light - 1/Out,2318 S RIDGEWAY AVE,60623.0,1151737.36742124,1888330.0069915,22.0,10.0,30.0,41.849452282045505,-87.7185949253702,"(41.849452282045505,-87.71859492537021)",2011-08-01
35321,08/01/2011,Completed - Dup,08/09/2011,11-03502401,Street Light - 1/Out,2315 S RIDGEWAY AVE,60623.0,1151736.86742124,1888349.6069915001,22.0,10.0,30.0,41.849506076663324,-87.71859624549774,"(41.849506076663324,-87.71859624549774)",2011-08-01
35322,08/01/2011,Completed - Dup,08/09/2011,11-03503201,Street Light - 1/Out,7927 S CRANDON AVE,60617.0,1192905.92472995,1852857.26867466,7.0,4.0,46.0,41.75120491126852,-87.56866149748205,"(41.751204911268516,-87.56866149748204)",2011-08-01
35323,08/01/2011,Completed - Dup,08/09/2011,11-03506213,Street Light - 1/Out,1310 S KARLOV AVE,60623.0,1149258.92178175,1893659.15367249,24.0,10.0,29.0,41.86412444403364,-87.72755321928398,"(41.86412444403364,-87.72755321928398)",2011-08-01
35324,08/01/2011,Completed - Dup,08/09/2011,11-03508292,Street Light - 1/Out,2216 W FLETCHER ST,60618.0,1161033.95987464,1920884.37321103,32.0,19.0,5.0,41.93859646366197,-87.68357036077789,"(41.938596463661966,-87.68357036077789)",2011-08-01
35325,08/01/2011,Completed - Dup,08/09/2011,11-03508300,Street Light - 1/Out,2228 W FLETCHER ST,60618.0,1160953.95987464,1920882.37321103,32.0,19.0,5.0,41.938592639067174,-87.68386443528836,"(41.93859263906717,-87.68386443528836)",2011-08-01
35326,08/01/2011,Completed - Dup,08/10/2011,11-03499670,Street Light - 1/Out,2437 W 50TH ST,60632.0,1160848.84842371,1871452.10987794,14.0,9.0,63.0,41.80295352369296,-87.68562155207316,"(41.80295352369296,-87.68562155207316)",2011-08-01
35327,08/01/2011,Completed - Dup,08/10/2011,11-03499672,Street Light - 1/Out,5008 S ARTESIAN AVE,60632.0,1160875.04842371,1871399.20987794,14.0,9.0,63.0,41.802807817541364,-87.68552692643793,"(41.802807817541364,-87.68552692643794)",2011-08-01
35328,08/01/2011,Completed - Dup,08/10/2011,11-03499675,Street Light - 1/Out,5042 S ARTESIAN AVE,60632.0,1160882.84842371,1871171.40987794,14.0,9.0,63.0,41.80218254402869,-87.68550461697825,"(41.80218254402869,-87.68550461697825)",2011-08-01
35329,08/01/2011,Completed - Dup,08/10/2011,11-03504700,Street Light - 1/Out,2637 S INDIANA AVE,60616.0,1178033.81003277,1886963.47011748,2.0,21.0,35.0,41.845145299880436,-87.62212581933207,"(41.845145299880436,-87.62212581933206)",2011-08-01
35330,08/01/2011,Completed - Dup,08/11/2011,11-03499892,Street Light - 1/Out,9855 S OAKLEY AVE,60643.0,1162777.64057781,1839232.78383396,19.0,22.0,72.0,41.71449892767927,-87.67944592080553,"(41.71449892767927,-87.67944592080553)",2011-08-01
35331,08/01/2011,Completed - Dup,08/11/2011,11-03499906,Street Light - 1/Out,7259 S HOMAN AVE,60629.0,1154965.54250402,1856198.31007978,18.0,8.0,66.0,41.761214463159426,-87.70760559251886,"(41.76121446315943,-87.70760559251886)",2011-08-01
35332,08/01/2011,Completed - Dup,08/11/2011,11-03503491,Street Light - 1/Out,10350 S EBERHART AVE,60628.0,1181397.09138403,1836776.86233276,9.0,5.0,49.0,41.707351296120294,-87.61132944988363,"(41.707351296120294,-87.61132944988364)",2011-08-01
35333,08/01/2011,Completed - Dup,08/11/2011,11-03507339,Street Light - 1/Out,3549 W 58TH PL,60629.0,1153762.52410975,1865595.45012037,14.0,8.0,63.0,41.78702559973344,-87.71176586884455,"(41.78702559973344,-87.71176586884455)",2011-08-01
35334,08/01/2011,Completed - Dup,08/11/2011,11-03508472,Street Light - 1/Out,4614 W OHIO ST,60644.0,1145372.08997388,1903589.36001218,28.0,11.0,25.0,41.89144850008624,-87.74157045665127,"(41.89144850008624,-87.74157045665126)",2011-08-01
35335,08/01/2011,Completed - Dup,08/11/2011,11-03508774,Street Light - 1/Out,11400 S EMERALD AVE,60628.0,1173356.27907438,1829264.51180643,34.0,22.0,49.0,41.686917490647815,-87.64099601477281,"(41.686917490647815,-87.64099601477281)",2011-08-01
35336,08/01/2011,Completed - Dup,08/12/2011,11-03507262,Street Light - 1/Out,7900 S SOUTH SHORE DR,60617.0,1198500.49436963,1853188.5980964,7.0,4.0,46.0,41.751975830956184,-87.54814954816523,"(41.75197583095619,-87.54814954816523)",2011-08-01
35337,08/01/2011,Completed - Dup,08/12/2011,11-03508785,Street Light - 1/Out,6600 S FRANCISCO AVE,60629.0,1158183.07059616,1860738.87472371,15.0,8.0,66.0,41.77360962174251,-87.69568963609045,"(41.77360962174251,-87.69568963609046)",2011-08-01
