,route,date,daytype,rides
665825,1,2015-10-01,W,1914
665826,1,2015-10-02,W,1833
665827,1,2015-10-03,A,137
665828,1,2015-10-05,W,1882
665829,1,2015-10-06,W,2101
665830,1,2015-10-07,W,2201
665831,1,2015-10-08,W,1948
665832,1,2015-10-09,W,1709
665833,1,2015-10-10,A,109
665834,1,2015-10-12,W,1510
665835,1,2015-10-13,W,1985
665836,1,2015-10-14,W,2207
665837,1,2015-10-15,W,1855
665838,1,2015-10-16,W,1834
665839,1,2015-10-17,A,141
665840,1,2015-10-19,W,2087
665841,1,2015-10-20,W,2003
665842,1,2015-10-21,W,2285
665843,1,2015-10-22,W,1984
665844,1,2015-10-23,W,1881
665845,1,2015-10-26,W,1945
665846,1,2015-10-27,W,1952
665847,1,2015-10-28,W,2081
665848,1,2015-10-29,W,1935
665849,1,2015-10-30,W,1871
665850,10,2015-10-03,A,790
665851,10,2015-10-04,U,847
665852,10,2015-10-10,A,649
665853,10,2015-10-11,U,346
665854,10,2015-10-17,A,856
665855,10,2015-10-18,U,637
665856,10,2015-10-24,A,896
665857,10,2015-10-25,U,499
665858,10,2015-10-31,A,631
665859,100,2015-10-01,W,915
665860,100,2015-10-02,W,731
665861,100,2015-10-05,W,931
665862,100,2015-10-06,W,930
665863,100,2015-10-07,W,941
665864,100,2015-10-08,W,859
665865,100,2015-10-09,W,906
665866,100,2015-10-12,W,461
665867,100,2015-10-13,W,947
665868,100,2015-10-14,W,905
665869,100,2015-10-15,W,935
665870,100,2015-10-16,W,818
665871,100,2015-10-19,W,886
665872,100,2015-10-20,W,939
665873,100,2015-10-21,W,910
665874,100,2015-10-22,W,881
665875,100,2015-10-23,W,875
665876,100,2015-10-26,W,828
665877,100,2015-10-27,W,819
665878,100,2015-10-28,W,876
665879,100,2015-10-29,W,822
665880,100,2015-10-30,W,853
665881,1001,2015-10-01,W,2694
665882,1001,2015-10-02,W,4352
665883,1001,2015-10-03,A,4768
665884,1001,2015-10-04,U,4572
665885,1001,2015-10-05,W,2080
665886,1001,2015-10-06,W,2690
665887,1001,2015-10-07,W,2980
665888,1001,2015-10-08,W,2697
665889,1001,2015-10-09,W,2939
665890,1001,2015-10-10,A,1645
665891,1001,2015-10-11,U,771
665892,1001,2015-10-12,W,2409
665893,1001,2015-10-13,W,3111
665894,1001,2015-10-14,W,1834
665895,1001,2015-10-15,W,3852
665896,1001,2015-10-16,W,2887
665897,1001,2015-10-17,A,2667
665898,1001,2015-10-18,U,622
665899,1001,2015-10-19,W,1215
665900,1001,2015-10-20,W,2419
665901,1001,2015-10-21,W,1828
665902,1001,2015-10-22,W,1292
665903,1001,2015-10-23,W,2022
665904,1001,2015-10-24,A,8540
665905,1001,2015-10-25,U,472
665906,1001,2015-10-26,W,1765
665907,1001,2015-10-27,W,1905
665908,1001,2015-10-28,W,1805
665909,1001,2015-10-29,W,1980
665910,1001,2015-10-30,W,142
665911,1001,2015-10-31,A,1466
665912,103,2015-10-01,W,3122
665913,103,2015-10-02,W,3131
665914,103,2015-10-03,A,1578
665915,103,2015-10-04,U,1094
665916,103,2015-10-05,W,3019
665917,103,2015-10-06,W,3022
665918,103,2015-10-07,W,2954
665919,103,2015-10-08,W,3078
665920,103,2015-10-09,W,2476
665921,103,2015-10-10,A,1590
665922,103,2015-10-11,U,1317
665923,103,2015-10-12,W,2099
665924,103,2015-10-13,W,3035
665925,103,2015-10-14,W,3150
665926,103,2015-10-15,W,3106
665927,103,2015-10-16,W,3033
665928,103,2015-10-17,A,1613
665929,103,2015-10-18,U,1091
665930,103,2015-10-19,W,3075
665931,103,2015-10-20,W,2930
665932,103,2015-10-21,W,3033
665933,103,2015-10-22,W,2950
665934,103,2015-10-23,W,2836
665935,103,2015-10-24,A,1434
665936,103,2015-10-25,U,1247
665937,103,2015-10-26,W,3037
665938,103,2015-10-27,W,2843
665939,103,2015-10-28,W,2921
665940,103,2015-10-29,W,2988
665941,103,2015-10-30,W,3097
665942,103,2015-10-31,A,1481
665943,106,2015-10-01,W,2169
665944,106,2015-10-02,W,1830
665945,106,2015-10-03,A,585
665946,106,2015-10-04,U,383
665947,106,2015-10-05,W,2177
665948,106,2015-10-06,W,2298
665949,106,2015-10-07,W,2123
665950,106,2015-10-08,W,2182
665951,106,2015-10-09,W,1607
665952,106,2015-10-10,A,774
665953,106,2015-10-11,U,420
665954,106,2015-10-12,W,1300
665955,106,2015-10-13,W,1684
665956,106,2015-10-14,W,2225
665957,106,2015-10-15,W,1997
665958,106,2015-10-16,W,1483
665959,106,2015-10-17,A,668
665960,106,2015-10-18,U,333
665961,106,2015-10-19,W,1711
665962,106,2015-10-20,W,2092
665963,106,2015-10-21,W,2092
665964,106,2015-10-22,W,2047
665965,106,2015-10-23,W,1432
665966,106,2015-10-24,A,620
665967,106,2015-10-25,U,387
665968,106,2015-10-26,W,2176
665969,106,2015-10-27,W,2030
665970,106,2015-10-28,W,1838
665971,106,2015-10-29,W,1928
665972,106,2015-10-30,W,1527
665973,106,2015-10-31,A,511
665974,108,2015-10-01,W,1703
665975,108,2015-10-02,W,1629
665976,108,2015-10-05,W,1464
665977,108,2015-10-06,W,1509
665978,108,2015-10-07,W,1662
665979,108,2015-10-08,W,1674
665980,108,2015-10-09,W,1501
665981,108,2015-10-12,W,1012
665982,108,2015-10-13,W,1577
665983,108,2015-10-14,W,1491
665984,108,2015-10-15,W,1648
665985,108,2015-10-16,W,1452
665986,108,2015-10-19,W,1545
665987,108,2015-10-20,W,1654
665988,108,2015-10-21,W,1679
665989,108,2015-10-22,W,1661
665990,108,2015-10-23,W,1557
665991,108,2015-10-26,W,1470
665992,108,2015-10-27,W,1519
665993,108,2015-10-28,W,1477
665994,108,2015-10-29,W,1344
665995,108,2015-10-30,W,1561
665996,11,2015-10-01,W,1773
665997,11,2015-10-02,W,1793
665998,11,2015-10-03,A,1076
665999,11,2015-10-04,U,564
666000,11,2015-10-05,W,1832
666001,11,2015-10-06,W,1650
666002,11,2015-10-07,W,1793
666003,11,2015-10-08,W,1644
666004,11,2015-10-09,W,1203
666005,11,2015-10-10,A,926
666006,11,2015-10-11,U,803
666007,11,2015-10-12,W,1461
666008,11,2015-10-13,W,1775
666009,11,2015-10-14,W,1728
666010,11,2015-10-15,W,1644
666011,11,2015-10-16,W,1767
666012,11,2015-10-17,A,1000
666013,11,2015-10-18,U,721
666014,11,2015-10-19,W,1725
666015,11,2015-10-20,W,1807
666016,11,2015-10-21,W,1813
666017,11,2015-10-22,W,1757
666018,11,2015-10-23,W,1711
666019,11,2015-10-24,A,941
666020,11,2015-10-25,U,762
666021,11,2015-10-26,W,1712
666022,11,2015-10-27,W,1639
666023,11,2015-10-28,W,1763
666024,11,2015-10-29,W,1698
666025,11,2015-10-30,W,1740
666026,11,2015-10-31,A,808
666027,111,2015-10-01,W,4891
666028,111,2015-10-02,W,4827
666029,111,2015-10-03,A,2312
666030,111,2015-10-04,U,1741
666031,111,2015-10-05,W,4238
666032,111,2015-10-06,W,4623
666033,111,2015-10-07,W,4058
666034,111,2015-10-08,W,4539
666035,111,2015-10-09,W,4640
666036,111,2015-10-10,A,2588
666037,111,2015-10-11,U,1743
666038,111,2015-10-12,W,2901
666039,111,2015-10-13,W,4436
666040,111,2015-10-14,W,4483
666041,111,2015-10-15,W,4524
666042,111,2015-10-16,W,4283
666043,111,2015-10-17,A,2468
666044,111,2015-10-18,U,1947
666045,111,2015-10-19,W,4329
666046,111,2015-10-20,W,4422
666047,111,2015-10-21,W,4278
666048,111,2015-10-22,W,4036
666049,111,2015-10-23,W,4300
666050,111,2015-10-24,A,2346
666051,111,2015-10-25,U,1956
666052,111,2015-10-26,W,4287
666053,111,2015-10-27,W,4177
666054,111,2015-10-28,W,4175
666055,111,2015-10-29,W,4196
666056,111,2015-10-30,W,4496
666057,111,2015-10-31,A,2391
666058,111A,2015-10-01,W,229
666059,111A,2015-10-02,W,313
666060,111A,2015-10-03,A,209
666061,111A,2015-10-04,U,126
666062,111A,2015-10-05,W,211
666063,111A,2015-10-06,W,234
666064,111A,2015-10-07,W,284
666065,111A,2015-10-08,W,190
666066,111A,2015-10-09,W,227
666067,111A,2015-10-10,A,194
666068,111A,2015-10-11,U,177
666069,111A,2015-10-12,W,181
666070,111A,2015-10-13,W,207
666071,111A,2015-10-14,W,182
666072,111A,2015-10-15,W,194
666073,111A,2015-10-16,W,233
666074,111A,2015-10-17,A,127
666075,111A,2015-10-18,U,111
666076,111A,2015-10-19,W,154
666077,111A,2015-10-20,W,193
666078,111A,2015-10-21,W,206
666079,111A,2015-10-22,W,188
666080,111A,2015-10-23,W,178
666081,111A,2015-10-24,A,222
666082,111A,2015-10-25,U,137
666083,111A,2015-10-26,W,221
666084,111A,2015-10-27,W,181
666085,111A,2015-10-28,W,189
666086,111A,2015-10-29,W,176
666087,111A,2015-10-30,W,321
666088,111A,2015-10-31,A,163
666089,112,2015-10-01,W,3056
666090,112,2015-10-02,W,2998
666091,112,2015-10-03,A,1307
666092,112,2015-10-04,U,825
666093,112,2015-10-05,W,2825
666094,112,2015-10-06,W,2864
666095,112,2015-10-07,W,3017
666096,112,2015-10-08,W,2899
666097,112,2015-10-09,W,2928
666098,112,2015-10-10,A,1357
666099,112,2015-10-11,U,882
666100,112,2015-10-12,W,1712
666101,112,2015-10-13,W,2893
666102,112,2015-10-14,W,2835
666103,112,2015-10-15,W,3058
666104,112,2015-10-16,W,2919
666105,112,2015-10-17,A,1324
666106,112,2015-10-18,U,764
666107,112,2015-10-19,W,2912
666108,112,2015-10-20,W,2879
666109,112,2015-10-21,W,2731
666110,112,2015-10-22,W,2990
666111,112,2015-10-23,W,2714
666112,112,2015-10-24,A,1289
666113,112,2015-10-25,U,839
666114,112,2015-10-26,W,2919
666115,112,2015-10-27,W,2691
666116,112,2015-10-28,W,2731
666117,112,2015-10-29,W,2759
666118,112,2015-10-30,W,2829
666119,112,2015-10-31,A,1080
666120,115,2015-10-01,W,4897
666121,115,2015-10-02,W,4736
666122,115,2015-10-03,A,2401
666123,115,2015-10-04,U,1929
666124,115,2015-10-05,W,4638
666125,115,2015-10-06,W,4814
666126,115,2015-10-07,W,4321
666127,115,2015-10-08,W,4516
666128,115,2015-10-09,W,4465
666129,115,2015-10-10,A,2496
666130,115,2015-10-11,U,2066
666131,115,2015-10-12,W,3079
666132,115,2015-10-13,W,4896
666133,115,2015-10-14,W,4466
666134,115,2015-10-15,W,4703
666135,115,2015-10-16,W,4271
666136,115,2015-10-17,A,2358
666137,115,2015-10-18,U,1748
666138,115,2015-10-19,W,4674
666139,115,2015-10-20,W,4769
666140,115,2015-10-21,W,4503
666141,115,2015-10-22,W,4349
666142,115,2015-10-23,W,4222
666143,115,2015-10-24,A,2290
666144,115,2015-10-25,U,1970
666145,115,2015-10-26,W,4638
666146,115,2015-10-27,W,4583
666147,115,2015-10-28,W,4474
666148,115,2015-10-29,W,4558
666149,115,2015-10-30,W,4804
666150,115,2015-10-31,A,2070
666151,119,2015-10-01,W,5161
666152,119,2015-10-02,W,4974
666153,119,2015-10-03,A,3458
666154,119,2015-10-04,U,2548
666155,119,2015-10-05,W,4426
666156,119,2015-10-06,W,4823
666157,119,2015-10-07,W,4912
666158,119,2015-10-08,W,4808
666159,119,2015-10-09,W,4736
666160,119,2015-10-10,A,3298
666161,119,2015-10-11,U,2902
666162,119,2015-10-12,W,3720
666163,119,2015-10-13,W,4681
666164,119,2015-10-14,W,4666
666165,119,2015-10-15,W,4619
666166,119,2015-10-16,W,5175
666167,119,2015-10-17,A,3868
666168,119,2015-10-18,U,2469
666169,119,2015-10-19,W,4724
666170,119,2015-10-20,W,4937
666171,119,2015-10-21,W,4991
666172,119,2015-10-22,W,4436
666173,119,2015-10-23,W,4914
666174,119,2015-10-24,A,3807
666175,119,2015-10-25,U,2495
666176,119,2015-10-26,W,4733
666177,119,2015-10-27,W,4652
666178,119,2015-10-28,W,4625
666179,119,2015-10-29,W,4747
666180,119,2015-10-30,W,5307
666181,119,2015-10-31,A,3316
666182,12,2015-10-01,W,16386
666183,12,2015-10-02,W,16775
666184,12,2015-10-03,A,9679
666185,12,2015-10-04,U,7401
666186,12,2015-10-05,W,15694
666187,12,2015-10-06,W,15359
666188,12,2015-10-07,W,15662
666189,12,2015-10-08,W,15580
666190,12,2015-10-09,W,15349
666191,12,2015-10-10,A,9478
666192,12,2015-10-11,U,6435
666193,12,2015-10-12,W,11820
666194,12,2015-10-13,W,15363
666195,12,2015-10-14,W,15022
666196,12,2015-10-15,W,15086
666197,12,2015-10-16,W,15702
666198,12,2015-10-17,A,10262
666199,12,2015-10-18,U,7238
666200,12,2015-10-19,W,14749
666201,12,2015-10-20,W,15269
666202,12,2015-10-21,W,15736
666203,12,2015-10-22,W,15248
666204,12,2015-10-23,W,14826
666205,12,2015-10-24,A,8914
666206,12,2015-10-25,U,7413
666207,12,2015-10-26,W,14895
666208,12,2015-10-27,W,14487
666209,12,2015-10-28,W,15078
666210,12,2015-10-29,W,14626
666211,12,2015-10-30,W,16758
666212,12,2015-10-31,A,8202
666213,120,2015-10-01,W,925
666214,120,2015-10-02,W,859
666215,120,2015-10-05,W,968
666216,120,2015-10-06,W,1005
666217,120,2015-10-07,W,920
666218,120,2015-10-08,W,921
666219,120,2015-10-09,W,757
666220,120,2015-10-12,W,746
666221,120,2015-10-13,W,945
666222,120,2015-10-14,W,987
666223,120,2015-10-15,W,871
666224,120,2015-10-16,W,756
666225,120,2015-10-19,W,907
666226,120,2015-10-20,W,970
666227,120,2015-10-21,W,900
666228,120,2015-10-22,W,788
666229,120,2015-10-23,W,784
666230,120,2015-10-26,W,955
666231,120,2015-10-27,W,969
666232,120,2015-10-28,W,1076
666233,120,2015-10-29,W,953
666234,120,2015-10-30,W,763
666235,121,2015-10-01,W,1442
666236,121,2015-10-02,W,1336
666237,121,2015-10-05,W,1437
666238,121,2015-10-06,W,1449
666239,121,2015-10-07,W,1439
666240,121,2015-10-08,W,1447
666241,121,2015-10-09,W,1198
666242,121,2015-10-12,W,1118
666243,121,2015-10-13,W,1491
666244,121,2015-10-14,W,1508
666245,121,2015-10-15,W,1434
666246,121,2015-10-16,W,1269
666247,121,2015-10-19,W,1251
666248,121,2015-10-20,W,1497
666249,121,2015-10-21,W,1427
666250,121,2015-10-22,W,1443
666251,121,2015-10-23,W,1198
666252,121,2015-10-26,W,1461
666253,121,2015-10-27,W,1658
666254,121,2015-10-28,W,1487
666255,121,2015-10-29,W,1494
666256,121,2015-10-30,W,1241
666257,124,2015-10-01,W,809
666258,124,2015-10-02,W,995
666259,124,2015-10-03,A,829
666260,124,2015-10-04,U,609
666261,124,2015-10-05,W,755
666262,124,2015-10-06,W,753
666263,124,2015-10-07,W,802
666264,124,2015-10-08,W,779
666265,124,2015-10-09,W,735
666266,124,2015-10-10,A,1149
666267,124,2015-10-11,U,575
666268,124,2015-10-12,W,700
666269,124,2015-10-13,W,685
666270,124,2015-10-14,W,818
666271,124,2015-10-15,W,936
666272,124,2015-10-16,W,982
666273,124,2015-10-17,A,999
666274,124,2015-10-18,U,607
666275,124,2015-10-19,W,766
666276,124,2015-10-20,W,771
666277,124,2015-10-21,W,853
666278,124,2015-10-22,W,774
666279,124,2015-10-23,W,830
666280,124,2015-10-24,A,837
666281,124,2015-10-25,U,518
666282,124,2015-10-26,W,643
666283,124,2015-10-27,W,787
666284,124,2015-10-28,W,614
666285,124,2015-10-29,W,651
666286,124,2015-10-30,W,772
666287,124,2015-10-31,A,710
666288,125,2015-10-01,W,1245
666289,125,2015-10-02,W,1168
666290,125,2015-10-05,W,1416
666291,125,2015-10-06,W,1390
666292,125,2015-10-07,W,1413
666293,125,2015-10-08,W,1229
666294,125,2015-10-09,W,1132
666295,125,2015-10-12,W,1071
666296,125,2015-10-13,W,1289
666297,125,2015-10-14,W,1248
666298,125,2015-10-15,W,1234
666299,125,2015-10-16,W,1244
666300,125,2015-10-19,W,1352
666301,125,2015-10-20,W,1259
666302,125,2015-10-21,W,1272
666303,125,2015-10-22,W,1132
666304,125,2015-10-23,W,1109
666305,125,2015-10-26,W,1253
666306,125,2015-10-27,W,1489
666307,125,2015-10-28,W,1422
666308,125,2015-10-29,W,1354
666309,125,2015-10-30,W,1140
666310,126,2015-10-01,W,7504
666311,126,2015-10-02,W,6572
666312,126,2015-10-03,A,3122
666313,126,2015-10-04,U,2515
666314,126,2015-10-05,W,7303
666315,126,2015-10-06,W,7533
666316,126,2015-10-07,W,7363
666317,126,2015-10-08,W,7103
666318,126,2015-10-09,W,6453
666319,126,2015-10-10,A,3198
666320,126,2015-10-11,U,1900
666321,126,2015-10-12,W,4947
666322,126,2015-10-13,W,7382
666323,126,2015-10-14,W,6961
666324,126,2015-10-15,W,6804
666325,126,2015-10-16,W,6220
666326,126,2015-10-17,A,3449
666327,126,2015-10-18,U,2335
666328,126,2015-10-19,W,7086
666329,126,2015-10-20,W,7217
666330,126,2015-10-21,W,7174
666331,126,2015-10-22,W,7022
666332,126,2015-10-23,W,6467
666333,126,2015-10-24,A,3025
666334,126,2015-10-25,U,2525
666335,126,2015-10-26,W,7067
666336,126,2015-10-27,W,6956
666337,126,2015-10-28,W,7085
666338,126,2015-10-29,W,6876
666339,126,2015-10-30,W,6561
666340,126,2015-10-31,A,2705
666341,128,2015-10-04,U,751
666342,132,2015-10-01,W,236
666343,132,2015-10-02,W,180
666344,132,2015-10-05,W,252
666345,132,2015-10-06,W,253
666346,132,2015-10-07,W,235
666347,132,2015-10-08,W,217
666348,132,2015-10-09,W,173
666349,132,2015-10-12,W,194
666350,132,2015-10-13,W,231
666351,132,2015-10-14,W,255
666352,132,2015-10-15,W,246
666353,132,2015-10-16,W,191
666354,132,2015-10-19,W,235
666355,132,2015-10-20,W,255
666356,132,2015-10-21,W,252
666357,132,2015-10-22,W,258
666358,132,2015-10-23,W,216
666359,132,2015-10-26,W,254
666360,132,2015-10-27,W,281
666361,132,2015-10-28,W,256
666362,132,2015-10-29,W,235
