SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,12-00841754,05/01/2012,Front,,Open,,Vacant,False,False,1423,W,35TH,ST,60609.0,1167415.0772865,1881560.63441962,11.0,9.0,59.0,41.83055409147876,-87.66125019730552,"(41.83055409147876, -87.66125019730553)",2012-05-01
Vacant/Abandoned Building,12-00843037,05/01/2012,Rear,,Open,,Vacant,False,False,721,W,61ST,ST,60621.0,1172532.31098173,1864423.45208394,16.0,7.0,68.0,41.783416536230575,-87.6429800104309,"(41.78341653623058, -87.6429800104309)",2012-05-01
Vacant/Abandoned Building,12-00843212,05/01/2012,Front,,Open,FRONT AND REAR DOORS...,Vacant,False,False,5349,N,PAULINA,ST,60640.0,1164027.12597745,1935661.80271785,40.0,20.0,77.0,41.979083615631744,-87.67215074017989,"(41.97908361563174, -87.67215074017987)",2012-05-01
Vacant/Abandoned Building,12-00843327,05/01/2012,Front,,Open,FRONT AND REAR DOORS AND COACH HOUSE,Vacant,False,True,318,N,LATROBE,AVE,60644.0,1141323.17848684,1901547.45579643,28.0,15.0,25.0,41.88592092853078,-87.75649081399597,"(41.88592092853078, -87.75649081399597)",2012-05-01
Vacant/Abandoned Building,12-00843465,05/01/2012,,,,,,,,4743,N,AVERS,AVE,60625.0,1149862.719825,1931432.03955,39.0,17.0,14.0,41.96776506456598,-87.72435206926367,"(41.96776506456598, -87.72435206926367)",2012-05-01
Vacant/Abandoned Building,12-00843549,05/01/2012,Front,,Open,FRONT,Vacant,False,False,1818,N,WOLCOTT,AVE,60622.0,1163400.81666784,1912131.51602001,32.0,14.0,22.0,41.914528523232285,-87.67511855551577,"(41.91452852323228, -87.67511855551577)",2012-05-01
Vacant/Abandoned Building,12-00843567,05/01/2012,Front,,Open,,Vacant,False,False,6343,S,SEELEY,AVE,60636.0,1163785.79099619,1862570.70419514,15.0,7.0,67.0,41.7785205794044,-87.67509978797159,"(41.7785205794044, -87.6750997879716)",2012-05-01
Vacant/Abandoned Building,12-00843836,05/01/2012,Front,,Open,FRONT,Vacant,False,True,2443,W,LITHUANIAN PLAZA,CT,60629.0,1161177.95779867,1858830.82527742,15.0,8.0,66.0,41.76831220478901,-87.68476371041494,"(41.76831220478901, -87.68476371041496)",2012-05-01
Vacant/Abandoned Building,12-00844244,05/01/2012,Front,,Open,FRONT,Vacant,False,False,624,N,SPAULDING,AVE,60624.0,1154265.62199656,1903967.50801423,27.0,11.0,23.0,41.89231321946282,-87.70889835871112,"(41.89231321946282, -87.70889835871112)",2012-05-01
Vacant/Abandoned Building,12-00844329,05/01/2012,Front,,Boarded,GATE IS OPEN,Vacant,True,False,7109,S,BENNETT,AVE,60649.0,1189937.67509342,1858181.5684218998,5.0,3.0,43.0,41.76588712393559,-87.57936747739447,"(41.76588712393559, -87.57936747739447)",2012-05-01
