,route,date,daytype,rides
313507,3,2007-12-01,A,15200
313508,4,2007-12-01,A,17077
313509,5,2007-12-01,A,566
313510,6,2007-12-01,A,9218
313511,8,2007-12-01,A,12342
313512,9,2007-12-01,A,21499
313513,10,2007-12-01,A,1203
313514,11,2007-12-01,A,1826
313515,12,2007-12-01,A,8267
313516,14,2007-12-01,A,4703
313517,15,2007-12-01,A,5902
313518,18,2007-12-01,A,997
313519,19,2007-12-01,A,635
313520,20,2007-12-01,A,15550
313521,21,2007-12-01,A,6095
313522,22,2007-12-01,A,15463
313523,28,2007-12-01,A,4849
313524,29,2007-12-01,A,11140
313525,30,2007-12-01,A,1920
313526,34,2007-12-01,A,3342
313527,35,2007-12-01,A,2996
313528,36,2007-12-01,A,14336
313529,43,2007-12-01,A,909
313530,44,2007-12-01,A,2516
313531,47,2007-12-01,A,9139
313532,49,2007-12-01,A,20271
313533,50,2007-12-01,A,4319
313534,51,2007-12-01,A,1383
313535,52,2007-12-01,A,7924
313536,53,2007-12-01,A,14330
313537,54,2007-12-01,A,9224
313538,55,2007-12-01,A,8744
313539,56,2007-12-01,A,8372
313540,57,2007-12-01,A,1372
313541,59,2007-12-01,A,1901
313542,60,2007-12-01,A,7656
313543,62,2007-12-01,A,7900
313544,63,2007-12-01,A,15491
313545,65,2007-12-01,A,2510
313546,66,2007-12-01,A,13770
313547,67,2007-12-01,A,8962
313548,68,2007-12-01,A,629
313549,70,2007-12-01,A,6307
313550,71,2007-12-01,A,9012
313551,72,2007-12-01,A,11993
313552,73,2007-12-01,A,2392
313553,74,2007-12-01,A,8494
313554,75,2007-12-01,A,5982
313555,76,2007-12-01,A,5888
313556,77,2007-12-01,A,13793
313557,78,2007-12-01,A,4942
313558,79,2007-12-01,A,25118
313559,80,2007-12-01,A,7975
313560,81,2007-12-01,A,10173
313561,82,2007-12-01,A,10716
313562,84,2007-12-01,A,2321
313563,85,2007-12-01,A,8141
313564,87,2007-12-01,A,10408
313565,88,2007-12-01,A,1377
313566,90,2007-12-01,A,4481
313567,91,2007-12-01,A,4960
313568,92,2007-12-01,A,3614
313569,93,2007-12-01,A,1541
313570,94,2007-12-01,A,4704
313571,97,2007-12-01,A,2159
313572,103,2007-12-01,A,1847
313573,106,2007-12-01,A,582
313574,111,2007-12-01,A,3429
313575,112,2007-12-01,A,1528
313576,119,2007-12-01,A,4264
313577,124,2007-12-01,A,883
313578,126,2007-12-01,A,4229
313579,145,2007-12-01,A,4143
313580,146,2007-12-01,A,8409
313581,147,2007-12-01,A,10582
313582,151,2007-12-01,A,14605
313583,152,2007-12-01,A,4877
313584,155,2007-12-01,A,5589
313585,168,2007-12-01,A,36
313586,169,2007-12-01,A,125
313587,171,2007-12-01,A,555
313588,172,2007-12-01,A,815
313589,174,2007-12-01,A,131
313590,201,2007-12-01,A,581
313591,290,2007-12-01,A,18
313592,1001,2007-12-01,A,17315
313593,49B,2007-12-01,A,3129
313594,52A,2007-12-01,A,1729
313595,53A,2007-12-01,A,3314
313596,54B,2007-12-01,A,3152
313597,55N,2007-12-01,A,114
313598,62H,2007-12-01,A,419
313599,63W,2007-12-01,A,752
313600,81W,2007-12-01,A,1087
313601,85A,2007-12-01,A,501
313602,8A,2007-12-01,A,3037
313603,90N,2007-12-01,A,125
313604,95E,2007-12-01,A,3318
313605,95W,2007-12-01,A,4879
313606,X80,2007-12-01,A,1393
313607,3,2007-12-02,U,10006
313608,4,2007-12-02,U,12149
313609,5,2007-12-02,U,364
313610,6,2007-12-02,U,6175
313611,8,2007-12-02,U,9807
313612,9,2007-12-02,U,16715
313613,10,2007-12-02,U,686
313614,11,2007-12-02,U,1132
313615,12,2007-12-02,U,7495
313616,14,2007-12-02,U,3403
313617,15,2007-12-02,U,4195
313618,18,2007-12-02,U,634
313619,20,2007-12-02,U,9436
313620,21,2007-12-02,U,3968
313621,22,2007-12-02,U,11664
313622,28,2007-12-02,U,2759
313623,29,2007-12-02,U,7103
313624,30,2007-12-02,U,685
313625,34,2007-12-02,U,3057
313626,35,2007-12-02,U,2153
313627,36,2007-12-02,U,11128
313628,43,2007-12-02,U,366
313629,44,2007-12-02,U,1541
313630,47,2007-12-02,U,5699
313631,49,2007-12-02,U,13560
313632,50,2007-12-02,U,3019
313633,51,2007-12-02,U,925
313634,52,2007-12-02,U,5631
313635,53,2007-12-02,U,9366
313636,54,2007-12-02,U,6331
313637,55,2007-12-02,U,6599
313638,56,2007-12-02,U,6843
313639,57,2007-12-02,U,775
313640,60,2007-12-02,U,5595
313641,62,2007-12-02,U,4801
313642,63,2007-12-02,U,11313
313643,65,2007-12-02,U,1530
313644,66,2007-12-02,U,8713
313645,67,2007-12-02,U,7248
313646,68,2007-12-02,U,282
313647,70,2007-12-02,U,4874
313648,71,2007-12-02,U,6039
313649,72,2007-12-02,U,8124
313650,73,2007-12-02,U,1427
313651,74,2007-12-02,U,5860
313652,75,2007-12-02,U,4153
313653,76,2007-12-02,U,3906
313654,77,2007-12-02,U,9757
313655,78,2007-12-02,U,3341
313656,79,2007-12-02,U,16590
313657,80,2007-12-02,U,6215
313658,81,2007-12-02,U,7793
313659,82,2007-12-02,U,7459
313660,84,2007-12-02,U,1485
313661,85,2007-12-02,U,5108
313662,87,2007-12-02,U,6217
313663,88,2007-12-02,U,488
313664,90,2007-12-02,U,2552
313665,91,2007-12-02,U,2727
313666,92,2007-12-02,U,2545
313667,94,2007-12-02,U,3389
313668,97,2007-12-02,U,1390
313669,103,2007-12-02,U,961
313670,106,2007-12-02,U,296
313671,111,2007-12-02,U,2517
313672,112,2007-12-02,U,1003
313673,119,2007-12-02,U,2893
313674,124,2007-12-02,U,448
313675,126,2007-12-02,U,2670
313676,128,2007-12-02,U,2183
313677,145,2007-12-02,U,2574
313678,146,2007-12-02,U,7048
313679,147,2007-12-02,U,6768
313680,151,2007-12-02,U,10631
313681,152,2007-12-02,U,2713
313682,155,2007-12-02,U,4082
313683,171,2007-12-02,U,707
313684,172,2007-12-02,U,1066
313685,174,2007-12-02,U,32
313686,201,2007-12-02,U,39
313687,290,2007-12-02,U,1
313688,1001,2007-12-02,U,18046
313689,49B,2007-12-02,U,2291
313690,52A,2007-12-02,U,1283
313691,53A,2007-12-02,U,1691
313692,54B,2007-12-02,U,2135
313693,63W,2007-12-02,U,494
313694,81W,2007-12-02,U,928
313695,8A,2007-12-02,U,1691
313696,95E,2007-12-02,U,2280
313697,95W,2007-12-02,U,2769
313698,X80,2007-12-02,U,894
313699,1,2007-12-03,W,3179
313700,2,2007-12-03,W,2444
313701,3,2007-12-03,W,21132
313702,4,2007-12-03,W,24526
313703,5,2007-12-03,W,432
313704,6,2007-12-03,W,12048
313705,7,2007-12-03,W,7266
313706,8,2007-12-03,W,23065
313707,9,2007-12-03,W,23079
313708,10,2007-12-03,W,656
313709,11,2007-12-03,W,5978
313710,12,2007-12-03,W,12275
313711,14,2007-12-03,W,14068
313712,15,2007-12-03,W,9208
313713,17,2007-12-03,W,497
313714,18,2007-12-03,W,1769
313715,19,2007-12-03,W,341
313716,20,2007-12-03,W,22617
313717,21,2007-12-03,W,8098
313718,22,2007-12-03,W,22539
313719,24,2007-12-03,W,3992
313720,26,2007-12-03,W,2656
313721,28,2007-12-03,W,5433
313722,29,2007-12-03,W,16210
313723,30,2007-12-03,W,4286
313724,33,2007-12-03,W,776
313725,34,2007-12-03,W,5406
313726,35,2007-12-03,W,6606
313727,36,2007-12-03,W,15809
313728,38,2007-12-03,W,1835
313729,39,2007-12-03,W,1860
313730,43,2007-12-03,W,1515
313731,44,2007-12-03,W,7273
313732,47,2007-12-03,W,12786
313733,48,2007-12-03,W,1342
313734,49,2007-12-03,W,20125
313735,50,2007-12-03,W,9441
313736,51,2007-12-03,W,2590
313737,52,2007-12-03,W,12888
313738,53,2007-12-03,W,23260
313739,54,2007-12-03,W,9463
313740,55,2007-12-03,W,12786
313741,56,2007-12-03,W,14322
313742,57,2007-12-03,W,3706
313743,59,2007-12-03,W,4092
313744,60,2007-12-03,W,13945
313745,62,2007-12-03,W,14730
313746,63,2007-12-03,W,22782
313747,64,2007-12-03,W,212
313748,65,2007-12-03,W,6981
313749,66,2007-12-03,W,23280
313750,67,2007-12-03,W,15722
313751,68,2007-12-03,W,1783
313752,69,2007-12-03,W,440
313753,70,2007-12-03,W,12024
313754,71,2007-12-03,W,12923
313755,72,2007-12-03,W,17623
313756,73,2007-12-03,W,5954
313757,74,2007-12-03,W,12427
313758,75,2007-12-03,W,8900
313759,76,2007-12-03,W,10370
313760,77,2007-12-03,W,22836
313761,78,2007-12-03,W,9309
