,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
59227,04/01/2014,Completed - Dup,04/01/2014,14-00462624,Sanitation Code Violation,Dumpster not being emptied,1830 N HUMBOLDT BLVD,60647.0,1156085.9503078002,1912022.29462034,35.0,14.0,22.0,41.91437971420049,-87.7019953187108,"(41.914379714200486, -87.7019953187108)",2014-04-01
59312,04/02/2014,Completed,04/02/2014,14-00467832,Sanitation Code Violation,Garbage in alley,2568 N BURLING ST,60614.0,1170837.63806822,1917301.02317073,43.0,19.0,7.0,41.92855403851061,-87.64764505617237,"(41.928554038510605, -87.64764505617237)",2014-04-02
59313,04/02/2014,Completed,04/02/2014,14-00467835,Sanitation Code Violation,Dog feces in yard,1943 N WASHTENAW AVE,60647.0,1158057.95219982,1912908.78999265,1.0,14.0,22.0,41.91677226446076,-87.69472621885485,"(41.91677226446076, -87.69472621885484)",2014-04-02
59314,04/02/2014,Completed,04/02/2014,14-00468341,Sanitation Code Violation,Other,1922 S MILLER ST,60608.0,1169768.47002643,1890977.42002031,25.0,12.0,31.0,41.85634374354978,-87.65234157829526,"(41.85634374354978, -87.65234157829526)",2014-04-02
59315,04/02/2014,Completed,04/02/2014,14-00469353,Sanitation Code Violation,Other,5046 W DICKENS AVE,60639.0,1142304.22972784,1913490.1421256,31.0,25.0,19.0,41.91867486846572,-87.75259124396915,"(41.918674868465715, -87.75259124396915)",2014-04-02
59316,04/02/2014,Completed,04/02/2014,14-00470310,Sanitation Code Violation,,2600 N RIDGEWAY AVE,60647.0,1150943.98770036,1917023.72777144,35.0,25.0,22.0,41.928206403427055,-87.72075495511953,"(41.928206403427055, -87.72075495511953)",2014-04-02
59317,04/01/2014,Completed,04/02/2014,14-00461787,Sanitation Code Violation,Dumpster not being emptied,4760 N LINCOLN AVE,60625.0,1159716.08387668,1931561.35308486,47.0,19.0,4.0,41.967922007387635,-87.68811844035608,"(41.96792200738763, -87.68811844035608)",2014-04-01
59318,04/01/2014,Completed,04/02/2014,14-00462155,Sanitation Code Violation,Construction Site Cleanliness/Fence,1905 W ROSCOE ST,60657.0,1163038.90872508,1922593.86856795,32.0,19.0,5.0,41.94324547736762,-87.67615354358671,"(41.94324547736762, -87.67615354358672)",2014-04-01
59319,04/01/2014,Completed,04/02/2014,14-00462762,Sanitation Code Violation,Dog feces in yard,4031 N MEADE AVE,60634.0,1134968.75788988,1926172.72830571,38.0,16.0,15.0,41.95361043315505,-87.77924171187315,"(41.95361043315505, -87.77924171187315)",2014-04-01
59320,04/01/2014,Completed,04/02/2014,14-00462905,Sanitation Code Violation,Other,6234 N MAPLEWOOD AVE,60659.0,1158193.7921061001,1941297.55771835,50.0,24.0,2.0,41.994669921097795,-87.69344835545931,"(41.994669921097795, -87.69344835545931)",2014-04-01
