SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,14-00461293,04/01/2014,Front,,Boarded,,Vacant,False,False,6249,N,BROADWAY,,60660.0,1167166.46610343,1941652.13898592,49.0,24.0,77.0,41.99545417302792,-87.66043258204962,"(41.99545417302792, -87.66043258204962)",2014-04-01
Vacant/Abandoned Building,14-00477726,04/03/2014,Front,,Open,,Vacant,False,False,3851,N,NORDICA,AVE,60634.0,1128381.80091241,1924783.62083099,38.0,16.0,17.0,41.94991287391089,-87.80348807459671,"(41.94991287391089, -87.8034880745967)",2014-04-03
Vacant/Abandoned Building,14-00485363,04/04/2014,Front,,Open,,Vacant,False,False,11715,S,LOWE,AVE,60628.0,1174051.77459072,1827272.88183164,34.0,5.0,53.0,41.681436777654916,-87.63850871814581,"(41.681436777654916, -87.63850871814581)",2014-04-04
Vacant/Abandoned Building,14-00485989,04/04/2014,Front,,Open,,Vacant,False,False,247,W,95TH,ST,60628.0,1176207.90881005,1841940.35427929,21.0,5.0,49.0,41.721638453235784,-87.63017776682493,"(41.72163845323578, -87.63017776682494)",2014-04-04
Vacant/Abandoned Building,14-00479829,04/03/2014,Front,,Open,FRONT,Vacant,False,True,11439,S,PERRY,AVE,60628.0,1177557.0113178,1828952.96997518,34.0,5.0,49.0,41.68596890202562,-87.625627193538,"(41.685968902025614, -87.625627193538)",2014-04-03
Vacant/Abandoned Building,14-00472004,04/02/2014,Front,,Open,,Vacant,False,False,6914,S,PEORIA,ST,60621.0,1171498.97480889,1858995.62286876,17.0,7.0,68.0,41.768544634339634,-87.64692740191093,"(41.768544634339634, -87.64692740191093)",2014-04-02
Vacant/Abandoned Building,14-00488971,04/05/2014,Front,,Boarded,"REAR, 2ND FLR DOOR BOARD REMOVED",Vacant,False,False,3022,W,LEXINGTON,ST,60612.0,1156335.11042954,1896547.77106709,28.0,11.0,27.0,41.87191115721116,-87.70149858665006,"(41.87191115721116, -87.70149858665006)",2014-04-05
Vacant/Abandoned Building,14-00493143,04/07/2014,Front,,Open,,Vacant,True,False,6714,S,UNION,AVE,60621.0,1172894.98993009,1860361.46358819,6.0,7.0,68.0,41.77226197643302,-87.64177007621824,"(41.77226197643302, -87.64177007621825)",2014-04-07
Vacant/Abandoned Building,14-00477267,04/03/2014,Rear,,Open,,Vacant,False,True,3821,W,MONROE,ST,60624.0,1150938.3833299,1899389.54023399,28.0,11.0,26.0,41.87981658634953,-87.72123791737009,"(41.87981658634952, -87.7212379173701)",2014-04-03
Vacant/Abandoned Building,14-00479327,04/03/2014,Front,,Open,,Vacant,False,False,4357,W,WILCOX,ST,60624.0,1147364.32740818,1898980.84020224,28.0,11.0,26.0,41.878764263902156,-87.73437196025282,"(41.878764263902156, -87.73437196025282)",2014-04-03
Vacant/Abandoned Building,14-00481138,04/03/2014,Rear,,Open,REAR TREE IN BACK YARD FELL INTO NEIGHBORS PROPERTY,Vacant,False,False,5540,S,LA SALLE,ST,60621.0,1176237.85012045,1868162.91746557,3.0,2.0,68.0,41.79359556797621,-87.62928204010136,"(41.793595567976205, -87.62928204010136)",2014-04-03
Vacant/Abandoned Building,14-00488710,04/05/2014,Front,,Open,,Vacant,True,True,550,W,116TH,ST,60628.0,1174629.05719889,1827968.63498732,34.0,5.0,53.0,41.68333323850162,-87.63637495468454,"(41.68333323850162, -87.63637495468454)",2014-04-05
Vacant/Abandoned Building,14-00462842,04/01/2014,Rear,,Open,"BASEMENT, REAR DOOR, AND ALL WINDOWS",Vacant,False,True,11577,S,LAFAYETTE,AVE,60628.0,1177994.12720311,1827917.56598568,34.0,5.0,53.0,41.683117734283925,-87.6240582154829,"(41.68311773428393, -87.6240582154829)",2014-04-01
Vacant/Abandoned Building,14-00463037,04/01/2014,Front,,Open,FRONT,Vacant,False,False,12137,S,STEWART,AVE,60628.0,1175813.31751913,1824439.02748516,34.0,5.0,53.0,41.673621071215436,-87.63214495878016,"(41.673621071215436, -87.63214495878015)",2014-04-01
Vacant/Abandoned Building,14-00464679,04/01/2014,Rear,,Open,,Vacant,True,False,653,N,SPAULDING,AVE,60624.0,1154259.66330523,1904163.00943406,27.0,11.0,23.0,41.892849813229006,-87.70891501744579,"(41.892849813229006, -87.7089150174458)",2014-04-01
Vacant/Abandoned Building,14-00473355,04/02/2014,Front,,Open,?,Vacant,False,False,4059,W,CRYSTAL,ST,60651.0,1149091.68772962,1908028.31868923,27.0,25.0,23.0,41.90355825801219,-87.72779493030373,"(41.90355825801219, -87.72779493030374)",2014-04-02
Vacant/Abandoned Building,14-00500216,04/08/2014,Front,,Open,,Vacant,True,False,6545,S,HERMITAGE,AVE,60636.0,1165794.52858572,1861287.91907119,15.0,7.0,67.0,41.774958021090775,-87.66777201004038,"(41.774958021090775, -87.66777201004038)",2014-04-08
Vacant/Abandoned Building,14-00489175,04/05/2014,Front,,Boarded,BACK,Vacant,False,True,849,N,PINE,AVE,60651.0,1139360.99162187,1905217.83137744,37.0,15.0,25.0,41.896028865180824,-87.7636069961076,"(41.89602886518083, -87.7636069961076)",2014-04-05
Vacant/Abandoned Building,14-00492363,04/07/2014,Front,,Open,REAR DOORS OPEN,Vacant,False,False,1108,N,LECLAIRE,AVE,60651.0,1142159.8073148,1906899.00328721,37.0,15.0,25.0,41.90059073624604,-87.75328563710991,"(41.90059073624604, -87.75328563710991)",2014-04-07
Vacant/Abandoned Building,14-00492667,04/07/2014,Rear,,Open,REAR DOOR,Vacant,False,False,1446,W,MARQUETTE,RD,60636.0,1167750.47403155,1860313.25778705,17.0,7.0,67.0,41.77224166371621,-87.66062973018471,"(41.77224166371621, -87.66062973018471)",2014-04-07
Vacant/Abandoned Building,14-00496600,04/07/2014,Front,,Open,,Vacant,False,False,12135,S,ADA,ST,60643.0,1169530.16748028,1824161.93001828,34.0,5.0,53.0,41.67299867092871,-87.65514987806353,"(41.67299867092872, -87.65514987806353)",2014-04-07
Vacant/Abandoned Building,14-00482178,04/04/2014,Front,,Open,,Vacant,True,False,12218,S,WALLACE,ST,60628.0,1174516.51841067,1823865.79739157,34.0,5.0,53.0,41.67207689462405,-87.63690831228091,"(41.67207689462405, -87.6369083122809)",2014-04-04
Vacant/Abandoned Building,14-00483939,04/04/2014,Rear,,Open,REAR ATTIC  DOOR,Vacant,False,True,824,N,LEAMINGTON,AVE,60651.0,1141872.32018778,1905001.8816141998,37.0,15.0,25.0,41.89539014177568,-87.75438862989455,"(41.89539014177568, -87.75438862989454)",2014-04-04
Vacant/Abandoned Building,14-00460213,04/01/2014,Front,,Boarded,,Vacant,False,False,6301,S,WESTERN,AVE,60636.0,1161454.86559886,1862799.80249086,15.0,8.0,66.0,41.77919789975881,-87.68363880021742,"(41.77919789975881, -87.68363880021742)",2014-04-01
Vacant/Abandoned Building,14-00462880,04/01/2014,Front,,Boarded,,Vacant,False,False,6247,N,BROADWAY,,60660.0,1167166.86610343,1941638.73898592,49.0,24.0,77.0,41.995417394522974,-87.66043149799768,"(41.99541739452298, -87.66043149799768)",2014-04-01
Vacant/Abandoned Building,14-00464540,04/01/2014,Front,,Open,,Vacant,False,False,5236,S,NATOMA,AVE,60638.0,1132934.10092605,1869128.39766813,23.0,8.0,56.0,41.797108472038886,-87.78805367157902,"(41.79710847203888, -87.78805367157902)",2014-04-01
Vacant/Abandoned Building,14-00465323,04/01/2014,Front,,Open,,Vacant,False,False,1244,W,115TH,ST,60643.0,1169998.35036757,1828514.21760051,34.0,22.0,75.0,41.68493195758805,-87.65331057333428,"(41.68493195758805, -87.65331057333428)",2014-04-01
Vacant/Abandoned Building,14-00465409,04/01/2014,Front,,Open,FRONT DOOR,Vacant,False,False,4306,W,CORTEZ,ST,60651.0,1147427.41012833,1906648.86007043,37.0,11.0,23.0,41.89980495332338,-87.73394365673622,"(41.89980495332338, -87.73394365673622)",2014-04-01
Vacant/Abandoned Building,14-00467224,04/01/2014,Front,,Boarded,FRONT,Vacant,False,False,954,N,PULASKI,RD,60651.0,1149548.08631354,1906076.46359139,37.0,11.0,23.0,41.89819331684054,-87.72616920442131,"(41.89819331684054, -87.72616920442132)",2014-04-01
Vacant/Abandoned Building,14-00500224,04/08/2014,Front,,Open,,Vacant,False,False,8626,S,BALTIMORE,AVE,60617.0,1198259.88336697,1848366.79009241,10.0,4.0,46.0,41.738750460816114,-87.54919227698628,"(41.73875046081611, -87.54919227698626)",2014-04-08
Vacant/Abandoned Building,14-00500232,04/08/2014,Front,,Open,,Vacant,False,False,8748,S,BALTIMORE,AVE,60617.0,1198412.0600666,1847559.13569962,10.0,4.0,46.0,41.73653038932726,-87.54866172497834,"(41.73653038932726, -87.54866172497836)",2014-04-08
