,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
24341,06/01/2011,Completed - Dup,01/30/2012,11-02390349,Street Light - 1/Out,4212 W MAYPOLE AVE,60624.0,1148270.36286819,1901120.29656764,28.0,11.0,26.0,41.88461777488854,-87.73099000781419,"(41.88461777488854,-87.73099000781419)",2011-06-01
24342,06/01/2011,Completed - Dup,02/02/2012,11-02380416,Street Light - 1/Out,25 S PARKSIDE AVE,60644.0,1138616.34411501,1899353.41920397,29.0,15.0,25.0,41.87994970721988,-87.76648425740427,"(41.87994970721988,-87.76648425740426)",2011-06-01
24343,06/01/2011,Completed - Dup,06/01/2011,11-02364529,Street Light - 1/Out,7300 N OCONTO AVE,60631.0,1127056.68446881,1947946.93792976,41.0,16.0,9.0,42.013497744455016,-87.80783677543249,"(42.013497744455016,-87.80783677543249)",2011-06-01
24344,06/01/2011,Completed - Dup,06/01/2011,11-02367357,Street Light - 1/Out,630 E 101ST PL,60628.0,1182209.81457113,1837798.61013056,9.0,5.0,49.0,41.71013636499364,-87.60832177243309,"(41.71013636499364,-87.6083217724331)",2011-06-01
24345,06/01/2011,Completed - Dup,06/01/2011,11-02380840,Street Light - 1/Out,6118 S HONORE ST,60636.0,1165067.32927351,1864103.39783224,15.0,7.0,67.0,41.78269947450346,-87.67035825391346,"(41.78269947450346,-87.67035825391346)",2011-06-01
24346,06/01/2011,Completed - Dup,06/02/2011,11-02361617,Street Light - 1/Out,1701 N NATOMA AVE,60707.0,1131820.85391963,1910588.42889235,36.0,25.0,25.0,41.910900548258304,-87.79117620900551,"(41.910900548258304,-87.79117620900551)",2011-06-01
24347,06/01/2011,Completed - Dup,06/02/2011,11-02373727,Street Light - 1/Out,343 W 110TH ST,60628.0,1175985.79611417,1831979.41141515,34.0,5.0,49.0,41.694309188819325,-87.631288775584,"(41.694309188819325,-87.631288775584)",2011-06-01
24348,06/01/2011,Completed - Dup,06/02/2011,11-02377803,Street Light - 1/Out,4840 W ROSCOE ST,60641.0,1143503.54297696,1922167.42488853,38.0,16.0,15.0,41.942463813619476,-87.74796713927608,"(41.94246381361948,-87.74796713927608)",2011-06-01
24349,06/01/2011,Completed - Dup,06/02/2011,11-02378386,Street Light - 1/Out,347 W 110TH ST,60628.0,1175962.09611417,1831978.81141515,34.0,5.0,49.0,41.694308072380025,-87.63137556525145,"(41.694308072380025,-87.63137556525145)",2011-06-01
24350,06/01/2011,Completed - Dup,06/02/2011,11-02379393,Street Light - 1/Out,5800 S NARRAGANSETT AVE,60638.0,1134716.57772667,1865399.12672702,23.0,8.0,56.0,41.786843465947314,-87.78160472607756,"(41.78684346594731,-87.78160472607757)",2011-06-01
24351,06/01/2011,Completed - Dup,06/02/2011,11-02382328,Street Light - 1/Out,11558 S MORGAN ST,60643.0,1171735.73831978,1828014.81988332,34.0,5.0,53.0,41.68352371987885,-87.64696501664378,"(41.683523719878856,-87.64696501664376)",2011-06-01
24352,06/01/2011,Completed - Dup,06/02/2011,11-02383164,Street Light - 1/Out,5010 W WEST END AVE,60644.0,1142957.11498607,1900517.42558002,28.0,15.0,25.0,41.88306410420934,-87.75051625996328,"(41.88306410420934,-87.75051625996328)",2011-06-01
24353,06/01/2011,Completed - Dup,06/02/2011,11-02384670,Street Light - 1/Out,6634 S GREENWOOD AVE,60637.0,1184360.82478025,1861234.8676715998,5.0,3.0,42.0,41.77439798764546,-87.59971280460535,"(41.77439798764546,-87.59971280460536)",2011-06-01
24354,06/01/2011,Completed - Dup,06/02/2011,11-02384735,Street Light - 1/Out,1244 N CAMPBELL AVE,60622.0,1159513.28573105,1908194.25471365,26.0,14.0,24.0,41.90380535174515,-87.68950935595552,"(41.90380535174515,-87.68950935595552)",2011-06-01
24355,06/01/2011,Completed - Dup,06/02/2011,11-02385606,Street Light - 1/Out,2210 N LEAVITT ST,60647.0,1161330.44377852,1914710.80007559,32.0,14.0,22.0,41.92164960925917,-87.6826529026846,"(41.92164960925917,-87.6826529026846)",2011-06-01
24356,06/01/2011,Completed - Dup,06/02/2011,11-02385863,Street Light - 1/Out,12400 S STATE ST,60628.0,1178503.26832897,1822747.58877151,9.0,5.0,53.0,41.66891901404085,-87.62235060585148,"(41.668919014040846,-87.62235060585148)",2011-06-01
24357,06/01/2011,Completed - Dup,06/02/2011,11-02388210,Street Light - 1/Out,400 N ST LOUIS AVE,60624.0,1152978.78778878,1902504.52032498,27.0,11.0,23.0,41.88832423599893,-87.71366318974466,"(41.88832423599893,-87.71366318974465)",2011-06-01
24358,06/01/2011,Completed - Dup,06/02/2011,11-02388218,Street Light - 1/Out,411 N ST LOUIS AVE,60624.0,1152975.38778878,1902621.12032498,27.0,11.0,23.0,41.888644265549644,-87.71367258363999,"(41.88864426554964,-87.71367258363999)",2011-06-01
24359,06/01/2011,Completed - Dup,06/02/2011,11-02388234,Street Light - 1/Out,3500 W GOVERNORS PKWY,60624.0,1152978.78778878,1902504.52032498,27.0,11.0,23.0,41.88832423599893,-87.71366318974466,"(41.88832423599893,-87.71366318974465)",2011-06-01
