,route,date,daytype,rides
100012,1,2003-05-01,W,6852
100013,2,2003-05-01,W,1720
100014,3,2003-05-01,W,22105
100015,4,2003-05-01,W,25457
100016,6,2003-05-01,W,18638
100017,7,2003-05-01,W,5536
100018,8,2003-05-01,W,21266
100019,9,2003-05-01,W,30671
100020,11,2003-05-01,W,3130
100021,12,2003-05-01,W,10315
100022,14,2003-05-01,W,8097
100023,17,2003-05-01,W,533
100024,18,2003-05-01,W,1873
100025,20,2003-05-01,W,22224
100026,21,2003-05-01,W,8093
100027,22,2003-05-01,W,21050
100028,24,2003-05-01,W,6001
100029,25,2003-05-01,W,434
100030,27,2003-05-01,W,5745
100031,28,2003-05-01,W,12624
100032,29,2003-05-01,W,16120
100033,30,2003-05-01,W,3571
100034,33,2003-05-01,W,605
100035,34,2003-05-01,W,6590
100036,35,2003-05-01,W,5646
100037,36,2003-05-01,W,14256
100038,37,2003-05-01,W,2868
100039,39,2003-05-01,W,1995
100040,43,2003-05-01,W,1331
100041,44,2003-05-01,W,7216
100042,47,2003-05-01,W,8515
100043,48,2003-05-01,W,1169
100044,49,2003-05-01,W,20559
100045,50,2003-05-01,W,7845
100046,51,2003-05-01,W,5203
100047,52,2003-05-01,W,11809
100048,53,2003-05-01,W,21505
100049,54,2003-05-01,W,12161
100050,55,2003-05-01,W,11303
100051,56,2003-05-01,W,15889
100052,57,2003-05-01,W,3357
100053,59,2003-05-01,W,4485
100054,60,2003-05-01,W,13807
100055,62,2003-05-01,W,14115
100056,63,2003-05-01,W,21903
100057,64,2003-05-01,W,212
100058,65,2003-05-01,W,6193
100059,66,2003-05-01,W,22613
100060,67,2003-05-01,W,15028
100061,68,2003-05-01,W,1648
100062,69,2003-05-01,W,278
100063,70,2003-05-01,W,10309
100064,71,2003-05-01,W,7427
100065,72,2003-05-01,W,13810
100066,73,2003-05-01,W,5782
100067,74,2003-05-01,W,12453
100068,75,2003-05-01,W,8271
100069,76,2003-05-01,W,13342
100070,77,2003-05-01,W,20179
100071,78,2003-05-01,W,8209
100072,79,2003-05-01,W,32576
100073,80,2003-05-01,W,10757
100074,81,2003-05-01,W,14779
100075,82,2003-05-01,W,18490
