,route,date,daytype,rides
648063,1,2015-05-01,W,1635
648064,1,2015-05-04,W,2570
648065,1,2015-05-05,W,2183
648066,1,2015-05-06,W,2019
648067,1,2015-05-07,W,1803
648068,1,2015-05-08,W,1862
648069,1,2015-05-09,A,265
648070,1,2015-05-11,W,2212
648071,1,2015-05-12,W,2094
648072,1,2015-05-13,W,2112
648073,1,2015-05-14,W,2239
648074,1,2015-05-15,W,1823
648075,1,2015-05-18,W,1911
648076,1,2015-05-19,W,2192
648077,1,2015-05-20,W,2357
648078,1,2015-05-21,W,2014
648079,1,2015-05-22,W,1545
648080,1,2015-05-23,A,154
648081,1,2015-05-24,U,114
648082,1,2015-05-26,W,1821
648083,1,2015-05-27,W,1876
648084,1,2015-05-28,W,1925
648085,1,2015-05-29,W,1801
648086,1,2015-05-30,A,80
648087,10,2015-05-02,A,544
648088,10,2015-05-03,U,504
648089,10,2015-05-09,A,836
648090,10,2015-05-10,U,598
648091,10,2015-05-16,A,630
648092,10,2015-05-17,U,699
648093,10,2015-05-23,A,681
648094,10,2015-05-24,U,994
648095,10,2015-05-25,U,800
648096,10,2015-05-26,W,505
648097,10,2015-05-27,W,394
648098,10,2015-05-28,W,336
648099,10,2015-05-29,W,517
648100,10,2015-05-30,A,923
648101,10,2015-05-31,U,546
648102,100,2015-05-01,W,802
648103,100,2015-05-04,W,750
648104,100,2015-05-05,W,823
648105,100,2015-05-06,W,824
648106,100,2015-05-07,W,780
648107,100,2015-05-08,W,751
648108,100,2015-05-11,W,817
648109,100,2015-05-12,W,794
648110,100,2015-05-13,W,883
648111,100,2015-05-14,W,738
648112,100,2015-05-15,W,751
648113,100,2015-05-18,W,843
648114,100,2015-05-19,W,814
648115,100,2015-05-20,W,791
648116,100,2015-05-21,W,753
648117,100,2015-05-22,W,654
648118,100,2015-05-26,W,780
648119,100,2015-05-27,W,770
648120,100,2015-05-28,W,748
648121,100,2015-05-29,W,747
648122,1001,2015-05-01,W,486
648123,1001,2015-05-02,A,2315
648124,1001,2015-05-03,U,1874
648125,1001,2015-05-04,W,28
648126,1001,2015-05-05,W,4
648127,1001,2015-05-06,W,30
648128,1001,2015-05-07,W,111
648129,1001,2015-05-08,W,396
648130,1001,2015-05-09,A,1557
648131,1001,2015-05-10,U,798
648132,1001,2015-05-11,W,11
