,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
61067,05/01/2014,Completed,05/01/2014,14-00629917,Sanitation Code Violation,Overflowing carts,935 W IRVING PARK RD,60613.0,1169310.96992368,1926748.09300734,46.0,19.0,6.0,41.95451056525473,-87.6529794780533,"(41.95451056525473, -87.6529794780533)",2014-05-01
61068,05/01/2014,Completed,05/01/2014,14-00630023,Sanitation Code Violation,Garbage in alley,1230 W ARGYLE ST,60640.0,1167073.19996664,1933342.66031252,48.0,20.0,3.0,41.972654753127046,-87.66101559433281,"(41.972654753127046, -87.66101559433282)",2014-05-01
61069,05/01/2014,Completed,05/01/2014,14-00630026,Sanitation Code Violation,Garbage in alley,2118 N CLIFTON AVE,60614.0,1168294.81329456,1914235.21542794,32.0,18.0,7.0,41.920196720271946,-87.65707786082058,"(41.920196720271946, -87.65707786082058)",2014-05-01
61070,05/01/2014,Completed,05/01/2014,14-00630319,Sanitation Code Violation,Garbage in yard,1234 W COLUMBIA AVE,60626.0,1166769.80636865,1944952.07991919,49.0,24.0,1.0,42.00451781914249,-87.66179648650917,"(42.00451781914249, -87.66179648650917)",2014-05-01
61071,05/01/2014,Completed,05/01/2014,14-00631301,Sanitation Code Violation,Garbage in alley,1662 W FARWELL AVE,60626.0,1163957.16997361,1945682.12578575,49.0,24.0,1.0,42.006581151513295,-87.67212347759056,"(42.006581151513295, -87.67212347759057)",2014-05-01
61072,05/01/2014,Completed,05/01/2014,14-00632258,Sanitation Code Violation,Garbage in yard,5527 S WOLCOTT AVE,60636.0,1164633.0800125,1867919.64801911,15.0,7.0,67.0,41.79318092560669,-87.67184269853472,"(41.793180925606684, -87.67184269853472)",2014-05-01
61131,05/02/2014,Completed,05/02/2014,14-00636936,Sanitation Code Violation,Construction Site Cleanliness/Fence,931 W ALTGELD ST,60614.0,1169652.43796669,1916805.50767167,43.0,19.0,7.0,41.92722024594779,-87.65201470144034,"(41.927220245947794, -87.65201470144034)",2014-05-02
61132,05/02/2014,Completed,05/02/2014,14-00636939,Sanitation Code Violation,Garbage in alley,915 W DIVERSEY PKWY,60614.0,1169635.32762553,1918791.12821316,43.0,19.0,7.0,41.932669256153524,-87.65201959589236,"(41.932669256153524, -87.65201959589236)",2014-05-02
61133,05/02/2014,Completed,05/02/2014,14-00636940,Sanitation Code Violation,Garbage in alley,1735 N FERN CT,60614.0,1173126.65997859,1911978.32997071,43.0,18.0,7.0,41.91389779268154,-87.63939202931203,"(41.91389779268154, -87.63939202931203)",2014-05-02
61134,05/02/2014,Completed,05/02/2014,14-00636942,Sanitation Code Violation,Construction Site Cleanliness/Fence,1430 N CLEVELAND AVE,60610.0,1172727.04360589,1909860.7555944,43.0,18.0,8.0,41.90809592531697,-87.6409229363723,"(41.90809592531697, -87.64092293637229)",2014-05-02
61135,05/02/2014,Completed,05/02/2014,14-00636945,Sanitation Code Violation,Garbage in alley,155 W SCHILLER ST,60610.0,1174764.50829362,1909730.56469386,43.0,18.0,8.0,41.90769329984844,-87.63344231624036,"(41.90769329984844, -87.63344231624038)",2014-05-02
61136,05/02/2014,Completed,05/02/2014,14-00636947,Sanitation Code Violation,Other,2730 N DAYTON ST,60614.0,1170140.39142947,1918342.90001896,43.0,19.0,7.0,41.9314282690944,-87.65017667688488,"(41.931428269094404, -87.65017667688487)",2014-05-02
61137,05/02/2014,Completed,05/02/2014,14-00637711,Sanitation Code Violation,Garbage in alley,2123 N CLEVELAND AVE,60614.0,1172582.66850382,1914391.46918124,43.0,18.0,7.0,41.920531621738036,-87.64131900167887,"(41.92053162173803, -87.64131900167888)",2014-05-02
61138,05/02/2014,Completed,05/02/2014,14-00639184,Sanitation Code Violation,Other,1949 N CLEVELAND AVE,60614.0,1172619.46582547,1913240.16417751,43.0,18.0,7.0,41.91737157229653,-87.6412179414432,"(41.91737157229653, -87.64121794144319)",2014-05-02
61139,05/02/2014,Completed,05/02/2014,14-00641102,Sanitation Code Violation,Other,1140 W DICKENS AVE,60614.0,1168259.21329456,1914113.91542794,32.0,18.0,7.0,41.91986463665144,-87.657212174705,"(41.91986463665144, -87.65721217470498)",2014-05-02
61140,05/01/2014,Completed,05/02/2014,14-00630025,Sanitation Code Violation,Dumpster not being emptied,2340 N LINCOLN AVE,60614.0,1170903.86632725,1915826.03748962,43.0,18.0,7.0,41.92450515558002,-87.64744504728037,"(41.92450515558002, -87.64744504728036)",2014-05-01
61141,05/01/2014,Completed,05/02/2014,14-00630028,Sanitation Code Violation,Dumpster not being emptied,2460 N LINCOLN AVE,60614.0,1170052.06057773,1916628.5005826,43.0,19.0,7.0,41.92672580719407,-87.65055144437919,"(41.92672580719407, -87.65055144437919)",2014-05-01
61142,05/01/2014,Completed,05/02/2014,14-00630030,Sanitation Code Violation,Dumpster not being emptied,2147 N SHEFFIELD AVE,60614.0,1169278.67901164,1914457.31479353,43.0,18.0,7.0,41.920784825800084,-87.65345651371786,"(41.92078482580008, -87.65345651371786)",2014-05-01
61143,05/01/2014,Completed,05/02/2014,14-00630585,Sanitation Code Violation,Garbage in alley,7210 S WENTWORTH AVE,60621.0,1176208.25249524,1857169.21306617,17.0,7.0,69.0,41.76342833094999,-87.62972042066488,"(41.763428330949985, -87.62972042066488)",2014-05-01
61144,05/01/2014,Completed,05/02/2014,14-00632860,Sanitation Code Violation,Garbage in yard,10536 S LA SALLE ST,60628.0,1177140.42003441,1835072.97000955,34.0,5.0,49.0,41.70277245634347,-87.62696851326841,"(41.70277245634347, -87.6269685132684)",2014-05-01
61145,05/01/2014,Completed,05/02/2014,14-00632900,Sanitation Code Violation,Dumpster not being emptied,824 S LEAVITT ST,60612.0,1161848.19998082,1896324.14190935,25.0,12.0,28.0,41.87118435606336,-87.68126398352008,"(41.87118435606336, -87.6812639835201)",2014-05-01
61146,05/01/2014,Completed,05/02/2014,14-00633306,Sanitation Code Violation,Other,1442 W FULLERTON AVE,60614.0,1166196.21602459,1916041.42719867,32.0,19.0,7.0,41.92519822338758,-87.66473670800352,"(41.92519822338758, -87.66473670800352)",2014-05-01
61147,05/01/2014,Completed,05/02/2014,14-00633493,Sanitation Code Violation,Other,7500 S COLES AVE,60649.0,1195618.73343421,1856037.07646802,7.0,4.0,43.0,41.759863948865025,-87.5586156717291,"(41.75986394886502, -87.55861567172911)",2014-05-01
61148,05/01/2014,Completed,05/02/2014,14-00634199,Sanitation Code Violation,Garbage in alley,514 N ADA ST,60642.0,1167369.21997069,1903679.27058916,27.0,12.0,24.0,41.8912505106103,-87.6607827242956,"(41.8912505106103, -87.66078272429559)",2014-05-01
61149,05/01/2014,Completed,05/02/2014,14-00635060,Sanitation Code Violation,Garbage in alley,937 W IRVING PARK RD,60613.0,1169297.66992368,1926747.69300734,46.0,19.0,6.0,41.954509757365415,-87.65302838220795,"(41.954509757365415, -87.65302838220795)",2014-05-01
61150,05/01/2014,Completed,05/02/2014,14-00635458,Sanitation Code Violation,Overflowing carts,4641 N DOVER ST,60640.0,1165848.70001121,1930921.85513045,46.0,19.0,3.0,41.9660382570569,-87.66558767898731,"(41.9660382570569, -87.66558767898732)",2014-05-01
61151,05/01/2014,Completed,05/02/2014,14-00635768,Sanitation Code Violation,Construction Site Cleanliness/Fence,3727 N WESTERN AVE,60618.0,1159712.40128832,1924682.8728902,47.0,19.0,5.0,41.94904716278478,-87.68832235212636,"(41.94904716278478, -87.68832235212638)",2014-05-01
61152,05/01/2014,Completed,05/02/2014,14-00635857,Sanitation Code Violation,Garbage in yard,1058 W FOSTER AVE,60640.0,1168180.3240278,1934704.10376952,48.0,20.0,77.0,41.9763666794475,-87.65690497696737,"(41.9763666794475, -87.65690497696738)",2014-05-01
61153,05/01/2014,Completed,05/02/2014,14-00636461,Sanitation Code Violation,Other,4602 W PATTERSON AVE,60641.0,1144920.15997261,1923862.01998246,38.0,17.0,15.0,41.94708726898057,-87.74271744783267,"(41.94708726898057, -87.74271744783269)",2014-05-01
61213,05/02/2014,Completed,05/04/2014,14-00638879,Sanitation Code Violation,Garbage in yard,5726 S SANGAMON ST,60621.0,1170954.03788846,1866859.7629787,16.0,7.0,68.0,41.790136678406704,-87.64869535806591,"(41.790136678406704, -87.6486953580659)",2014-05-02
61214,05/02/2014,Completed,05/04/2014,14-00641424,Sanitation Code Violation,Other,4051 S ROCKWELL ST,60632.0,1159706.79079813,1877514.72003402,12.0,9.0,58.0,41.81961362597645,-87.68964348311668,"(41.81961362597645, -87.68964348311668)",2014-05-02
