SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,14-00765356,05/22/2014,,,,,,,,3636,W,OAKDALE,AVE,60618.0,1151609.60997253,1919412.86001936,35.0,25.0,21.0,41.93474930469703,-87.71824603425405,"(41.93474930469703, -87.71824603425407)",2014-05-22
Vacant/Abandoned Building,14-00630589,05/01/2014,Front,,Open,,Vacant,False,False,5719,S,FRANCISCO,AVE,60629.0,1158020.73068669,1866585.99638448,16.0,8.0,63.0,41.789658261261785,-87.69612590561026,"(41.78965826126179, -87.69612590561026)",2014-05-01
Vacant/Abandoned Building,14-00652514,05/05/2014,Front,,Open,REAR DOOR AND SIDE WINDOWS,Vacant,False,True,6441,S,MARSHFIELD,AVE,60636.0,1166431.54568708,1861994.28148752,15.0,7.0,67.0,41.776882818400686,-87.6654166797623,"(41.776882818400686, -87.66541667976232)",2014-05-05
Vacant/Abandoned Building,14-00653158,05/05/2014,Front,,Open,UNKNOWN,Vacant,False,False,8235,S,SOUTH SHORE,DR,60617.0,1198580.72417116,1850967.89837944,7.0,4.0,46.0,41.745880065193205,-87.54792983147247,"(41.7458800651932, -87.54792983147247)",2014-05-05
Vacant/Abandoned Building,14-00659820,05/06/2014,Front,,Open,,Vacant,False,False,8425,S,LUELLA,AVE,60617.0,1192641.5847273,1849550.60923253,8.0,4.0,46.0,41.74213759763124,-87.56973768520767,"(41.742137597631235, -87.56973768520767)",2014-05-06
Vacant/Abandoned Building,14-00646869,05/04/2014,Front,,Open,ALL DOORS AND WINDOWS,Vacant,False,True,9107,S,ASHLAND,AVE,60620.0,1167269.85197526,1844316.16669311,21.0,22.0,73.0,41.728353714498134,-87.66284851716051,"(41.728353714498134, -87.66284851716051)",2014-05-04
Vacant/Abandoned Building,14-00646935,05/04/2014,Front,,Open,BACK DOOR,Vacant,False,True,8350,S,GREEN,ST,60620.0,1172077.54001621,1849815.00371582,21.0,6.0,71.0,41.743339160625204,-87.64507589552353,"(41.7433391606252, -87.64507589552353)",2014-05-04
Vacant/Abandoned Building,14-00631527,05/01/2014,Front,,Open,,Vacant,False,False,6449,S,DAMEN,AVE,60636.0,1164136.52919755,1861882.39696773,15.0,7.0,67.0,41.776624398533976,-87.67383330767456,"(41.776624398533976, -87.67383330767457)",2014-05-01
Vacant/Abandoned Building,14-00637766,05/02/2014,,,,,,,,8613,S,ABERDEEN,ST,60620.0,1170489.66171312,1847692.98762164,21.0,6.0,71.0,41.73755075966992,-87.6509556192836,"(41.737550759669915, -87.6509556192836)",2014-05-02
Vacant/Abandoned Building,14-00639785,05/02/2014,,,,,,,,11641,S,PARNELL,AVE,60628.0,1174726.05719889,1827696.23498732,34.0,5.0,53.0,41.68258357631596,-87.63602794358938,"(41.68258357631596, -87.63602794358937)",2014-05-02
